Rank,Team,GM,W-L,FGM,FGA,FG%
106,Nicholls (Southland),31,16-15,882,"1,935",45.6
107,USC Upstate (Big South),32,16-16,808,"1,773",45.6
108,Bucknell (Patriot),32,12-20,797,"1,749",45.6
109,North Florida (ASUN),31,14-17,837,"1,838",45.5
110,Southern California (Pac-12),33,22-11,855,"1,878",45.5
111,Portland (WCC),33,14-19,836,"1,837",45.5
112,Long Beach St. (Big West),33,17-16,949,"2,086",45.5
113,Saint Mary's (CA) (WCC),35,27-8,888,"1,952",45.5
114,Princeton (Ivy League),32,23-9,867,"1,906",45.5
115,North Dakota St. (Summit League),33,16-17,866,"1,904",45.5
116,Southern Miss. (Sun Belt),33,25-8,881,"1,937",45.5
117,BYU (Big 12),34,19-15,913,"2,008",45.5
118,LMU (CA) (WCC),31,19-12,832,"1,831",45.4
119,Grambling (SWAC),33,24-9,811,"1,785",45.4
120,Kentucky (SEC),34,22-12,929,"2,045",45.4
121,Rider (MAAC),30,16-14,793,"1,746",45.4
122,Cleveland St. (Horizon),35,21-14,958,"2,110",45.4
123,Samford (SoCon),32,21-11,832,"1,833",45.4
124,Navy (Patriot),31,18-13,808,"1,781",45.4
125,Santa Clara (WCC),33,23-10,919,"2,026",45.4
126,TCU (Big 12),35,22-13,965,"2,128",45.3
127,Iowa (Big Ten),33,19-14,941,"2,077",45.3
128,Boise St. (Mountain West),34,24-10,878,"1,938",45.3
129,UNI (MVC),32,14-18,810,"1,788",45.3
130,Buffalo (MAC),32,15-17,906,"2,000",45.3
131,Western Ill. (Summit League),30,16-14,795,"1,755",45.3
132,Middle Tenn. (CUSA),33,19-14,857,"1,892",45.3
133,ETSU (SoCon),32,12-20,821,"1,814",45.3
134,Chattanooga (SoCon),35,18-17,924,"2,042",45.2
135,Longwood (Big South),32,20-12,831,"1,837",45.2
136,Stanford (Pac-12),33,14-19,838,"1,853",45.2
137,Michigan St. (Big Ten),34,21-13,879,"1,944",45.2
138,Pacific (WCC),33,15-18,868,"1,920",45.2
139,FDU (NEC),37,21-16,"1,045","2,312",45.2
140,Bowling Green (MAC),31,11-20,840,"1,859",45.2
141,Duke (ACC),36,27-9,936,"2,072",45.2
