Rank,Team,GM,W-L,3FG,3FGA,3FGA PG
119,Milwaukee (Horizon),34,22-12,267,774,22.8
120,James Madison (Sun Belt),33,22-11,263,751,22.8
120,North Carolina (ACC),33,20-13,234,751,22.8
122,Coastal Carolina (Sun Belt),31,11-20,223,705,22.7
123,App State (Sun Belt),32,16-16,243,726,22.7
123,Houston Christian (Southland),32,10-22,265,726,22.7
125,Lipscomb (ASUN),33,20-13,266,748,22.7
125,Wofford (SoCon),33,17-16,247,748,22.7
127,Drexel (CAA),32,17-15,229,725,22.7
127,Idaho St. (Big Sky),32,11-21,245,725,22.7
127,Quinnipiac (MAAC),32,20-12,263,725,22.7
130,Green Bay (Horizon),32,3-29,218,724,22.6
131,Penn (Ivy League),30,17-13,244,678,22.6
132,Houston (AAC),37,33-4,284,835,22.6
133,Boston U. (Patriot),32,15-17,238,722,22.6
133,Elon (CAA),32,8-24,218,722,22.6
135,Pepperdine (WCC),31,9-22,253,699,22.5
136,Nicholls (Southland),31,16-15,238,698,22.5
137,DePaul (Big East),33,10-23,273,742,22.5
137,Santa Clara (WCC),33,23-10,275,742,22.5
139,UNC Greensboro (SoCon),32,20-12,254,718,22.4
140,Kennesaw St. (ASUN),35,26-9,286,783,22.4
141,Arizona (Pac-12),35,28-7,295,781,22.3
142,Stanford (Pac-12),33,14-19,267,736,22.3
143,San Diego (WCC),31,11-20,244,691,22.3
144,North Dakota St. (Summit League),33,16-17,247,735,22.3
145,Austin Peay (ASUN),31,9-22,222,690,22.3
146,New Mexico St. (WAC),24,9-15,181,534,22.3
147,Bradley (MVC),35,25-10,276,777,22.2
148,Oregon (Pac-12),36,21-15,256,799,22.2
149,Portland St. (Big Sky),31,12-19,234,688,22.2
150,George Washington (Atlantic 10),32,16-16,228,710,22.2
151,Hampton (CAA),32,8-24,228,709,22.2
152,Sacred Heart (NEC),33,16-17,229,731,22.2
153,Hartford (DI Independent),28,5-23,206,620,22.1
154,Oklahoma St. (Big 12),36,20-16,247,797,22.1
155,LSU (SEC),33,14-19,239,730,22.1
156,South Alabama (Sun Belt),35,19-16,266,770,22
157,South Fla. (AAC),32,14-18,236,703,22
157,UTSA (CUSA),32,10-22,235,703,22
159,Fresno St. (Mountain West),31,11-20,210,681,22
160,The Citadel (SoCon),32,10-22,228,702,21.9
161,Michigan (Big Ten),34,18-16,261,744,21.9
162,South Dakota St. (Summit League),32,19-13,246,700,21.9
163,Youngstown St. (Horizon),34,24-10,271,743,21.9
164,UNI (MVC),32,14-18,238,699,21.8
165,Toledo (MAC),35,27-8,302,764,21.8
166,Army West Point (Patriot),33,17-16,252,718,21.8
166,SIUE (OVC),33,19-14,236,718,21.8
168,Buffalo (MAC),32,15-17,224,696,21.8
168,Utah (Pac-12),32,17-15,232,696,21.8
170,Western Ill. (Summit League),30,16-14,209,652,21.7
171,South Carolina St. (MEAC),31,5-26,213,671,21.6
172,Southern Miss. (Sun Belt),33,25-8,230,714,21.6
173,Illinois St. (MVC),32,11-21,232,690,21.6
173,ULM (Sun Belt),32,11-21,242,690,21.6
175,Boise St. (Mountain West),34,24-10,265,733,21.6
176,Howard (MEAC),35,22-13,282,754,21.5
177,Sam Houston (WAC),34,26-8,277,731,21.5
178,Morehead St. (OVC),34,22-12,254,730,21.5
179,Drake (MVC),35,27-8,278,751,21.5
180,Charlotte (CUSA),36,22-14,291,772,21.4
181,Longwood (Big South),32,20-12,241,685,21.4
181,Wichita St. (AAC),32,17-15,212,685,21.4
183,La Salle (Atlantic 10),34,15-19,248,726,21.4
184,Robert Morris (Horizon),33,16-17,235,703,21.3
185,North Texas (CUSA),38,31-7,284,809,21.3
186,Harvard (Ivy League),28,14-14,184,596,21.3
187,Florida (SEC),33,16-17,220,701,21.2
187,Loyola Maryland (Patriot),33,13-20,250,701,21.2
189,Purdue (Big Ten),35,29-6,239,743,21.2
190,Bowling Green (MAC),31,11-20,224,658,21.2
190,Loyola Chicago (Atlantic 10),31,10-21,220,658,21.2
192,Georgia (SEC),32,16-16,215,678,21.2
192,NIU (MAC),32,13-19,236,678,21.2
194,Northeastern (CAA),30,10-20,211,635,21.2
195,Montana (Big Sky),31,17-14,244,656,21.2
196,William & Mary (CAA),33,13-20,256,698,21.2
197,Western Ky. (CUSA),33,17-16,249,695,21.1
198,A&M-Corpus Christi (Southland),35,24-11,268,736,21
199,Southeastern La. (Southland),32,18-14,248,672,21
200,FIU (CUSA),32,14-18,219,671,21
201,Central Conn. St. (NEC),32,10-22,219,669,20.9
202,Kansas St. (Big 12),36,26-10,258,752,20.9
203,Colorado St. (Mountain West),33,15-18,251,689,20.9
204,Valparaiso (MVC),32,11-21,198,668,20.9
204,Washington (Pac-12),32,16-16,209,668,20.9
206,Navy (Patriot),31,18-13,240,647,20.9
207,West Virginia (Big 12),34,19-15,248,708,20.8
208,Wagner (NEC),28,15-13,181,583,20.8
209,Texas Tech (Big 12),32,16-16,230,666,20.8
210,Texas (Big 12),38,29-9,274,790,20.8
211,Cal St. Fullerton (Big West),33,20-13,253,686,20.8
212,Kansas City (Summit League),32,11-21,188,665,20.8
213,George Mason (Atlantic 10),33,20-13,240,685,20.8
214,Davidson (Atlantic 10),32,16-16,216,664,20.8
215,North Ala. (ASUN),33,18-15,252,682,20.7
215,Yale (Ivy League),30,21-9,224,620,20.7
217,Bucknell (Patriot),32,12-20,235,660,20.6
218,Auburn (SEC),34,21-13,221,701,20.6
219,Delaware (CAA),33,17-16,218,680,20.6
220,Saint Mary's (CA) (WCC),35,27-8,263,720,20.6
