Rank,Team,GM,W-L,FT,FTA,FT%
1,Villanova (Big East),34,17-17,456,556,82
2,Illinois St. (MVC),32,11-21,421,531,79.3
3,Nevada (Mountain West),33,22-11,561,708,79.2
4,South Dakota St. (Summit League),32,19-13,400,505,79.2
5,A&M-Corpus Christi (Southland),35,24-11,593,749,79.2
6,Montana (Big Sky),31,17-14,379,481,78.8
7,Miami (OH) (MAC),32,12-20,447,568,78.7
8,Clemson (ACC),34,23-11,460,586,78.5
9,Miami (FL) (ACC),37,29-8,531,677,78.4
10,Coastal Carolina (Sun Belt),31,11-20,418,533,78.4
11,Creighton (Big East),37,24-13,481,614,78.3
12,Youngstown St. (Horizon),34,24-10,480,616,77.9
13,Tulane (AAC),31,20-11,515,663,77.7
14,Oakland (Horizon),32,13-19,469,604,77.6
15,Omaha (Summit League),32,9-23,415,535,77.6
16,Oral Roberts (Summit League),35,30-5,424,548,77.4
17,Stetson (ASUN),31,17-14,356,461,77.2
18,Fresno St. (Mountain West),31,11-20,324,420,77.1
19,Indiana St. (MVC),36,23-13,499,647,77.1
20,UCF (AAC),34,19-15,441,572,77.1
21,Toledo (MAC),35,27-8,573,744,77
22,Detroit Mercy (Horizon),33,14-19,437,569,76.8
23,Drake (MVC),35,27-8,435,567,76.7
24,Eastern Mich. (MAC),31,8-23,441,575,76.7
25,Weber St. (Big Sky),33,18-15,443,578,76.6
26,Duke (ACC),36,27-9,475,620,76.6
27,VMI (SoCon),32,7-25,311,406,76.6
28,San Diego (WCC),31,11-20,449,587,76.5
29,South Dakota (Summit League),31,12-19,364,476,76.5
30,Notre Dame (ACC),32,11-21,325,426,76.3
31,Utah St. (Mountain West),35,26-9,517,678,76.3
32,Idaho (Big Sky),32,10-22,470,617,76.2
33,UConn (Big East),39,31-8,547,719,76.1
34,CSU Bakersfield (Big West),33,11-22,389,512,76
35,Michigan St. (Big Ten),34,21-13,401,528,75.9
36,Texas A&M (SEC),35,25-10,662,872,75.9
37,Pittsburgh (ACC),36,24-12,519,684,75.9
38,Missouri (SEC),35,25-10,461,608,75.8
39,Temple (AAC),32,16-16,464,613,75.7
40,Northwestern (Big Ten),34,22-12,442,584,75.7
41,Eastern Wash. (Big Sky),34,23-11,445,589,75.6
42,North Texas (CUSA),38,31-7,460,609,75.5
43,The Citadel (SoCon),32,10-22,388,514,75.5
44,Montana St. (Big Sky),35,25-10,614,814,75.4
45,Oregon St. (Pac-12),32,11-21,415,551,75.3
46,FDU (NEC),37,21-16,471,626,75.2
47,Jacksonville (ASUN),29,13-16,265,353,75.1
48,Charlotte (CUSA),36,22-14,349,465,75.1
49,San Francisco (WCC),34,20-14,476,635,75
50,UMBC (America East),32,18-14,383,511,75
51,Central Ark. (ASUN),31,9-22,361,482,74.9
52,Syracuse (ACC),32,17-15,432,577,74.9
52,Washington (Pac-12),32,16-16,432,577,74.9
54,Kansas St. (Big 12),36,26-10,562,751,74.8
55,Texas (Big 12),38,29-9,523,699,74.8
56,UIW (Southland),31,12-19,448,599,74.8
57,Davidson (Atlantic 10),32,16-16,450,602,74.8
58,Hawaii (Big West),33,22-11,444,594,74.7
59,Samford (SoCon),32,21-11,565,756,74.7
60,Memphis (AAC),35,26-9,555,743,74.7
61,Lehigh (Patriot),30,16-14,385,516,74.6
62,Wake Forest (ACC),33,19-14,457,613,74.6
63,Portland (WCC),33,14-19,577,774,74.5
64,Southern California (Pac-12),33,22-11,465,624,74.5
65,Northern Colo. (Big Sky),32,12-20,438,588,74.5
66,Colorado St. (Mountain West),33,15-18,394,529,74.5
67,Richmond (Atlantic 10),33,15-18,440,591,74.5
68,Baylor (Big 12),34,23-11,536,720,74.4
68,Purdue (Big Ten),35,29-6,536,720,74.4
70,Norfolk St. (MEAC),33,22-11,524,704,74.4
71,Rhode Island (Atlantic 10),31,9-22,486,653,74.4
72,Col. of Charleston (CAA),35,31-4,538,723,74.4
73,Stony Brook (CAA),33,11-22,375,504,74.4
74,Lipscomb (ASUN),33,20-13,369,496,74.4
75,Cal Poly (Big West),33,8-25,395,531,74.4
76,West Virginia (Big 12),34,19-15,571,769,74.3
77,Providence (Big East),33,21-12,532,717,74.2
78,Southeastern La. (Southland),32,18-14,457,616,74.2
79,CSUN (Big West),32,7-25,454,612,74.2
80,North Carolina (ACC),33,20-13,548,739,74.2
81,Furman (SoCon),36,28-8,539,727,74.1
82,Fordham (Atlantic 10),33,25-8,530,715,74.1
83,Penn (Ivy League),30,17-13,381,514,74.1
84,UAB (CUSA),39,29-10,649,876,74.1
85,Louisville (ACC),32,4-28,414,559,74.1
86,Milwaukee (Horizon),34,22-12,504,681,74
87,Utah Valley (WAC),37,28-9,577,780,74
88,FGCU (ASUN),32,17-15,375,507,74
89,Northern Ariz. (Big Sky),35,12-23,426,576,74
90,Ohio St. (Big Ten),35,16-19,403,545,73.9
91,Penn St. (Big Ten),37,23-14,332,449,73.9
92,DePaul (Big East),33,10-23,400,541,73.9
93,Hofstra (CAA),35,25-10,314,425,73.9
94,New Mexico (Mountain West),34,22-12,591,800,73.9
95,Akron (MAC),33,22-11,475,643,73.9
96,Winthrop (Big South),32,15-17,503,681,73.9
97,Butler (Big East),32,14-18,339,459,73.9
98,Boston U. (Patriot),32,15-17,387,524,73.9
99,Rice (CUSA),35,19-16,473,641,73.8
100,Iowa (Big Ten),33,19-14,495,671,73.8
101,George Washington (Atlantic 10),32,16-16,475,644,73.8
102,Wofford (SoCon),33,17-16,407,552,73.7
103,Wright St. (Horizon),33,18-15,370,502,73.7
104,Siena (MAAC),32,17-15,450,611,73.6
105,Murray St. (MVC),32,17-15,447,607,73.6
106,UMass Lowell (America East),34,26-8,487,662,73.6
107,Virginia Tech (ACC),34,19-15,378,514,73.5
108,Rider (MAAC),30,16-14,369,502,73.5
109,Idaho St. (Big Sky),32,11-21,380,517,73.5
