Rank,Team,GM,W-L,3FG PG
1,Chattanooga (SoCon),35,18-17,11.4
2,Oral Roberts (Summit League),35,30-5,10.7
2,Cornell (Ivy League),28,17-11,10.7
4,Liberty (ASUN),36,27-9,10.4
5,North Florida (ASUN),31,14-17,10.4
6,Penn St. (Big Ten),37,23-14,10.4
7,San Francisco (WCC),34,20-14,10.3
8,Detroit Mercy (Horizon),33,14-19,10.2
9,Stetson (ASUN),31,17-14,10
10,Col. of Charleston (CAA),35,31-4,9.9
11,Alabama (SEC),37,31-6,9.9
12,VMI (SoCon),32,7-25,9.7
13,Purdue Fort Wayne (Horizon),32,17-15,9.6
14,Fla. Atlantic (CUSA),39,35-4,9.6
15,Portland (WCC),33,14-19,9.6
16,Belmont (MVC),32,21-11,9.6
17,Wake Forest (ACC),33,19-14,9.5
18,Baylor (Big 12),34,23-11,9.5
19,Furman (SoCon),36,28-8,9.4
19,Indiana St. (MVC),36,23-13,9.4
21,LMU (CA) (WCC),31,19-12,9.3
22,Missouri (SEC),35,25-10,9.3
22,Utah St. (Mountain West),35,26-9,9.3
24,FGCU (ASUN),32,17-15,9.2
25,North Dakota (Summit League),33,13-20,9.2
26,Duquesne (Atlantic 10),33,20-13,9.2
26,Tennessee Tech (OVC),33,16-17,9.2
28,Washington St. (Pac-12),34,17-17,9.1
29,Akron (MAC),33,22-11,9.1
30,Jacksonville St. (ASUN),31,13-18,9.1
31,Samford (SoCon),32,21-11,9.1
32,UConn (Big East),39,31-8,9.1
33,Pittsburgh (ACC),36,24-12,9
34,Pacific (WCC),33,15-18,9
35,Grand Canyon (WAC),36,24-12,9
36,Marquette (Big East),36,29-7,8.9
37,Ohio (MAC),33,19-14,8.9
38,South Dakota (Summit League),31,12-19,8.9
39,Winthrop (Big South),32,15-17,8.8
40,Eastern Wash. (Big Sky),34,23-11,8.8
41,Notre Dame (ACC),32,11-21,8.8
42,Rice (CUSA),35,19-16,8.8
43,Saint Joseph's (Atlantic 10),33,16-17,8.8
44,Tennessee St. (OVC),32,18-14,8.8
45,Lafayette (Patriot),34,11-23,8.8
46,Cincinnati (AAC),36,23-13,8.7
47,Villanova (Big East),34,17-17,8.7
48,UCF (AAC),34,19-15,8.7
49,Hofstra (CAA),35,25-10,8.7
50,Wyoming (Mountain West),31,9-22,8.6
51,Toledo (MAC),35,27-8,8.6
52,Creighton (Big East),37,24-13,8.6
53,Eastern Ky. (ASUN),37,23-14,8.6
54,Seattle U (WAC),32,20-12,8.6
55,Vermont (America East),34,23-11,8.6
56,Central Ark. (ASUN),31,9-22,8.5
57,Louisiana Tech (CUSA),33,15-18,8.5
58,Western Caro. (SoCon),34,18-16,8.5
58,Princeton (Ivy League),32,23-9,8.5
58,Canisius (MAAC),30,10-20,8.5
61,Southern Utah (WAC),37,24-13,8.5
62,Arizona (Pac-12),35,28-7,8.4
62,Northern Ariz. (Big Sky),35,12-23,8.4
64,Northwestern St. (Southland),33,22-11,8.4
65,Vanderbilt (SEC),37,22-15,8.4
66,Coppin St. (MEAC),32,9-23,8.4
67,California Baptist (WAC),33,17-16,8.4
68,UC Riverside (Big West),34,22-12,8.4
69,Santa Clara (WCC),33,23-10,8.3
70,Clemson (ACC),34,23-11,8.3
71,Houston Christian (Southland),32,10-22,8.3
71,Northern Colo. (Big Sky),32,12-20,8.3
73,DePaul (Big East),33,10-23,8.3
74,New Hampshire (America East),30,15-15,8.3
75,NC State (ACC),34,23-11,8.3
75,Virginia Tech (ACC),34,19-15,8.3
77,Chicago St. (DI Independent),31,11-20,8.3
78,Marshall (Sun Belt),32,24-8,8.3
79,Quinnipiac (MAAC),32,20-12,8.2
80,UNLV (Mountain West),32,19-13,8.2
81,Colgate (Patriot),35,26-9,8.2
81,Kennesaw St. (ASUN),35,26-9,8.2
83,FDU (NEC),37,21-16,8.2
84,Pepperdine (WCC),31,9-22,8.2
85,Air Force (Mountain West),32,14-18,8.2
85,N.C. A&T (CAA),32,13-19,8.2
87,Sam Houston (WAC),34,26-8,8.1
88,Dartmouth (Ivy League),28,10-18,8.1
89,Penn (Ivy League),30,17-13,8.1
90,BYU (Big 12),34,19-15,8.1
91,Bryant (America East),30,17-13,8.1
92,Charleston So. (Big South),31,10-21,8.1
93,Stanford (Pac-12),33,14-19,8.1
94,Northern Ky. (Horizon),35,22-13,8.1
95,Charlotte (CUSA),36,22-14,8.1
96,Western Mich. (MAC),31,8-23,8.1
97,Lipscomb (ASUN),33,20-13,8.1
98,Howard (MEAC),35,22-13,8.1
99,UMBC (America East),32,18-14,8
100,Iowa (Big Ten),33,19-14,8
101,Brown (Ivy League),27,14-13,8
102,Youngstown St. (Horizon),34,24-10,8
103,James Madison (Sun Belt),33,22-11,8
104,Temple (AAC),32,16-16,8
104,UIC (MVC),32,12-20,8
106,Southeast Mo. St. (OVC),36,19-17,7.9
107,Drake (MVC),35,27-8,7.9
108,Missouri St. (MVC),32,17-15,7.9
108,UNC Greensboro (SoCon),32,20-12,7.9
110,Richmond (Atlantic 10),33,15-18,7.9
111,Ark.-Pine Bluff (SWAC),31,10-21,7.9
112,Bradley (MVC),35,25-10,7.9
112,Wisconsin (Big Ten),35,20-15,7.9
114,Montana (Big Sky),31,17-14,7.9
114,San Diego (WCC),31,11-20,7.9
116,Kent St. (MAC),35,28-7,7.9
117,Milwaukee (Horizon),34,22-12,7.9
118,Georgia Tech (ACC),33,15-18,7.8
118,Southern Ill. (MVC),33,23-10,7.8
120,UNC Asheville (Big South),35,27-8,7.8
121,Miami (OH) (MAC),32,12-20,7.8
122,Boise St. (Mountain West),34,24-10,7.8
123,Columbia (Ivy League),29,7-22,7.8
124,Tulane (AAC),31,20-11,7.8
125,Stony Brook (CAA),33,11-22,7.8
125,William & Mary (CAA),33,13-20,7.8
127,Southeastern La. (Southland),32,18-14,7.8
128,Navy (Patriot),31,18-13,7.7
128,Saint Francis (PA) (NEC),31,13-18,7.7
130,Troy (Sun Belt),33,20-13,7.7
130,UT Martin (OVC),33,19-14,7.7
132,South Dakota St. (Summit League),32,19-13,7.7
133,Nicholls (Southland),31,16-15,7.7
134,Michigan (Big Ten),34,18-16,7.7
135,Houston (AAC),37,33-4,7.7
136,Tennessee (SEC),36,25-11,7.7
