Rank,Team,GM,W-L,3FG PG
136,Cal St. Fullerton (Big West),33,20-13,7.7
136,Marist (MAAC),33,13-20,7.7
136,Tulsa (AAC),30,5-25,7.7
140,A&M-Corpus Christi (Southland),35,24-11,7.7
141,Idaho St. (Big Sky),32,11-21,7.7
142,UAlbany (America East),31,8-23,7.6
143,Army West Point (Patriot),33,17-16,7.6
143,Fordham (Atlantic 10),33,25-8,7.6
143,North Ala. (ASUN),33,18-15,7.6
146,South Carolina (SEC),32,11-21,7.6
146,Southern U. (SWAC),32,15-17,7.6
148,Northwestern (Big Ten),34,22-12,7.6
149,Arizona St. (Pac-12),36,23-13,7.6
150,Colorado St. (Mountain West),33,15-18,7.6
150,Illinois (Big Ten),33,20-13,7.6
152,South Alabama (Sun Belt),35,19-16,7.6
153,App State (Sun Belt),32,16-16,7.6
154,McNeese (Southland),34,11-23,7.6
155,Loyola Maryland (Patriot),33,13-20,7.6
156,San Jose St. (Mountain West),35,21-14,7.6
157,ULM (Sun Belt),32,11-21,7.6
158,High Point (Big South),31,14-17,7.5
158,Portland St. (Big Sky),31,12-19,7.5
160,East Carolina (AAC),33,16-17,7.5
160,Western Ky. (CUSA),33,17-16,7.5
162,New Mexico St. (WAC),24,9-15,7.5
163,Gonzaga (WCC),37,31-6,7.5
164,Longwood (Big South),32,20-12,7.5
165,Saint Mary's (CA) (WCC),35,27-8,7.5
166,Miami (FL) (ACC),37,29-8,7.5
167,Ball St. (MAC),32,20-12,7.5
168,North Dakota St. (Summit League),33,16-17,7.5
168,Wofford (SoCon),33,17-16,7.5
170,North Texas (CUSA),38,31-7,7.5
171,Morehead St. (OVC),34,22-12,7.5
172,Yale (Ivy League),30,21-9,7.5
173,Boston U. (Patriot),32,15-17,7.4
173,UNI (MVC),32,14-18,7.4
175,Michigan St. (Big Ten),34,21-13,7.4
176,Xavier (Big East),37,27-10,7.4
177,UMES (MEAC),31,18-13,7.4
178,NIU (MAC),32,13-19,7.4
178,South Fla. (AAC),32,14-18,7.4
180,N.C. Central (MEAC),30,18-12,7.4
181,Towson (CAA),33,21-12,7.4
182,Hartford (DI Independent),28,5-23,7.4
183,Bucknell (Patriot),32,12-20,7.3
183,UTSA (CUSA),32,10-22,7.3
185,La Salle (Atlantic 10),34,15-19,7.3
185,West Virginia (Big 12),34,19-15,7.3
187,George Mason (Atlantic 10),33,20-13,7.3
188,Illinois St. (MVC),32,11-21,7.3
188,Oakland (Horizon),32,13-19,7.3
188,Utah (Pac-12),32,17-15,7.3
191,LSU (SEC),33,14-19,7.2
192,Bowling Green (MAC),31,11-20,7.2
193,Nevada (Mountain West),33,22-11,7.2
194,Texas (Big 12),38,29-9,7.2
195,Coastal Carolina (Sun Belt),31,11-20,7.2
196,Texas Tech (Big 12),32,16-16,7.2
197,Kansas St. (Big 12),36,26-10,7.2
198,Austin Peay (ASUN),31,9-22,7.2
199,Drexel (CAA),32,17-15,7.2
200,SIUE (OVC),33,19-14,7.2
201,George Washington (Atlantic 10),32,16-16,7.1
201,Hampton (CAA),32,8-24,7.1
201,The Citadel (SoCon),32,10-22,7.1
204,Robert Morris (Horizon),33,16-17,7.1
205,Oregon (Pac-12),36,21-15,7.1
206,Loyola Chicago (Atlantic 10),31,10-21,7.1
207,North Carolina (ACC),33,20-13,7.1
208,UAB (CUSA),39,29-10,7.1
209,St. Bonaventure (Atlantic 10),32,14-18,7.1
210,Iona (MAAC),35,27-8,7.1
210,UC Irvine (Big West),35,23-12,7.1
212,Abilene Christian (WAC),30,13-17,7
212,Northeastern (CAA),30,10-20,7
214,Louisiana (Sun Belt),34,26-8,7
215,Buffalo (MAC),32,15-17,7
215,Oklahoma (Big 12),32,15-17,7
217,Kansas (Big 12),36,28-8,7
218,Saint Louis (Atlantic 10),33,21-12,7
218,Southern Miss. (Sun Belt),33,25-8,7
220,Western Ill. (Summit League),30,16-14,7
221,San Diego St. (Mountain West),39,32-7,6.9
222,UMass Lowell (America East),34,26-8,6.9
223,Sacred Heart (NEC),33,16-17,6.9
224,UTRGV (WAC),32,15-17,6.9
225,Middle Tenn. (CUSA),33,19-14,6.9
226,Jacksonville (ASUN),29,13-16,6.9
227,South Carolina St. (MEAC),31,5-26,6.9
228,Oklahoma St. (Big 12),36,20-16,6.9
229,Alabama A&M (SWAC),33,15-18,6.8
230,Bethune-Cookman (SWAC),32,12-20,6.8
230,Central Conn. St. (NEC),32,10-22,6.8
230,FIU (CUSA),32,14-18,6.8
230,Holy Cross (Patriot),32,10-22,6.8
234,Lehigh (Patriot),30,16-14,6.8
234,Manhattan (MAAC),30,12-18,6.8
236,Ohio St. (Big Ten),35,16-19,6.8
236,Purdue (Big Ten),35,29-6,6.8
238,Norfolk St. (MEAC),33,22-11,6.8
239,Elon (CAA),32,8-24,6.8
239,Green Bay (Horizon),32,3-29,6.8
241,Duke (ACC),36,27-9,6.8
242,St. Francis Brooklyn (NEC),30,14-16,6.8
243,Idaho (Big Sky),32,10-22,6.8
243,Sacramento St. (Big Sky),32,14-18,6.8
245,Fresno St. (Mountain West),31,11-20,6.8
246,Davidson (Atlantic 10),32,16-16,6.8
247,Georgia (SEC),32,16-16,6.7
248,Campbell (Big South),34,16-18,6.7
249,Nebraska (Big Ten),32,16-16,6.7
249,UC Davis (Big West),32,18-14,6.7
251,Florida (SEC),33,16-17,6.7
251,Hawaii (Big West),33,22-11,6.7
251,Mount St. Mary's (MAAC),33,13-20,6.7
251,Virginia (ACC),33,25-8,6.7
255,Maryland (Big Ten),35,22-13,6.7
256,Siena (MAAC),32,17-15,6.7
257,Morgan St. (MEAC),31,15-16,6.6
258,Wichita St. (AAC),32,17-15,6.6
259,Dayton (Atlantic 10),34,22-12,6.6
260,Delaware (CAA),33,17-16,6.6
260,Providence (Big East),33,21-12,6.6
260,Weber St. (Big Sky),33,18-15,6.6
263,Maine (America East),30,13-17,6.6
264,Harvard (Ivy League),28,14-14,6.6
265,Colorado (Pac-12),35,18-17,6.5
266,Utah Valley (WAC),37,28-9,6.5
267,NJIT (America East),30,7-23,6.5
268,Florida St. (ACC),32,9-23,6.5
268,USC Upstate (Big South),32,16-16,6.5
268,Washington (Pac-12),32,16-16,6.5
271,Radford (Big South),36,21-15,6.5
272,Auburn (SEC),34,21-13,6.5
273,Southern California (Pac-12),33,22-11,6.5
274,Butler (Big East),32,14-18,6.5
274,UT Arlington (WAC),32,11-21,6.5
276,Wagner (NEC),28,15-13,6.5
277,Iowa St. (Big 12),33,19-14,6.4
278,American (Patriot),32,17-15,6.4
279,ETSU (SoCon),32,12-20,6.3
279,SFA (WAC),32,19-13,6.3
281,Arkansas St. (Sun Belt),33,13-20,6.3
282,Gardner-Webb (Big South),31,15-16,6.3
282,Niagara (MAAC),31,16-15,6.3
284,SMU (AAC),32,10-22,6.3
285,Ga. Southern (Sun Belt),33,17-16,6.3
285,Jackson St. (SWAC),33,14-19,6.3
287,Kentucky (SEC),34,22-12,6.3
288,UIW (Southland),31,12-19,6.3
289,Louisville (ACC),32,4-28,6.3
290,Evansville (MVC),32,5-27,6.2
291,Wright St. (Horizon),33,18-15,6.2
292,Texas A&M (SEC),35,25-10,6.2
293,Eastern Mich. (MAC),31,8-23,6.2
293,Minnesota (Big Ten),31,9-22,6.2
295,Syracuse (ACC),32,17-15,6.2
295,Valparaiso (MVC),32,11-21,6.2
297,Montana St. (Big Sky),35,25-10,6.2
298,Central Mich. (MAC),31,10-21,6.2
299,Murray St. (MVC),32,17-15,6.2
300,Ole Miss (SEC),33,12-21,6.2
301,UNCW (CAA),34,24-10,6.1
302,Memphis (AAC),35,26-9,6.1
303,UCLA (Pac-12),37,31-6,6.1
304,New Orleans (Southland),32,12-20,6.1
305,VCU (Atlantic 10),35,27-8,6.1
306,Oregon St. (Pac-12),32,11-21,6
307,Prairie View (SWAC),32,13-19,6
307,Presbyterian (Big South),32,5-27,6
309,Alabama St. (SWAC),31,8-23,6
309,Little Rock (OVC),31,10-21,6
311,Mercer (SoCon),33,14-19,5.9
312,Saint Peter's (MAAC),32,14-18,5.9
313,Kansas City (Summit League),32,11-21,5.9
314,Massachusetts (Atlantic 10),31,15-16,5.9
315,St. John's (NY) (Big East),33,18-15,5.8
316,Georgetown (Big East),32,7-25,5.8
317,Florida A&M (SWAC),29,7-22,5.8
318,Seton Hall (Big East),33,17-16,5.8
319,CSUN (Big West),32,7-25,5.8
320,Fairfield (MAAC),31,13-18,5.7
320,Lamar University (Southland),31,9-22,5.7
322,Rutgers (Big Ten),34,19-15,5.7
323,Omaha (Summit League),32,9-23,5.7
324,Indiana (Big Ten),35,23-12,5.7
325,Delaware St. (MEAC),30,6-24,5.7
326,Boston College (ACC),33,16-17,5.7
327,New Mexico (Mountain West),34,22-12,5.6
328,TCU (Big 12),35,22-13,5.6
329,Binghamton (America East),31,13-18,5.5
330,UC Santa Barbara (Big West),35,27-8,5.5
331,Cal Poly (Big West),33,8-25,5.5
332,Rhode Island (Atlantic 10),31,9-22,5.4
333,Georgia St. (Sun Belt),31,10-21,5.3
333,Old Dominion (Sun Belt),31,19-12,5.3
335,Grambling (SWAC),33,24-9,5.3
336,Mississippi St. (SEC),34,21-13,5.2
337,Eastern Ill. (OVC),31,9-22,5.2
338,Alcorn (SWAC),32,18-14,5.1
339,Cleveland St. (Horizon),35,21-14,5.1
340,Mississippi Val. (SWAC),32,5-27,5.1
341,Rider (MAAC),30,16-14,5
342,Arkansas (SEC),36,22-14,5
343,UTEP (CUSA),32,14-18,4.9
344,LIU (NEC),29,3-26,4.9
345,California (Pac-12),32,3-29,4.9
346,Texas Southern (SWAC),35,14-21,4.7
347,IU Indy (Horizon),32,5-27,4.6
348,Denver (Summit League),32,15-17,4.5
349,Long Beach St. (Big West),33,17-16,4.4
350,Texas St. (Sun Belt),35,16-19,4.4
351,CSU Bakersfield (Big West),33,11-22,4.3
352,Monmouth (CAA),33,7-26,4.1
