Rank,Team,GM,W-L,OPP PTS,OPP PPG
113,Arkansas (SEC),36,22-14,"2,446",67.9
114,Arizona St. (Pac-12),36,23-13,"2,447",68
115,Kansas (Big 12),36,28-8,"2,450",68.1
116,James Madison (Sun Belt),33,22-11,"2,246",68.1
117,Montana (Big Sky),31,17-14,"2,114",68.2
118,Penn St. (Big Ten),37,23-14,"2,524",68.2
119,Alabama (SEC),37,31-6,"2,526",68.3
120,Stanford (Pac-12),33,14-19,"2,256",68.4
121,Creighton (Big East),37,24-13,"2,531",68.4
122,TCU (Big 12),35,22-13,"2,395",68.4
123,UT Arlington (WAC),32,11-21,"2,190",68.4
124,Wichita St. (AAC),32,17-15,"2,191",68.5
125,Bucknell (Patriot),32,12-20,"2,192",68.5
125,Princeton (Ivy League),32,23-9,"2,192",68.5
125,UTEP (CUSA),32,14-18,"2,192",68.5
125,Campbell (Big South),34,16-18,"2,329",68.5
129,CSUN (Big West),32,7-25,"2,194",68.6
130,Utah Valley (WAC),37,28-9,"2,538",68.6
131,Florida (SEC),33,16-17,"2,264",68.6
131,Norfolk St. (MEAC),33,22-11,"2,264",68.6
133,Prairie View (SWAC),32,13-19,"2,196",68.6
134,Davidson (Atlantic 10),32,16-16,"2,197",68.7
135,Indiana (Big Ten),35,23-12,"2,404",68.7
136,Cleveland St. (Horizon),35,21-14,"2,405",68.7
137,Kansas City (Summit League),32,11-21,"2,199",68.7
138,Ohio St. (Big Ten),35,16-19,"2,414",69
139,ETSU (SoCon),32,12-20,"2,208",69
139,Texas Tech (Big 12),32,16-16,"2,208",69
139,Kennesaw St. (ASUN),35,26-9,"2,415",69
142,Seattle U (WAC),32,20-12,"2,209",69
143,Ole Miss (SEC),33,12-21,"2,279",69.1
143,Stony Brook (CAA),33,11-22,"2,279",69.1
145,UNC Asheville (Big South),35,27-8,"2,418",69.1
146,UC Riverside (Big West),34,22-12,"2,352",69.2
147,Cincinnati (AAC),36,23-13,"2,495",69.3
148,Colgate (Patriot),35,26-9,"2,426",69.3
149,Brown (Ivy League),27,14-13,"1,872",69.3
150,Georgia St. (Sun Belt),31,10-21,"2,150",69.4
151,Lehigh (Patriot),30,16-14,"2,082",69.4
152,FGCU (ASUN),32,17-15,"2,222",69.4
153,Presbyterian (Big South),32,5-27,"2,223",69.5
154,Louisiana (Sun Belt),34,26-8,"2,362",69.5
155,USC Upstate (Big South),32,16-16,"2,225",69.5
156,Michigan (Big Ten),34,18-16,"2,367",69.6
157,Indiana St. (MVC),36,23-13,"2,507",69.6
158,Maine (America East),30,13-17,"2,091",69.7
159,Quinnipiac (MAAC),32,20-12,"2,231",69.7
160,Pittsburgh (ACC),36,24-12,"2,510",69.7
161,Ark.-Pine Bluff (SWAC),31,10-21,"2,162",69.7
162,South Dakota St. (Summit League),32,19-13,"2,233",69.8
163,Purdue Fort Wayne (Horizon),32,17-15,"2,234",69.8
164,ULM (Sun Belt),32,11-21,"2,235",69.8
165,Kansas St. (Big 12),36,26-10,"2,515",69.9
166,Nebraska (Big Ten),32,16-16,"2,236",69.9
167,BYU (Big 12),34,19-15,"2,376",69.9
168,Utah St. (Mountain West),35,26-9,"2,446",69.9
169,SFA (WAC),32,19-13,"2,238",69.9
169,UNI (MVC),32,14-18,"2,238",69.9
171,Florida A&M (SWAC),29,7-22,"2,030",70
172,UNLV (Mountain West),32,19-13,"2,241",70
173,Virginia Tech (ACC),34,19-15,"2,383",70.1
174,California (Pac-12),32,3-29,"2,243",70.1
175,Central Conn. St. (NEC),32,10-22,"2,245",70.2
176,Boston College (ACC),33,16-17,"2,317",70.2
177,Temple (AAC),32,16-16,"2,247",70.2
178,Oral Roberts (Summit League),35,30-5,"2,458",70.2
179,Washington (Pac-12),32,16-16,"2,248",70.3
180,UAB (CUSA),39,29-10,"2,740",70.3
181,Jacksonville St. (ASUN),31,13-18,"2,178",70.3
182,Baylor (Big 12),34,23-11,"2,389",70.3
183,Marquette (Big East),36,29-7,"2,530",70.3
184,Louisiana Tech (CUSA),33,15-18,"2,320",70.3
184,William & Mary (CAA),33,13-20,"2,320",70.3
186,Manhattan (MAAC),30,12-18,"2,110",70.3
187,Army West Point (Patriot),33,17-16,"2,322",70.4
188,Illinois St. (MVC),32,11-21,"2,255",70.5
189,East Carolina (AAC),33,16-17,"2,327",70.5
190,Alcorn (SWAC),32,18-14,"2,259",70.6
191,Western Ky. (CUSA),33,17-16,"2,330",70.6
192,Loyola Maryland (Patriot),33,13-20,"2,331",70.6
193,Rhode Island (Atlantic 10),31,9-22,"2,190",70.6
194,Delaware (CAA),33,17-16,"2,333",70.7
195,LSU (SEC),33,14-19,"2,334",70.7
196,Western Caro. (SoCon),34,18-16,"2,405",70.7
197,Georgia Tech (ACC),33,15-18,"2,335",70.8
198,NC State (ACC),34,23-11,"2,408",70.8
199,Alabama A&M (SWAC),33,15-18,"2,340",70.9
199,North Carolina (ACC),33,20-13,"2,340",70.9
201,West Virginia (Big 12),34,19-15,"2,411",70.9
202,Idaho St. (Big Sky),32,11-21,"2,272",71
202,Lipscomb (ASUN),33,20-13,"2,343",71
202,Providence (Big East),33,21-12,"2,343",71
205,Minnesota (Big Ten),31,9-22,"2,202",71
206,UC Davis (Big West),32,18-14,"2,274",71.1
207,Abilene Christian (WAC),30,13-17,"2,133",71.1
208,Hartford (DI Independent),28,5-23,"1,991",71.1
209,Arizona (Pac-12),35,28-7,"2,490",71.1
210,Saint Louis (Atlantic 10),33,21-12,"2,348",71.2
211,Furman (SoCon),36,28-8,"2,563",71.2
212,Sacred Heart (NEC),33,16-17,"2,351",71.2
213,Southern U. (SWAC),32,15-17,"2,280",71.3
214,Duquesne (Atlantic 10),33,20-13,"2,352",71.3
215,Marshall (Sun Belt),32,24-8,"2,281",71.3
216,SIUE (OVC),33,19-14,"2,353",71.3
217,Colorado St. (Mountain West),33,15-18,"2,355",71.4
218,Massachusetts (Atlantic 10),31,15-16,"2,214",71.4
219,Eastern Wash. (Big Sky),34,23-11,"2,429",71.4
220,Vanderbilt (SEC),37,22-15,"2,645",71.5
221,Binghamton (America East),31,13-18,"2,217",71.5
222,Georgia (SEC),32,16-16,"2,289",71.5
223,Samford (SoCon),32,21-11,"2,290",71.6
224,Elon (CAA),32,8-24,"2,291",71.6
225,Ball St. (MAC),32,20-12,"2,292",71.6
225,UIC (MVC),32,12-20,"2,292",71.6
227,New Mexico St. (WAC),24,9-15,"1,720",71.7
227,Northeastern (CAA),30,10-20,"2,150",71.7
229,Memphis (AAC),35,26-9,"2,512",71.8
230,Belmont (MVC),32,21-11,"2,299",71.8
231,Miami (FL) (ACC),37,29-8,"2,661",71.9
232,Texas Southern (SWAC),35,14-21,"2,518",71.9
233,South Fla. (AAC),32,14-18,"2,303",72
234,Penn (Ivy League),30,17-13,"2,160",72
235,Murray St. (MVC),32,17-15,"2,305",72
236,Northwestern St. (Southland),33,22-11,"2,378",72.1
237,Wyoming (Mountain West),31,9-22,"2,234",72.1
238,Chattanooga (SoCon),35,18-17,"2,523",72.1
239,Notre Dame (ACC),32,11-21,"2,307",72.1
240,Eastern Ill. (OVC),31,9-22,"2,235",72.1
241,Canisius (MAAC),30,10-20,"2,167",72.2
242,Austin Peay (ASUN),31,9-22,"2,241",72.3
243,Morgan St. (MEAC),31,15-16,"2,242",72.3
244,Western Ill. (Summit League),30,16-14,"2,171",72.4
245,Dartmouth (Ivy League),28,10-18,"2,027",72.4
246,Saint Joseph's (Atlantic 10),33,16-17,"2,389",72.4
247,Loyola Chicago (Atlantic 10),31,10-21,"2,247",72.5
248,Wofford (SoCon),33,17-16,"2,392",72.5
249,Youngstown St. (Horizon),34,24-10,"2,465",72.5
250,La Salle (Atlantic 10),34,15-19,"2,468",72.6
251,Holy Cross (Patriot),32,10-22,"2,324",72.6
251,South Carolina (SEC),32,11-21,"2,324",72.6
253,Howard (MEAC),35,22-13,"2,542",72.6
254,Alabama St. (SWAC),31,8-23,"2,252",72.6
255,Nicholls (Southland),31,16-15,"2,253",72.7
256,NJIT (America East),30,7-23,"2,182",72.7
257,UMBC (America East),32,18-14,"2,328",72.8
258,Idaho (Big Sky),32,10-22,"2,332",72.9
259,Syracuse (ACC),32,17-15,"2,333",72.9
260,Central Mich. (MAC),31,10-21,"2,263",73
261,Chicago St. (DI Independent),31,11-20,"2,264",73
262,LMU (CA) (WCC),31,19-12,"2,265",73.1
263,Bryant (America East),30,17-13,"2,193",73.1
264,Ohio (MAC),33,19-14,"2,413",73.1
264,Santa Clara (WCC),33,23-10,"2,413",73.1
266,North Dakota St. (Summit League),33,16-17,"2,414",73.2
267,A&M-Corpus Christi (Southland),35,24-11,"2,561",73.2
268,Tennessee Tech (OVC),33,16-17,"2,421",73.4
269,Gonzaga (WCC),37,31-6,"2,715",73.4
270,San Francisco (WCC),34,20-14,"2,496",73.4
271,Eastern Ky. (ASUN),37,23-14,"2,720",73.5
272,Valparaiso (MVC),32,11-21,"2,355",73.6
273,Jackson St. (SWAC),33,14-19,"2,429",73.6
274,South Dakota (Summit League),31,12-19,"2,282",73.6
275,Wright St. (Horizon),33,18-15,"2,432",73.7
276,Saint Francis (PA) (NEC),31,13-18,"2,286",73.7
277,Stetson (ASUN),31,17-14,"2,287",73.8
278,Wake Forest (ACC),33,19-14,"2,435",73.8
279,N.C. A&T (CAA),32,13-19,"2,362",73.8
280,UIW (Southland),31,12-19,"2,290",73.9
281,North Dakota (Summit League),33,13-20,"2,438",73.9
282,Coastal Carolina (Sun Belt),31,11-20,"2,294",74
283,Western Mich. (MAC),31,8-23,"2,295",74
284,Xavier (Big East),37,27-10,"2,741",74.1
285,FDU (NEC),37,21-16,"2,744",74.2
286,Milwaukee (Horizon),34,22-12,"2,522",74.2
287,The Citadel (SoCon),32,10-22,"2,374",74.2
288,New Mexico (Mountain West),34,22-12,"2,525",74.3
289,North Ala. (ASUN),33,18-15,"2,452",74.3
290,Charleston So. (Big South),31,10-21,"2,305",74.4
291,Long Beach St. (Big West),33,17-16,"2,455",74.4
292,Missouri (SEC),35,25-10,"2,604",74.4
293,Winthrop (Big South),32,15-17,"2,382",74.4
294,Miami (OH) (MAC),32,12-20,"2,385",74.5
295,Lamar University (Southland),31,9-22,"2,311",74.5
296,Iowa (Big Ten),33,19-14,"2,464",74.7
297,Southern Utah (WAC),37,24-13,"2,764",74.7
298,Northern Ariz. (Big Sky),35,12-23,"2,615",74.7
299,Monmouth (CAA),33,7-26,"2,466",74.7
300,Mississippi Val. (SWAC),32,5-27,"2,392",74.8
301,Bethune-Cookman (SWAC),32,12-20,"2,401",75
301,NIU (MAC),32,13-19,"2,401",75
301,Tennessee St. (OVC),32,18-14,"2,401",75
304,Denver (Summit League),32,15-17,"2,402",75.1
305,FIU (CUSA),32,14-18,"2,404",75.1
306,St. John's (NY) (Big East),33,18-15,"2,481",75.2
307,UAlbany (America East),31,8-23,"2,332",75.2
308,Detroit Mercy (Horizon),33,14-19,"2,486",75.3
309,UT Martin (OVC),33,19-14,"2,489",75.4
310,McNeese (Southland),34,11-23,"2,565",75.4
311,Portland St. (Big Sky),31,12-19,"2,340",75.5
312,Delaware St. (MEAC),30,6-24,"2,265",75.5
313,SMU (AAC),32,10-22,"2,418",75.6
314,Columbia (Ivy League),29,7-22,"2,197",75.8
315,Louisville (ACC),32,4-28,"2,425",75.8
316,Southeast Mo. St. (OVC),36,19-17,"2,734",75.9
317,Evansville (MVC),32,5-27,"2,432",76
317,Southeastern La. (Southland),32,18-14,"2,432",76
319,Cornell (Ivy League),28,17-11,"2,129",76
320,Omaha (Summit League),32,9-23,"2,438",76.2
321,Florida St. (ACC),32,9-23,"2,439",76.2
322,Oakland (Horizon),32,13-19,"2,442",76.3
323,Green Bay (Horizon),32,3-29,"2,447",76.5
324,UTSA (CUSA),32,10-22,"2,450",76.6
325,Rice (CUSA),35,19-16,"2,680",76.6
326,George Washington (Atlantic 10),32,16-16,"2,455",76.7
327,IUPUI (Horizon),32,5-27,"2,456",76.8
328,VMI (SoCon),32,7-25,"2,457",76.8
329,Toledo (MAC),35,27-8,"2,691",76.9
330,High Point (Big South),31,14-17,"2,392",77.2
330,Tulane (AAC),31,20-11,"2,392",77.2
332,DePaul (Big East),33,10-23,"2,551",77.3
333,Tulsa (AAC),30,5-25,"2,323",77.4
334,Northern Colo. (Big Sky),32,12-20,"2,480",77.5
335,Hampton (CAA),32,8-24,"2,481",77.5
336,North Florida (ASUN),31,14-17,"2,405",77.6
337,Buffalo (MAC),32,15-17,"2,485",77.7
338,Pacific (WCC),33,15-18,"2,565",77.7
339,Georgetown (Big East),32,7-25,"2,500",78.1
340,UTRGV (WAC),32,15-17,"2,502",78.2
341,Bowling Green (MAC),31,11-20,"2,434",78.5
342,Portland (WCC),33,14-19,"2,594",78.6
343,New Orleans (Southland),32,12-20,"2,536",79.3
344,Little Rock (OVC),31,10-21,"2,461",79.4
345,LIU (NEC),29,3-26,"2,319",80
346,San Diego (WCC),31,11-20,"2,495",80.5
347,Eastern Mich. (MAC),31,8-23,"2,505",80.8
348,Pepperdine (WCC),31,9-22,"2,520",81.3
349,Central Ark. (ASUN),31,9-22,"2,527",81.5
350,Houston Christian (Southland),32,10-22,"2,658",83.1
351,Coppin St. (MEAC),32,9-23,"2,661",83.2
352,South Carolina St. (MEAC),31,5-26,"2,599",83.8
