Rank,Team,GM,W-L,3FG%
139,San Diego St. (Mountain West),39,32-7,34.8
140,UIW (Southland),31,12-19,34.8
141,NIU (MAC),32,13-19,34.8
142,Morehead St. (OVC),34,22-12,34.8
143,St. Bonaventure (Atlantic 10),32,14-18,34.8
144,VCU (Atlantic 10),35,27-8,34.8
145,Kentucky (SEC),34,22-12,34.7
146,Canisius (MAAC),30,10-20,34.7
147,Brown (Ivy League),27,14-13,34.7
148,NC State (ACC),34,23-11,34.7
149,Texas (Big 12),38,29-9,34.7
150,Kansas (Big 12),36,28-8,34.7
151,American (Patriot),32,17-15,34.6
152,Providence (Big East),33,21-12,34.6
153,Purdue Fort Wayne (Horizon),32,17-15,34.6
154,South Alabama (Sun Belt),35,19-16,34.5
155,Texas Tech (Big 12),32,16-16,34.5
156,Louisiana Tech (CUSA),33,15-18,34.5
157,Southern California (Pac-12),33,22-11,34.5
158,Sacramento St. (Big Sky),32,14-18,34.5
159,Milwaukee (Horizon),34,22-12,34.5
160,FDU (NEC),37,21-16,34.5
161,Abilene Christian (WAC),30,13-17,34.4
162,Furman (SoCon),36,28-8,34.4
163,Niagara (MAAC),31,16-15,34.4
164,Charleston So. (Big South),31,10-21,34.3
165,Kansas St. (Big 12),36,26-10,34.3
166,Eastern Ky. (ASUN),37,23-14,34.3
167,Northern Ky. (Horizon),35,22-13,34.2
168,New Hampshire (America East),30,15-15,34.2
169,Wisconsin (Big Ten),35,20-15,34.2
170,Princeton (Ivy League),32,23-9,34.2
171,La Salle (Atlantic 10),34,15-19,34.2
172,Nicholls (Southland),31,16-15,34.1
173,UMBC (America East),32,18-14,34.1
174,UNI (MVC),32,14-18,34
175,Bowling Green (MAC),31,11-20,34
176,Western Caro. (SoCon),34,18-16,34
177,Bryant (America East),30,17-13,34
178,Iowa (Big Ten),33,19-14,34
179,Jacksonville (ASUN),29,13-16,34
180,Idaho (Big Sky),32,10-22,34
181,Houston (AAC),37,33-4,34
182,Portland St. (Big Sky),31,12-19,34
183,BYU (Big 12),34,19-15,34
184,UC Davis (Big West),32,18-14,34
185,Miami (OH) (MAC),32,12-20,34
186,Chicago St. (DI Independent),31,11-20,33.9
187,New Mexico St. (WAC),24,9-15,33.9
188,UTRGV (WAC),32,15-17,33.9
189,Omaha (Summit League),32,9-23,33.9
190,Norfolk St. (MEAC),33,22-11,33.9
191,Dayton (Atlantic 10),34,22-12,33.8
192,Middle Tenn. (CUSA),33,19-14,33.8
193,LIU (NEC),29,3-26,33.8
194,Marshall (Sun Belt),32,24-8,33.8
195,Tulane (AAC),31,20-11,33.8
196,Idaho St. (Big Sky),32,11-21,33.8
197,Coppin St. (MEAC),32,9-23,33.8
198,Weber St. (Big Sky),33,18-15,33.7
199,USC Upstate (Big South),32,16-16,33.7
200,Montana St. (Big Sky),35,25-10,33.6
201,Illinois St. (MVC),32,11-21,33.6
202,Vanderbilt (SEC),37,22-15,33.6
203,Gardner-Webb (Big South),31,15-16,33.6
204,Kent St. (MAC),35,28-7,33.6
205,North Dakota St. (Summit League),33,16-17,33.6
206,South Fla. (AAC),32,14-18,33.6
207,Duke (ACC),36,27-9,33.5
208,Georgia Tech (ACC),33,15-18,33.5
209,UNCW (CAA),34,24-10,33.5
210,Alabama (SEC),37,31-6,33.5
211,App State (Sun Belt),32,16-16,33.5
212,Mercer (SoCon),33,14-19,33.4
213,Villanova (Big East),34,17-17,33.4
214,Loyola Chicago (Atlantic 10),31,10-21,33.4
215,Robert Morris (Horizon),33,16-17,33.4
215,UTSA (CUSA),32,10-22,33.4
217,Rider (MAAC),30,16-14,33.4
218,Campbell (Big South),34,16-18,33.4
219,Utah (Pac-12),32,17-15,33.3
220,Dartmouth (Ivy League),28,10-18,33.3
221,Manhattan (MAAC),30,12-18,33.3
222,Maine (America East),30,13-17,33.3
223,N.C. A&T (CAA),32,13-19,33.2
224,Utah Valley (WAC),37,28-9,33.2
225,Northeastern (CAA),30,10-20,33.2
226,Hartford (DI Independent),28,5-23,33.2
227,Murray St. (MVC),32,17-15,33.2
228,Iowa St. (Big 12),33,19-14,33.1
229,Missouri St. (MVC),32,17-15,33.1
230,Col. of Charleston (CAA),35,31-4,33.1
231,Southern U. (SWAC),32,15-17,33.1
232,St. John's (NY) (Big East),33,18-15,33.1
233,UT Martin (OVC),33,19-14,33.1
234,Richmond (Atlantic 10),33,15-18,33
235,Western Mich. (MAC),31,8-23,33
236,Wofford (SoCon),33,17-16,33
237,Florida St. (ACC),32,9-23,33
238,Temple (AAC),32,16-16,33
239,Hawaii (Big West),33,22-11,33
240,California Baptist (WAC),33,17-16,33
241,Boston U. (Patriot),32,15-17,33
242,UIC (MVC),32,12-20,32.9
243,Louisville (ACC),32,4-28,32.9
244,Saint Joseph's (Atlantic 10),33,16-17,32.9
245,SIUE (OVC),33,19-14,32.9
246,Eastern Ill. (OVC),31,9-22,32.9
247,Tennessee (SEC),36,25-11,32.9
248,Maryland (Big Ten),35,22-13,32.8
249,Marist (MAAC),33,13-20,32.8
250,Massachusetts (Atlantic 10),31,15-16,32.8
251,LSU (SEC),33,14-19,32.7
252,Central Conn. St. (NEC),32,10-22,32.7
253,Lafayette (Patriot),34,11-23,32.7
254,Butler (Big East),32,14-18,32.7
255,UAlbany (America East),31,8-23,32.7
256,Southeast Mo. St. (OVC),36,19-17,32.7
257,FIU (CUSA),32,14-18,32.6
258,Little Rock (OVC),31,10-21,32.6
259,Texas A&M (SEC),35,25-10,32.6
260,Denver (Summit League),32,15-17,32.6
261,Southern Ill. (MVC),33,23-10,32.6
262,Nebraska (Big Ten),32,16-16,32.6
263,San Jose St. (Mountain West),35,21-14,32.6
264,McNeese (Southland),34,11-23,32.5
265,Davidson (Atlantic 10),32,16-16,32.5
266,High Point (Big South),31,14-17,32.5
267,CSU Bakersfield (Big West),33,11-22,32.5
268,Minnesota (Big Ten),31,9-22,32.5
269,The Citadel (SoCon),32,10-22,32.5
269,Seton Hall (Big East),33,17-16,32.5
271,South Carolina (SEC),32,11-21,32.3
272,Central Ark. (ASUN),31,9-22,32.3
273,Binghamton (America East),31,13-18,32.3
274,Stony Brook (CAA),33,11-22,32.2
275,Southern Miss. (Sun Belt),33,25-8,32.2
276,Evansville (MVC),32,5-27,32.2
277,Arizona St. (Pac-12),36,23-13,32.2
278,UT Arlington (WAC),32,11-21,32.2
279,Buffalo (MAC),32,15-17,32.2
280,Austin Peay (ASUN),31,9-22,32.2
281,Purdue (Big Ten),35,29-6,32.2
282,Colorado (Pac-12),35,18-17,32.2
283,Hampton (CAA),32,8-24,32.2
284,George Washington (Atlantic 10),32,16-16,32.1
285,Northwestern (Big Ten),34,22-12,32.1
286,Rutgers (Big Ten),34,19-15,32.1
287,ETSU (SoCon),32,12-20,32.1
288,Delaware (CAA),33,17-16,32.1
289,Western Ill. (Summit League),30,16-14,32.1
290,Oregon (Pac-12),36,21-15,32
291,Lamar University (Southland),31,9-22,32
292,CSUN (Big West),32,7-25,32
293,Troy (Sun Belt),33,20-13,32
294,Boston College (ACC),33,16-17,31.9
295,Jackson St. (SWAC),33,14-19,31.8
296,Fordham (Atlantic 10),33,25-8,31.8
297,UMES (MEAC),31,18-13,31.8
298,South Carolina St. (MEAC),31,5-26,31.7
299,Oregon St. (Pac-12),32,11-21,31.7
300,Georgia (SEC),32,16-16,31.7
301,Columbia (Ivy League),29,7-22,31.7
302,Coastal Carolina (Sun Belt),31,11-20,31.6
303,Seattle U (WAC),32,20-12,31.6
304,East Carolina (AAC),33,16-17,31.6
305,Drexel (CAA),32,17-15,31.6
306,Eastern Mich. (MAC),31,8-23,31.6
307,Ark.-Pine Bluff (SWAC),31,10-21,31.6
308,Delaware St. (MEAC),30,6-24,31.5
309,Auburn (SEC),34,21-13,31.5
310,Ga. Southern (Sun Belt),33,17-16,31.4
311,Florida (SEC),33,16-17,31.4
312,Old Dominion (Sun Belt),31,19-12,31.4
313,Florida A&M (SWAC),29,7-22,31.3
314,Sacred Heart (NEC),33,16-17,31.3
315,Arkansas (SEC),36,22-14,31.3
316,Tulsa (AAC),30,5-25,31.3
317,Washington (Pac-12),32,16-16,31.3
318,North Carolina (ACC),33,20-13,31.2
319,SMU (AAC),32,10-22,31.1
320,Wagner (NEC),28,15-13,31
321,Presbyterian (Big South),32,5-27,31
322,Oklahoma St. (Big 12),36,20-16,31
323,TCU (Big 12),35,22-13,31
324,Wichita St. (AAC),32,17-15,30.9
325,Georgetown (Big East),32,7-25,30.9
326,Harvard (Ivy League),28,14-14,30.9
327,Fresno St. (Mountain West),31,11-20,30.8
328,Oakland (Horizon),32,13-19,30.8
329,Illinois (Big Ten),33,20-13,30.8
330,Texas St. (Sun Belt),35,16-19,30.7
331,Cleveland St. (Horizon),35,21-14,30.7
332,Alabama St. (SWAC),31,8-23,30.6
333,Rhode Island (Atlantic 10),31,9-22,30.4
334,Prairie View (SWAC),32,13-19,30.3
335,Ole Miss (SEC),33,12-21,30.3
336,Elon (CAA),32,8-24,30.2
337,Green Bay (Horizon),32,3-29,30.1
338,Central Mich. (MAC),31,10-21,30
339,California (Pac-12),32,3-29,29.8
340,IU Indy (Horizon),32,5-27,29.7
341,Valparaiso (MVC),32,11-21,29.6
342,Alcorn (SWAC),32,18-14,29.6
343,Long Beach St. (Big West),33,17-16,29.6
344,Georgia St. (Sun Belt),31,10-21,29.5
345,Cal Poly (Big West),33,8-25,29.4
346,UTEP (CUSA),32,14-18,29.4
347,Saint Peter's (MAAC),32,14-18,29.3
348,Monmouth (CAA),33,7-26,28.8
349,Fairfield (MAAC),31,13-18,28.7
350,Kansas City (Summit League),32,11-21,28.3
351,Texas Southern (SWAC),35,14-21,27.7
352,Mississippi St. (SEC),34,21-13,26.6
