Rank,Team,GM,W-L,OPP FG,OPP FGA,OPP FG%
92,Kansas St. (Big 12),36,26-10,878,"2,070",42.4
93,Kansas City (Summit League),32,11-21,734,"1,730",42.4
94,Arkansas (SEC),36,22-14,847,"1,996",42.4
95,Missouri St. (MVC),32,17-15,722,"1,701",42.4
96,Troy (Sun Belt),33,20-13,770,"1,814",42.4
97,Rider (MAAC),30,16-14,690,"1,625",42.5
98,Colorado (Pac-12),35,18-17,842,"1,982",42.5
99,N.C. Central (MEAC),30,18-12,704,"1,657",42.5
100,Texas (Big 12),38,29-9,906,"2,132",42.5
101,Drexel (CAA),32,17-15,762,"1,793",42.5
102,SIUE (OVC),33,19-14,823,"1,936",42.5
103,Nebraska (Big Ten),32,16-16,826,"1,943",42.5
104,Michigan (Big Ten),34,18-16,885,"2,081",42.5
105,Nevada (Mountain West),33,22-11,781,"1,836",42.5
106,Princeton (Ivy League),32,23-9,810,"1,904",42.5
107,Maryland (Big Ten),35,22-13,814,"1,912",42.6
108,Stony Brook (CAA),33,11-22,824,"1,935",42.6
109,Indiana St. (MVC),36,23-13,902,"2,117",42.6
110,CSUN (Big West),32,7-25,737,"1,729",42.6
111,George Mason (Atlantic 10),33,20-13,798,"1,872",42.6
112,New Mexico St. (WAC),24,9-15,584,"1,369",42.7
113,Coastal Carolina (Sun Belt),31,11-20,808,"1,893",42.7
114,CSU Bakersfield (Big West),33,11-22,700,"1,639",42.7
115,Cincinnati (AAC),36,23-13,915,"2,142",42.7
116,TCU (Big 12),35,22-13,871,"2,038",42.7
117,Oregon St. (Pac-12),32,11-21,745,"1,743",42.7
118,Texas Southern (SWAC),35,14-21,868,"2,029",42.8
119,Lipscomb (ASUN),33,20-13,866,"2,024",42.8
120,Saint Peter's (MAAC),32,14-18,664,"1,551",42.8
121,Akron (MAC),33,22-11,802,"1,873",42.8
122,Seattle U (WAC),32,20-12,791,"1,847",42.8
123,Kentucky (SEC),34,22-12,827,"1,929",42.9
124,Syracuse (ACC),32,17-15,851,"1,984",42.9
125,Wagner (NEC),28,15-13,568,"1,324",42.9
126,St. Bonaventure (Atlantic 10),32,14-18,735,"1,713",42.9
127,Tulane (AAC),31,20-11,845,"1,969",42.9
128,Richmond (Atlantic 10),33,15-18,813,"1,893",42.9
129,UNCW (CAA),34,24-10,766,"1,783",43
130,Ohio St. (Big Ten),35,16-19,879,"2,046",43
131,Penn St. (Big Ten),37,23-14,933,"2,171",43
132,Vanderbilt (SEC),37,22-15,954,"2,219",43
133,Kennesaw St. (ASUN),35,26-9,842,"1,957",43
134,Mercer (SoCon),33,14-19,774,"1,798",43
135,Temple (AAC),32,16-16,810,"1,881",43.1
136,Prairie View (SWAC),32,13-19,742,"1,723",43.1
137,South Fla. (AAC),32,14-18,783,"1,818",43.1
138,Eastern Ky. (ASUN),37,23-14,987,"2,291",43.1
139,Col. of Charleston (CAA),35,31-4,899,"2,085",43.1
140,BYU (Big 12),34,19-15,819,"1,897",43.2
141,Samford (SoCon),32,21-11,770,"1,783",43.2
142,Oklahoma (Big 12),32,15-17,797,"1,845",43.2
143,Montana St. (Big Sky),35,25-10,815,"1,885",43.2
144,Lehigh (Patriot),30,16-14,769,"1,778",43.3
145,USC Upstate (Big South),32,16-16,750,"1,732",43.3
146,Robert Morris (Horizon),33,16-17,793,"1,831",43.3
147,Cal Poly (Big West),33,8-25,732,"1,689",43.3
148,Saint Joseph's (Atlantic 10),33,16-17,834,"1,923",43.4
149,Santa Clara (WCC),33,23-10,883,"2,035",43.4
150,N.C. A&T (CAA),32,13-19,853,"1,965",43.4
151,Boston U. (Patriot),32,15-17,749,"1,725",43.4
152,Massachusetts (Atlantic 10),31,15-16,779,"1,794",43.4
153,North Carolina (ACC),33,20-13,876,"2,017",43.4
154,St. John's (NY) (Big East),33,18-15,885,"2,037",43.4
155,Wright St. (Horizon),33,18-15,897,"2,062",43.5
156,FGCU (ASUN),32,17-15,804,"1,848",43.5
157,Eastern Ill. (OVC),31,9-22,786,"1,806",43.5
158,Rhode Island (Atlantic 10),31,9-22,793,"1,822",43.5
159,Navy (Patriot),31,18-13,733,"1,684",43.5
160,Longwood (Big South),32,20-12,737,"1,693",43.5
161,Georgia St. (Sun Belt),31,10-21,755,"1,734",43.5
162,UMES (MEAC),31,18-13,729,"1,674",43.5
163,Alabama St. (SWAC),31,8-23,801,"1,839",43.6
164,New Hampshire (America East),30,15-15,741,"1,701",43.6
165,ETSU (SoCon),32,12-20,799,"1,834",43.6
166,Jacksonville St. (ASUN),31,13-18,762,"1,749",43.6
167,East Carolina (AAC),33,16-17,830,"1,905",43.6
168,Elon (CAA),32,8-24,815,"1,869",43.6
169,New Mexico (Mountain West),34,22-12,916,"2,100",43.6
170,Villanova (Big East),34,17-17,817,"1,871",43.7
171,Ark.-Pine Bluff (SWAC),31,10-21,738,"1,689",43.7
172,UT Arlington (WAC),32,11-21,751,"1,718",43.7
173,Charlotte (CUSA),36,22-14,836,"1,912",43.7
174,Ole Miss (SEC),33,12-21,819,"1,873",43.7
175,Binghamton (America East),31,13-18,781,"1,786",43.7
176,UNLV (Mountain West),32,19-13,779,"1,781",43.7
177,ULM (Sun Belt),32,11-21,804,"1,838",43.7
178,Central Mich. (MAC),31,10-21,769,"1,757",43.8
179,Morehead St. (OVC),34,22-12,846,"1,932",43.8
180,Arkansas St. (Sun Belt),33,13-20,778,"1,776",43.8
181,Lafayette (Patriot),34,11-23,800,"1,826",43.8
182,Tennessee Tech (OVC),33,16-17,888,"2,026",43.8
183,Western Caro. (SoCon),34,18-16,871,"1,987",43.8
184,Tennessee St. (OVC),32,18-14,809,"1,845",43.8
185,Northern Ky. (Horizon),35,22-13,793,"1,808",43.9
186,Sacred Heart (NEC),33,16-17,866,"1,973",43.9
187,SFA (WAC),32,19-13,764,"1,740",43.9
188,Niagara (MAAC),31,16-15,731,"1,664",43.9
189,South Dakota St. (Summit League),32,19-13,826,"1,880",43.9
190,Ball St. (MAC),32,20-12,823,"1,873",43.9
191,Morgan St. (MEAC),31,15-16,789,"1,794",44
192,Georgia (SEC),32,16-16,841,"1,912",44
193,Fairfield (MAAC),31,13-18,769,"1,748",44
194,Southern U. (SWAC),32,15-17,766,"1,741",44
195,San Francisco (WCC),34,20-14,854,"1,941",44
196,Southern Utah (WAC),37,24-13,999,"2,270",44
197,Providence (Big East),33,21-12,872,"1,980",44
198,Manhattan (MAAC),30,12-18,759,"1,723",44.1
199,Georgia Tech (ACC),33,15-18,856,"1,943",44.1
200,North Dakota St. (Summit League),33,16-17,884,"2,006",44.1
201,High Point (Big South),31,14-17,856,"1,942",44.1
202,Dartmouth (Ivy League),28,10-18,736,"1,669",44.1
203,Bucknell (Patriot),32,12-20,815,"1,846",44.1
204,North Ala. (ASUN),33,18-15,878,"1,988",44.2
205,UTRGV (WAC),32,15-17,867,"1,963",44.2
206,Louisiana (Sun Belt),34,26-8,859,"1,944",44.2
207,Florida A&M (SWAC),29,7-22,695,"1,572",44.2
208,Gonzaga (WCC),37,31-6,993,"2,246",44.2
209,Fresno St. (Mountain West),31,11-20,711,"1,607",44.2
210,Boston College (ACC),33,16-17,833,"1,882",44.3
211,Xavier (Big East),37,27-10,"1,012","2,285",44.3
212,Stanford (Pac-12),33,14-19,806,"1,819",44.3
213,Davidson (Atlantic 10),32,16-16,817,"1,843",44.3
214,Purdue Fort Wayne (Horizon),32,17-15,847,"1,909",44.4
215,Wisconsin (Big Ten),35,20-15,831,"1,871",44.4
216,UC Santa Barbara (Big West),35,27-8,845,"1,902",44.4
217,Marquette (Big East),36,29-7,919,"2,067",44.5
218,FIU (CUSA),32,14-18,848,"1,907",44.5
219,Texas St. (Sun Belt),35,16-19,800,"1,799",44.5
220,Air Force (Mountain West),32,14-18,764,"1,718",44.5
221,NC State (ACC),34,23-11,859,"1,931",44.5
222,Colorado St. (Mountain West),33,15-18,827,"1,859",44.5
223,Nicholls (Southland),31,16-15,743,"1,670",44.5
224,Howard (MEAC),35,22-13,902,"2,027",44.5
225,Southeast Mo. St. (OVC),36,19-17,928,"2,085",44.5
226,Ohio (MAC),33,19-14,860,"1,932",44.5
227,Louisiana Tech (CUSA),33,15-18,789,"1,771",44.6
228,UC Davis (Big West),32,18-14,830,"1,862",44.6
229,Duquesne (Atlantic 10),33,20-13,836,"1,875",44.6
229,Washington St. (Pac-12),34,17-17,836,"1,875",44.6
231,Missouri (SEC),35,25-10,891,"1,998",44.6
232,Virginia Tech (ACC),34,19-15,892,"2,000",44.6
233,George Washington (Atlantic 10),32,16-16,892,"1,999",44.6
234,Army West Point (Patriot),33,17-16,852,"1,909",44.6
235,UTEP (CUSA),32,14-18,767,"1,718",44.6
236,The Citadel (SoCon),32,10-22,831,"1,861",44.7
237,Lamar University (Southland),31,9-22,827,"1,852",44.7
238,St. Francis Brooklyn (NEC),30,14-16,749,"1,677",44.7
239,Denver (Summit League),32,15-17,871,"1,950",44.7
240,Alcorn (SWAC),32,18-14,778,"1,741",44.7
241,LSU (SEC),33,14-19,831,"1,859",44.7
242,UIC (MVC),32,12-20,823,"1,841",44.7
243,Brown (Ivy League),27,14-13,689,"1,541",44.7
244,Central Conn. St. (NEC),32,10-22,821,"1,836",44.7
245,Butler (Big East),32,14-18,838,"1,874",44.7
246,Murray St. (MVC),32,17-15,854,"1,909",44.7
247,Furman (SoCon),36,28-8,937,"2,094",44.7
248,Vermont (America East),34,23-11,835,"1,866",44.7
249,Miami (FL) (ACC),37,29-8,991,"2,214",44.8
250,A&M-Corpus Christi (Southland),35,24-11,893,"1,995",44.8
251,Middle Tenn. (CUSA),33,19-14,789,"1,762",44.8
251,Weber St. (Big Sky),33,18-15,789,"1,762",44.8
253,Valparaiso (MVC),32,11-21,843,"1,882",44.8
254,Wake Forest (ACC),33,19-14,892,"1,990",44.8
255,UNI (MVC),32,14-18,800,"1,783",44.9
256,West Virginia (Big 12),34,19-15,834,"1,857",44.9
257,Siena (MAAC),32,17-15,793,"1,765",44.9
258,Minnesota (Big Ten),31,9-22,834,"1,856",44.9
259,Radford (Big South),36,21-15,849,"1,889",44.9
260,Belmont (MVC),32,21-11,852,"1,895",45
260,NIU (MAC),32,13-19,852,"1,895",45
262,Northeastern (CAA),30,10-20,787,"1,750",45
263,Youngstown St. (Horizon),34,24-10,929,"2,065",45
264,La Salle (Atlantic 10),34,15-19,898,"1,996",45
265,Delaware (CAA),33,17-16,850,"1,888",45
266,UTSA (CUSA),32,10-22,883,"1,961",45
267,Montana (Big Sky),31,17-14,733,"1,626",45.1
268,Loyola Chicago (Atlantic 10),31,10-21,769,"1,705",45.1
269,Idaho St. (Big Sky),32,11-21,796,"1,764",45.1
270,Saint Francis (PA) (NEC),31,13-18,843,"1,868",45.1
271,NJIT (America East),30,7-23,808,"1,789",45.2
272,South Dakota (Summit League),31,12-19,813,"1,800",45.2
273,California (Pac-12),32,3-29,801,"1,772",45.2
274,UMBC (America East),32,18-14,851,"1,881",45.2
275,SMU (AAC),32,10-22,864,"1,908",45.3
276,American (Patriot),32,17-15,754,"1,665",45.3
277,Jackson St. (SWAC),33,14-19,853,"1,881",45.3
278,Stetson (ASUN),31,17-14,826,"1,821",45.4
279,Buffalo (MAC),32,15-17,881,"1,942",45.4
280,Florida St. (ACC),32,9-23,854,"1,882",45.4
281,Bethune-Cookman (SWAC),32,12-20,845,"1,862",45.4
282,Campbell (Big South),34,16-18,834,"1,837",45.4
283,Northwestern St. (Southland),33,22-11,826,"1,819",45.4
284,Baylor (Big 12),34,23-11,864,"1,902",45.4
285,Illinois St. (MVC),32,11-21,805,"1,770",45.5
286,Holy Cross (Patriot),32,10-22,876,"1,926",45.5
287,UC Riverside (Big West),34,22-12,841,"1,848",45.5
288,DePaul (Big East),33,10-23,903,"1,984",45.5
289,Chicago St. (DI Independent),31,11-20,812,"1,783",45.5
290,Colgate (Patriot),35,26-9,937,"2,056",45.6
291,Portland (WCC),33,14-19,932,"2,045",45.6
292,LMU (CA) (WCC),31,19-12,809,"1,773",45.6
293,Sacramento St. (Big Sky),32,14-18,822,"1,801",45.6
294,Columbia (Ivy League),29,7-22,819,"1,792",45.7
295,Omaha (Summit League),32,9-23,851,"1,859",45.8
296,Notre Dame (ACC),32,11-21,854,"1,862",45.9
297,Georgetown (Big East),32,7-25,918,"2,001",45.9
298,Monmouth (CAA),33,7-26,828,"1,804",45.9
299,Wyoming (Mountain West),31,9-22,796,"1,733",45.9
300,Pepperdine (WCC),31,9-22,915,"1,991",46
301,Charleston So. (Big South),31,10-21,803,"1,747",46
302,Hartford (DI Independent),28,5-23,734,"1,596",46
303,Southeastern La. (Southland),32,18-14,861,"1,872",46
304,Wofford (SoCon),33,17-16,878,"1,908",46
305,Toledo (MAC),35,27-8,981,"2,128",46.1
306,Western Ill. (Summit League),30,16-14,822,"1,782",46.1
307,Miami (OH) (MAC),32,12-20,840,"1,819",46.2
308,Coppin St. (MEAC),32,9-23,937,"2,029",46.2
309,Mississippi Val. (SWAC),32,5-27,826,"1,788",46.2
310,Western Mich. (MAC),31,8-23,820,"1,774",46.2
311,Detroit Mercy (Horizon),33,14-19,893,"1,931",46.2
312,Maine (America East),30,13-17,773,"1,671",46.3
313,North Florida (ASUN),31,14-17,929,"2,004",46.4
314,William & Mary (CAA),33,13-20,864,"1,861",46.4
315,Hampton (CAA),32,8-24,878,"1,889",46.5
316,South Carolina (SEC),32,11-21,864,"1,858",46.5
317,Delaware St. (MEAC),30,6-24,772,"1,660",46.5
318,Rice (CUSA),35,19-16,"1,006","2,161",46.6
319,Presbyterian (Big South),32,5-27,786,"1,686",46.6
320,Bowling Green (MAC),31,11-20,866,"1,857",46.6
321,Canisius (MAAC),30,10-20,815,"1,747",46.7
322,VMI (SoCon),32,7-25,879,"1,883",46.7
323,Pacific (WCC),33,15-18,906,"1,937",46.8
324,Oakland (Horizon),32,13-19,912,"1,949",46.8
325,IU Indy (Horizon),32,5-27,860,"1,833",46.9
326,McNeese (Southland),34,11-23,902,"1,920",47
327,Idaho (Big Sky),32,10-22,848,"1,805",47
328,Winthrop (Big South),32,15-17,888,"1,890",47
329,Central Ark. (ASUN),31,9-22,923,"1,963",47
330,North Dakota (Summit League),33,13-20,916,"1,948",47
331,Louisville (ACC),32,4-28,877,"1,862",47.1
332,Cornell (Ivy League),28,17-11,774,"1,643",47.1
333,Portland St. (Big Sky),31,12-19,787,"1,669",47.2
334,FDU (NEC),37,21-16,972,"2,061",47.2
335,Northern Ariz. (Big Sky),35,12-23,905,"1,917",47.2
336,UIW (Southland),31,12-19,832,"1,759",47.3
337,Iowa (Big Ten),33,19-14,939,"1,982",47.4
338,Northern Colo. (Big Sky),32,12-20,911,"1,922",47.4
339,New Orleans (Southland),32,12-20,881,"1,858",47.4
340,Tulsa (AAC),30,5-25,864,"1,822",47.4
341,Little Rock (OVC),31,10-21,870,"1,829",47.6
342,LIU (NEC),29,3-26,854,"1,795",47.6
343,Abilene Christian (WAC),30,13-17,727,"1,526",47.6
344,Loyola Maryland (Patriot),33,13-20,862,"1,804",47.8
345,Austin Peay (ASUN),31,9-22,796,"1,664",47.8
346,Evansville (MVC),32,5-27,867,"1,809",47.9
347,Eastern Mich. (MAC),31,8-23,894,"1,846",48.4
348,Green Bay (Horizon),32,3-29,893,"1,832",48.7
349,UAlbany (America East),31,8-23,836,"1,704",49.1
350,San Diego (WCC),31,11-20,897,"1,818",49.3
351,Houston Christian (Southland),32,10-22,984,"1,978",49.7
352,South Carolina St. (MEAC),31,5-26,890,"1,785",49.9
