Rank,Team,GM,W-L,OPP FG,OPP FGA,OPP FG%
1,Houston (AAC),37,33-4,708,"1,933",36.6
2,Alabama (SEC),37,31-6,885,"2,387",37.1
3,Tennessee (SEC),36,25-11,707,"1,895",37.3
4,Grambling (SWAC),33,24-9,685,"1,801",38
5,Utah Valley (WAC),37,28-9,928,"2,380",39
6,North Texas (CUSA),38,31-7,712,"1,822",39.1
7,Sam Houston (WAC),34,26-8,667,"1,704",39.1
8,Southern California (Pac-12),33,22-11,776,"1,977",39.3
9,Dayton (Atlantic 10),34,22-12,764,"1,942",39.3
10,Mississippi St. (SEC),34,21-13,728,"1,849",39.4
11,Oklahoma St. (Big 12),36,20-16,820,"2,076",39.5
12,Yale (Ivy League),30,21-9,653,"1,650",39.6
13,UC Irvine (Big West),35,23-12,797,"2,010",39.7
14,Utah (Pac-12),32,17-15,764,"1,924",39.7
15,Arizona St. (Pac-12),36,23-13,836,"2,096",39.9
16,UConn (Big East),39,31-8,856,"2,145",39.9
17,Rutgers (Big Ten),34,19-15,742,"1,855",40
18,Memphis (AAC),35,26-9,848,"2,114",40.1
19,App State (Sun Belt),32,16-16,753,"1,870",40.3
20,Fla. Atlantic (CUSA),39,35-4,923,"2,290",40.3
21,UNC Greensboro (SoCon),32,20-12,728,"1,799",40.5
22,Kent St. (MAC),35,28-7,777,"1,920",40.5
23,Hawaii (Big West),33,22-11,760,"1,877",40.5
24,Clemson (ACC),34,23-11,798,"1,970",40.5
25,Drake (MVC),35,27-8,811,"2,001",40.5
26,Bradley (MVC),35,25-10,760,"1,875",40.5
27,Duke (ACC),36,27-9,844,"2,079",40.6
28,Wichita St. (AAC),32,17-15,784,"1,931",40.6
29,Texas A&M (SEC),35,25-10,783,"1,924",40.7
30,UMass Lowell (America East),34,26-8,790,"1,940",40.7
31,Auburn (SEC),34,21-13,788,"1,935",40.7
32,Jacksonville (ASUN),29,13-16,642,"1,576",40.7
33,Hofstra (CAA),35,25-10,862,"2,115",40.8
34,UCLA (Pac-12),37,31-6,812,"1,992",40.8
35,Norfolk St. (MEAC),33,22-11,747,"1,832",40.8
36,Milwaukee (Horizon),34,22-12,893,"2,187",40.8
37,Arizona (Pac-12),35,28-7,905,"2,216",40.8
38,Grand Canyon (WAC),36,24-12,863,"2,112",40.9
39,Oregon (Pac-12),36,21-15,866,"2,119",40.9
40,Indiana (Big Ten),35,23-12,852,"2,084",40.9
41,San Diego St. (Mountain West),39,32-7,878,"2,146",40.9
42,Iona (MAAC),35,27-8,826,"2,009",41.1
43,UAB (CUSA),39,29-10,984,"2,391",41.2
44,Old Dominion (Sun Belt),31,19-12,714,"1,730",41.3
45,Marist (MAAC),33,13-20,782,"1,893",41.3
46,Northwestern (Big Ten),34,22-12,745,"1,801",41.4
47,Gardner-Webb (Big South),31,15-16,678,"1,639",41.4
48,Saint Louis (Atlantic 10),33,21-12,819,"1,977",41.4
49,Florida (SEC),33,16-17,830,"2,002",41.5
50,VCU (Atlantic 10),35,27-8,789,"1,903",41.5
51,Virginia (ACC),33,25-8,712,"1,717",41.5
52,Boise St. (Mountain West),34,24-10,802,"1,933",41.5
53,Kansas (Big 12),36,28-8,873,"2,103",41.5
54,Southern Miss. (Sun Belt),33,25-8,778,"1,874",41.5
55,Seton Hall (Big East),33,17-16,762,"1,835",41.5
56,Illinois (Big Ten),33,20-13,804,"1,934",41.6
57,Oral Roberts (Summit League),35,30-5,918,"2,207",41.6
58,Washington (Pac-12),32,16-16,834,"2,005",41.6
59,Purdue (Big Ten),35,29-6,842,"2,024",41.6
60,Cal St. Fullerton (Big West),33,20-13,754,"1,812",41.6
61,Saint Mary's (CA) (WCC),35,27-8,753,"1,806",41.7
62,Penn (Ivy League),30,17-13,757,"1,811",41.8
63,Liberty (ASUN),36,27-9,792,"1,891",41.9
64,San Jose St. (Mountain West),35,21-14,826,"1,970",41.9
65,Texas Tech (Big 12),32,16-16,785,"1,872",41.9
66,Towson (CAA),33,21-12,774,"1,845",42
67,Western Ky. (CUSA),33,17-16,842,"2,006",42
68,South Alabama (Sun Belt),35,19-16,853,"2,032",42
69,Iowa St. (Big 12),33,19-14,671,"1,598",42
70,UCF (AAC),34,19-15,779,"1,855",42
71,Southern Ill. (MVC),33,23-10,743,"1,769",42
72,Pittsburgh (ACC),36,24-12,892,"2,122",42
73,Fordham (Atlantic 10),33,25-8,774,"1,841",42
74,Bryant (America East),30,17-13,778,"1,849",42.1
75,Creighton (Big East),37,24-13,983,"2,332",42.2
76,Long Beach St. (Big West),33,17-16,867,"2,056",42.2
77,Harvard (Ivy League),28,14-14,680,"1,612",42.2
78,James Madison (Sun Belt),33,22-11,811,"1,920",42.2
79,UT Martin (OVC),33,19-14,877,"2,076",42.2
80,Marshall (Sun Belt),32,24-8,852,"2,016",42.3
81,Chattanooga (SoCon),35,18-17,888,"2,099",42.3
82,Utah St. (Mountain West),35,26-9,870,"2,055",42.3
83,Eastern Wash. (Big Sky),34,23-11,849,"2,005",42.3
84,Quinnipiac (MAAC),32,20-12,822,"1,941",42.3
85,Michigan St. (Big Ten),34,21-13,834,"1,968",42.4
86,Ga. Southern (Sun Belt),33,17-16,779,"1,838",42.4
87,Cleveland St. (Horizon),35,21-14,857,"2,022",42.4
88,Mount St. Mary's (MAAC),33,13-20,797,"1,880",42.4
89,Alabama A&M (SWAC),33,15-18,781,"1,842",42.4
90,UNC Asheville (Big South),35,27-8,901,"2,125",42.4
91,California Baptist (WAC),33,17-16,790,"1,863",42.4
