Rank,Team,GM,REB,RPG
1,Alabama (SEC),37,"1,652",44.65
2,UAB (CUSA),39,"1,595",40.90
3,Long Beach St. (Big West),33,"1,341",40.64
4,Utah Valley (WAC),37,"1,492",40.32
5,Col. of Charleston (CAA),35,"1,411",40.31
6,St. John's (NY) (Big East),33,"1,324",40.12
7,Eastern Ky. (ASUN),37,"1,481",40.03
8,North Carolina (ACC),33,"1,304",39.52
9,Kentucky (SEC),34,"1,339",39.38
10,UConn (Big East),39,"1,534",39.33
11,Arizona (Pac-12),35,"1,376",39.31
12,Bryant (America East),30,"1,179",39.30
13,Utah (Pac-12),32,"1,254",39.19
14,UT Martin (OVC),33,"1,293",39.18
15,Milwaukee (Horizon),34,"1,330",39.12
16,Princeton (Ivy League),32,"1,248",39.00
17,Marshall (Sun Belt),32,"1,247",38.97
18,Fla. Atlantic (CUSA),39,"1,519",38.95
19,Houston (AAC),37,"1,441",38.95
20,Purdue (Big Ten),35,"1,354",38.69
21,Duke (ACC),36,"1,392",38.67
22,UMass Lowell (America East),34,"1,314",38.65
23,Southern Utah (WAC),37,"1,427",38.57
24,Tennessee (SEC),36,"1,382",38.39
25,Massachusetts (Atlantic 10),31,"1,187",38.29
26,Santa Clara (WCC),33,"1,261",38.21
27,San Jose St. (Mountain West),35,"1,335",38.14
28,James Madison (Sun Belt),33,"1,257",38.09
28,Providence (Big East),33,"1,257",38.09
30,High Point (Big South),31,"1,179",38.03
31,Saint Louis (Atlantic 10),33,"1,254",38.00
32,Old Dominion (Sun Belt),31,"1,175",37.90
33,Mississippi St. (SEC),34,"1,288",37.88
34,UTRGV (WAC),32,"1,211",37.84
35,Illinois (Big Ten),33,"1,248",37.82
36,Yale (Ivy League),30,"1,133",37.77
37,Buffalo (MAC),32,"1,208",37.75
38,Xavier (Big East),37,"1,396",37.73
39,Oregon (Pac-12),36,"1,354",37.61
40,Penn (Ivy League),30,"1,128",37.60
41,Ohio (MAC),33,"1,239",37.55
42,Texas Southern (SWAC),35,"1,313",37.51
43,Quinnipiac (MAAC),32,"1,197",37.41
43,South Fla. (AAC),32,"1,197",37.41
45,BYU (Big 12),34,"1,271",37.38
46,Oklahoma St. (Big 12),36,"1,345",37.36
47,Towson (CAA),33,"1,232",37.33
48,A&M-Corpus Christi (Southland),35,"1,306",37.31
49,Cincinnati (AAC),36,"1,341",37.25
50,Coastal Carolina (Sun Belt),31,"1,153",37.19
51,Gonzaga (WCC),37,"1,376",37.19
52,California Baptist (WAC),33,"1,227",37.18
53,Colorado (Pac-12),35,"1,300",37.14
54,Seattle U (WAC),32,"1,186",37.06
54,UC Davis (Big West),32,"1,186",37.06
56,East Carolina (AAC),33,"1,223",37.06
57,New Mexico (Mountain West),34,"1,260",37.06
58,Rhode Island (Atlantic 10),31,"1,148",37.03
59,SIUE (OVC),33,"1,222",37.03
60,UC Irvine (Big West),35,"1,296",37.03
61,Creighton (Big East),37,"1,369",37.00
62,Kansas City (Summit League),32,"1,183",36.97
63,Western Mich. (MAC),31,"1,146",36.97
64,Western Caro. (SoCon),34,"1,256",36.94
65,Fordham (Atlantic 10),33,"1,219",36.94
66,UNC Greensboro (SoCon),32,"1,180",36.88
67,Oral Roberts (Summit League),35,"1,288",36.80
67,Texas A&M (SEC),35,"1,288",36.80
69,Rutgers (Big Ten),34,"1,251",36.79
69,UC Riverside (Big West),34,"1,251",36.79
71,Sam Houston (WAC),34,"1,250",36.76
72,Detroit Mercy (Horizon),33,"1,212",36.73
72,Wright St. (Horizon),33,"1,212",36.73
74,Michigan (Big Ten),34,"1,248",36.71
75,NC State (ACC),34,"1,244",36.59
76,Grand Canyon (WAC),36,"1,317",36.58
77,Iowa (Big Ten),33,"1,207",36.58
78,Arizona St. (Pac-12),36,"1,315",36.53
79,Louisiana (Sun Belt),34,"1,241",36.50
80,Southern Miss. (Sun Belt),33,"1,203",36.45
81,Central Ark. (ASUN),31,"1,128",36.39
82,Tennessee St. (OVC),32,"1,164",36.38
83,Wichita St. (AAC),32,"1,163",36.34
84,San Diego St. (Mountain West),39,"1,416",36.31
85,Lipscomb (ASUN),33,"1,198",36.30
86,Harvard (Ivy League),28,"1,015",36.25
87,Grambling (SWAC),33,"1,196",36.24
88,Chattanooga (SoCon),35,"1,268",36.23
89,Vanderbilt (SEC),37,"1,340",36.22
90,Auburn (SEC),34,"1,231",36.21
91,Rider (MAAC),30,"1,085",36.17
92,Dayton (Atlantic 10),34,"1,229",36.15
93,Pittsburgh (ACC),36,"1,301",36.14
94,LMU (CA) (WCC),31,"1,119",36.10
94,Lamar University (Southland),31,"1,119",36.10
96,North Dakota St. (Summit League),33,"1,191",36.09
97,Northeastern (CAA),30,"1,081",36.03
98,Alabama St. (SWAC),31,"1,117",36.03
98,Jacksonville St. (ASUN),31,"1,117",36.03
100,Georgetown (Big East),32,"1,151",35.97
101,Kansas (Big 12),36,"1,294",35.94
102,Eastern Wash. (Big Sky),34,"1,222",35.94
103,Ohio St. (Big Ten),35,"1,257",35.91
104,Norfolk St. (MEAC),33,"1,185",35.91
105,Wagner (NEC),28,"1,005",35.89
106,Memphis (AAC),35,"1,256",35.89
107,UT Arlington (WAC),32,"1,148",35.88
108,Ball St. (MAC),32,"1,147",35.84
109,TCU (Big 12),35,"1,254",35.83
110,La Salle (Atlantic 10),34,"1,217",35.79
111,Georgia (SEC),32,"1,145",35.78
112,Bowling Green (MAC),31,"1,109",35.77
112,Pepperdine (WCC),31,"1,109",35.77
114,Howard (MEAC),35,"1,252",35.77
115,N.C. Central (MEAC),30,"1,073",35.77
116,George Mason (Atlantic 10),33,"1,180",35.76
116,Ole Miss (SEC),33,"1,180",35.76
