Rank,Team,GM,W-L,AST,TO,Ratio
118,UAB (CUSA),39,29-10,551,488,1.13
119,Arkansas St. (Sun Belt),33,13-20,433,385,1.12
120,San Diego (WCC),31,11-20,398,355,1.12
121,FGCU (ASUN),32,17-15,409,365,1.12
122,Murray St. (MVC),32,17-15,391,349,1.12
123,Maine (America East),30,13-17,415,371,1.12
124,North Carolina (ACC),33,20-13,397,355,1.12
125,San Diego St. (Mountain West),39,32-7,504,452,1.12
126,Ohio (MAC),33,19-14,412,370,1.11
127,Wake Forest (ACC),33,19-14,444,399,1.11
128,Santa Clara (WCC),33,23-10,460,414,1.11
129,Mississippi St. (SEC),34,21-13,482,434,1.11
130,Southern Ill. (MVC),33,23-10,459,414,1.11
131,Florida St. (ACC),32,9-23,430,388,1.11
132,Little Rock (OVC),31,10-21,460,418,1.10
133,Saint Francis (PA) (NEC),31,13-18,430,391,1.10
134,Villanova (Big East),34,17-17,377,343,1.10
135,Mercer (SoCon),33,14-19,422,385,1.10
136,Florida (SEC),33,16-17,406,371,1.09
137,Ohio St. (Big Ten),35,16-19,410,375,1.09
138,Montana (Big Sky),31,17-14,378,347,1.09
139,Central Conn. St. (NEC),32,10-22,413,380,1.09
140,Western Ky. (CUSA),33,17-16,416,383,1.09
141,Kent St. (MAC),35,28-7,432,398,1.09
142,Southern California (Pac-12),33,22-11,445,410,1.09
143,Oregon (Pac-12),36,21-15,477,440,1.08
144,Alabama (SEC),37,31-6,555,512,1.08
145,St. John's (NY) (Big East),33,18-15,500,462,1.08
146,Ball St. (MAC),32,20-12,422,391,1.08
147,UC Riverside (Big West),34,22-12,450,417,1.08
148,Pacific (WCC),33,15-18,419,389,1.08
149,Pepperdine (WCC),31,9-22,469,436,1.08
150,Vanderbilt (SEC),37,22-15,429,399,1.08
151,Ole Miss (SEC),33,12-21,432,402,1.07
152,Valparaiso (MVC),32,11-21,436,406,1.07
153,Eastern Ill. (OVC),31,9-22,449,419,1.07
154,North Florida (ASUN),31,14-17,405,378,1.07
155,DePaul (Big East),33,10-23,457,427,1.07
155,Iowa St. (Big 12),33,19-14,457,427,1.07
157,South Dakota (Summit League),31,12-19,385,360,1.07
158,Maryland (Big Ten),35,22-13,398,373,1.07
159,Butler (Big East),32,14-18,403,378,1.07
160,Fresno St. (Mountain West),31,11-20,382,359,1.06
161,Austin Peay (ASUN),31,9-22,387,364,1.06
162,Wichita St. (AAC),32,17-15,426,401,1.06
163,Long Beach St. (Big West),33,17-16,494,466,1.06
164,Tennessee St. (OVC),32,18-14,427,403,1.06
165,Idaho St. (Big Sky),32,11-21,392,370,1.06
166,Detroit Mercy (Horizon),33,14-19,413,390,1.06
167,Richmond (Atlantic 10),33,15-18,402,380,1.06
168,Robert Morris (Horizon),33,16-17,457,432,1.06
169,Northwestern St. (Southland),33,22-11,415,393,1.06
170,SMU (AAC),32,10-22,436,413,1.06
171,Montana St. (Big Sky),35,25-10,438,415,1.06
172,Southeast Mo. St. (OVC),36,19-17,497,471,1.06
173,Troy (Sun Belt),33,20-13,447,424,1.05
