Rank,Team,GM,W-L,Fouls,PFPG,DQ
120,Marquette (Big East),36,29-7,582,16.2,10
121,Colorado (Pac-12),35,18-17,566,16.2,3
122,Youngstown St. (Horizon),34,24-10,550,16.2,11
123,Oklahoma (Big 12),32,15-17,518,16.2,10
124,St. John's (NY) (Big East),33,18-15,535,16.2,8
125,Florida St. (ACC),32,9-23,519,16.2,11
126,Brown (Ivy League),27,14-13,438,16.2,7
127,Iona (MAAC),35,27-8,568,16.2,7
128,Evansville (MVC),32,5-27,520,16.3,10
128,Pittsburgh (ACC),36,24-12,585,16.3,10
130,San Diego St. (Mountain West),39,32-7,634,16.3,9
131,Colorado St. (Mountain West),33,15-18,537,16.3,5
132,North Texas (CUSA),38,31-7,619,16.3,13
133,Campbell (Big South),34,16-18,554,16.3,13
134,Towson (CAA),33,21-12,538,16.3,8
135,Indiana St. (MVC),36,23-13,587,16.3,9
136,Boise St. (Mountain West),34,24-10,555,16.3,11
137,Vanderbilt (SEC),37,22-15,604,16.3,5
138,Southern Ill. (MVC),33,23-10,539,16.3,6
139,Delaware (CAA),33,17-16,540,16.4,11
139,Mount St. Mary's (MAAC),33,13-20,540,16.4,13
141,Ohio St. (Big Ten),35,16-19,573,16.4,14
142,Michigan St. (Big Ten),34,21-13,557,16.4,4
143,Central Ark. (ASUN),31,9-22,508,16.4,9
144,Manhattan (MAAC),30,12-18,492,16.4,11
145,Ball St. (MAC),32,20-12,525,16.4,8
145,Quinnipiac (MAAC),32,20-12,525,16.4,8
147,VCU (Atlantic 10),35,27-8,575,16.4,11
148,George Washington (Atlantic 10),32,16-16,526,16.4,13
148,Marshall (Sun Belt),32,24-8,526,16.4,13
150,Jacksonville St. (ASUN),31,13-18,510,16.5,7
150,Saint Francis (PA) (NEC),31,13-18,510,16.5,6
152,Louisville (ACC),32,4-28,527,16.5,8
153,Tulane (AAC),31,20-11,511,16.5,18
154,TCU (Big 12),35,22-13,578,16.5,4
155,Southern Miss. (Sun Belt),33,25-8,545,16.5,6
156,Washington (Pac-12),32,16-16,529,16.5,14
157,Saint Mary's (CA) (WCC),35,27-8,579,16.5,14
158,Tennessee (SEC),36,25-11,596,16.6,7
159,Valparaiso (MVC),32,11-21,530,16.6,13
160,Gonzaga (WCC),37,31-6,613,16.6,12
161,Kansas (Big 12),36,28-8,597,16.6,10
162,Longwood (Big South),32,20-12,531,16.6,8
163,UMES (MEAC),31,18-13,515,16.6,5
164,Cleveland St. (Horizon),35,21-14,582,16.6,6
165,Cornell (Ivy League),28,17-11,466,16.6,3
166,UCF (AAC),34,19-15,566,16.6,14
167,Northeastern (CAA),30,10-20,500,16.7,8
168,Ga. Southern (Sun Belt),33,17-16,551,16.7,10
169,Lehigh (Patriot),30,16-14,501,16.7,3
170,Houston (AAC),37,33-4,618,16.7,9
171,UNC Greensboro (SoCon),32,20-12,535,16.7,9
172,Columbia (Ivy League),29,7-22,485,16.7,7
173,North Ala. (ASUN),33,18-15,552,16.7,14
174,Old Dominion (Sun Belt),31,19-12,519,16.7,9
175,Arkansas St. (Sun Belt),33,13-20,553,16.8,10
176,Furman (SoCon),36,28-8,604,16.8,11
177,Temple (AAC),32,16-16,538,16.8,11
177,Winthrop (Big South),32,15-17,538,16.8,19
179,North Carolina (ACC),33,20-13,555,16.8,4
180,UMass Lowell (America East),34,26-8,572,16.8,7
181,Utah St. (Mountain West),35,26-9,589,16.8,6
182,Radford (Big South),36,21-15,606,16.8,10
183,Western Mich. (MAC),31,8-23,522,16.8,11
184,Idaho (Big Sky),32,10-22,539,16.8,10
184,The Citadel (SoCon),32,10-22,539,16.8,15
186,Col. of Charleston (CAA),35,31-4,590,16.9,4
187,Stanford (Pac-12),33,14-19,557,16.9,5
188,New Mexico (Mountain West),34,22-12,574,16.9,5
189,Green Bay (Horizon),32,3-29,541,16.9,9
190,Saint Louis (Atlantic 10),33,21-12,558,16.9,7
191,Austin Peay (ASUN),31,9-22,525,16.9,7
192,Illinois (Big Ten),33,20-13,559,16.9,12
192,Troy (Sun Belt),33,20-13,559,16.9,11
194,Arizona (Pac-12),35,28-7,593,16.9,7
195,LSU (SEC),33,14-19,560,17,6
196,Louisiana (Sun Belt),34,26-8,577,17,9
197,Oklahoma St. (Big 12),36,20-16,611,17,7
198,Air Force (Mountain West),32,14-18,544,17,6
198,Dartmouth (Ivy League),28,10-18,476,17,13
198,Denver (Summit League),32,15-17,544,17,8
201,UAB (CUSA),39,29-10,664,17,6
202,Georgia St. (Sun Belt),31,10-21,528,17,8
203,Long Beach St. (Big West),33,17-16,563,17.1,14
204,FIU (CUSA),32,14-18,547,17.1,9
204,N.C. A&T (CAA),32,13-19,547,17.1,6
204,Siena (MAAC),32,17-15,547,17.1,10
204,UNLV (Mountain West),32,19-13,547,17.1,16
208,Indiana (Big Ten),35,23-12,599,17.1,7
209,California (Pac-12),32,3-29,548,17.1,11
210,UIW (Southland),31,12-19,532,17.2,10
211,George Mason (Atlantic 10),33,20-13,568,17.2,14
211,Southern California (Pac-12),33,22-11,568,17.2,15
213,California Baptist (WAC),33,17-16,569,17.2,3
214,Bryant (America East),30,17-13,518,17.3,17
215,Louisiana Tech (CUSA),33,15-18,570,17.3,15
216,Western Caro. (SoCon),34,18-16,588,17.3,11
217,Jackson St. (SWAC),33,14-19,571,17.3,18
218,Clemson (ACC),34,23-11,589,17.3,6
219,Bethune-Cookman (SWAC),32,12-20,555,17.3,12
220,Baylor (Big 12),34,23-11,590,17.4,8
221,Yale (Ivy League),30,21-9,521,17.4,12
222,SMU (AAC),32,10-22,556,17.4,6
223,Eastern Wash. (Big Sky),34,23-11,591,17.4,7
224,Southeastern La. (Southland),32,18-14,557,17.4,10
225,NC State (ACC),34,23-11,592,17.4,13
226,South Dakota (Summit League),31,12-19,540,17.4,10
227,Texas (Big 12),38,29-9,663,17.4,10
228,Massachusetts (Atlantic 10),31,15-16,541,17.5,9
229,SIUE (OVC),33,19-14,576,17.5,17
230,Utah Valley (WAC),37,28-9,646,17.5,14
231,UIC (MVC),32,12-20,560,17.5,12
232,Saint Joseph's (Atlantic 10),33,16-17,578,17.5,18
