Rank,Team,GM,W-L,ORebs,ORPG
1,Kentucky (SEC),34,22-12,472,13.88
2,South Carolina St. (MEAC),31,5-26,429,13.84
3,Eastern Ky. (ASUN),37,23-14,503,13.59
4,Saint Peter's (MAAC),32,14-18,433,13.53
5,UAB (CUSA),39,29-10,526,13.49
6,Col. of Charleston (CAA),35,31-4,472,13.49
7,Kansas City (Summit League),32,11-21,430,13.44
8,Detroit Mercy (Horizon),33,14-19,433,13.12
8,St. John's (NY) (Big East),33,18-15,433,13.12
10,Alabama (SEC),37,31-6,484,13.08
11,Massachusetts (Atlantic 10),31,15-16,404,13.03
12,Long Beach St. (Big West),33,17-16,429,13.00
12,UConn (Big East),39,31-8,507,13.00
14,Mississippi St. (SEC),34,21-13,440,12.94
15,Tennessee (SEC),36,25-11,464,12.89
16,Wagner (NEC),28,15-13,360,12.86
17,Houston (AAC),37,33-4,474,12.81
18,UT Arlington (WAC),32,11-21,407,12.72
19,Cleveland St. (Horizon),35,21-14,438,12.51
20,Alabama St. (SWAC),31,8-23,387,12.48
21,Texas A&M (SEC),35,25-10,435,12.43
22,Duquesne (Atlantic 10),33,20-13,410,12.42
23,McNeese (Southland),34,11-23,422,12.41
24,Marshall (Sun Belt),32,24-8,395,12.34
25,Towson (CAA),33,21-12,407,12.33
26,Purdue (Big Ten),35,29-6,430,12.29
27,Western Mich. (MAC),31,8-23,379,12.23
28,East Carolina (AAC),33,16-17,403,12.21
29,A&M-Corpus Christi (Southland),35,24-11,425,12.14
30,Northwestern St. (Southland),33,22-11,400,12.12
30,Providence (Big East),33,21-12,400,12.12
32,Old Dominion (Sun Belt),31,19-12,375,12.10
33,Ohio (MAC),33,19-14,399,12.09
34,San Jose St. (Mountain West),35,21-14,423,12.09
35,Iowa (Big Ten),33,19-14,398,12.06
36,Alcorn (SWAC),32,18-14,384,12.00
36,Duke (ACC),36,27-9,432,12.00
36,Ole Miss (SEC),33,12-21,396,12.00
39,UMass Lowell (America East),34,26-8,406,11.94
40,Milwaukee (Horizon),34,22-12,405,11.91
41,James Madison (Sun Belt),33,22-11,393,11.91
42,South Fla. (AAC),32,14-18,381,11.91
43,Prairie View (SWAC),32,13-19,378,11.81
