Rank,Team,GM,W-L,DRebs,DRPG
1,Alabama (SEC),37,31-6,"1,168",31.57
2,Utah Valley (WAC),37,28-9,"1,115",30.14
3,Arizona (Pac-12),35,28-7,"1,020",29.14
4,Princeton (Ivy League),32,23-9,923,28.84
5,Creighton (Big East),37,24-13,"1,063",28.73
6,Bryant (America East),30,17-13,861,28.70
7,UT Martin (OVC),33,19-14,947,28.70
8,North Carolina (ACC),33,20-13,935,28.33
9,Fla. Atlantic (CUSA),39,35-4,"1,094",28.05
10,Utah (Pac-12),32,17-15,897,28.03
11,Southern Utah (WAC),37,24-13,"1,032",27.89
12,Michigan (Big Ten),34,18-16,948,27.88
13,Oral Roberts (Summit League),35,30-5,975,27.86
14,Saint Louis (Atlantic 10),33,21-12,919,27.85
15,Yale (Ivy League),30,21-9,835,27.83
16,Drake (MVC),35,27-8,972,27.77
17,Clemson (ACC),34,23-11,944,27.76
18,Indiana St. (MVC),36,23-13,996,27.67
19,Long Beach St. (Big West),33,17-16,912,27.64
20,North Dakota St. (Summit League),33,16-17,910,27.58
20,Santa Clara (WCC),33,23-10,910,27.58
22,Lipscomb (ASUN),33,20-13,909,27.55
23,Wright St. (Horizon),33,18-15,908,27.52
24,Penn (Ivy League),30,17-13,824,27.47
25,Xavier (Big East),37,27-10,"1,016",27.46
26,UAB (CUSA),39,29-10,"1,069",27.41
27,New Mexico (Mountain West),34,22-12,928,27.29
28,UC Irvine (Big West),35,23-12,955,27.29
29,Milwaukee (Horizon),34,22-12,925,27.21
30,Western Caro. (SoCon),34,18-16,921,27.09
31,UTRGV (WAC),32,15-17,866,27.06
32,St. John's (NY) (Big East),33,18-15,891,27.00
33,Eastern Wash. (Big Sky),34,23-11,917,26.97
34,Utah St. (Mountain West),35,26-9,943,26.94
35,Gonzaga (WCC),37,31-6,993,26.84
36,Col. of Charleston (CAA),35,31-4,939,26.83
37,Lehigh (Patriot),30,16-14,803,26.77
38,Illinois (Big Ten),33,20-13,882,26.73
39,Boise St. (Mountain West),34,24-10,908,26.71
39,Dayton (Atlantic 10),34,22-12,908,26.71
39,UMass Lowell (America East),34,26-8,908,26.71
42,App State (Sun Belt),32,16-16,854,26.69
43,Duke (ACC),36,27-9,960,26.67
44,Chattanooga (SoCon),35,18-17,933,26.66
45,Michigan St. (Big Ten),34,21-13,906,26.65
46,Tulane (AAC),31,20-11,826,26.65
47,Marshall (Sun Belt),32,24-8,852,26.63
48,George Mason (Atlantic 10),33,20-13,878,26.61
49,Wichita St. (AAC),32,17-15,851,26.59
50,Oregon (Pac-12),36,21-15,957,26.58
51,UNC Greensboro (SoCon),32,20-12,850,26.56
52,Pepperdine (WCC),31,9-22,823,26.55
53,Indiana (Big Ten),35,23-12,929,26.54
54,Grand Canyon (WAC),36,24-12,953,26.47
55,Rice (CUSA),35,19-16,926,26.46
56,Eastern Ky. (ASUN),37,23-14,978,26.43
56,Penn St. (Big Ten),37,23-14,978,26.43
58,Dartmouth (Ivy League),28,10-18,740,26.43
59,Purdue (Big Ten),35,29-6,924,26.40
59,UNC Asheville (Big South),35,27-8,924,26.40
61,BYU (Big 12),34,19-15,897,26.38
62,High Point (Big South),31,14-17,817,26.35
63,UConn (Big East),39,31-8,"1,027",26.33
64,Nebraska (Big Ten),32,16-16,841,26.28
65,Stony Brook (CAA),33,11-22,867,26.27
66,California Baptist (WAC),33,17-16,865,26.21
66,Florida (SEC),33,16-17,865,26.21
68,James Madison (Sun Belt),33,22-11,864,26.18
69,Fordham (Atlantic 10),33,25-8,863,26.15
69,North Ala. (ASUN),33,18-15,863,26.15
71,Kansas (Big 12),36,28-8,941,26.14
72,Houston (AAC),37,33-4,967,26.14
73,Denver (Summit League),32,15-17,836,26.13
73,N.C. A&T (CAA),32,13-19,836,26.13
73,Valparaiso (MVC),32,11-21,836,26.13
76,Morehead St. (OVC),34,22-12,887,26.09
77,George Washington (Atlantic 10),32,16-16,834,26.06
78,Colorado (Pac-12),35,18-17,912,26.06
78,San Jose St. (Mountain West),35,21-14,912,26.06
80,Cincinnati (AAC),36,23-13,938,26.06
81,Pittsburgh (ACC),36,24-12,937,26.03
82,Hofstra (CAA),35,25-10,910,26.00
82,Quinnipiac (MAAC),32,20-12,832,26.00
84,Oklahoma St. (Big 12),36,20-16,935,25.97
85,Providence (Big East),33,21-12,857,25.97
86,Buffalo (MAC),32,15-17,831,25.97
87,Brown (Ivy League),27,14-13,701,25.96
88,Texas Southern (SWAC),35,14-21,908,25.94
89,Nevada (Mountain West),33,22-11,856,25.94
90,Coastal Carolina (Sun Belt),31,11-20,804,25.94
91,Southern California (Pac-12),33,22-11,854,25.88
91,Wake Forest (ACC),33,19-14,854,25.88
93,Tennessee St. (OVC),32,18-14,828,25.88
94,Seattle U (WAC),32,20-12,827,25.84
95,Army West Point (Patriot),33,17-16,852,25.82
95,Western Ky. (CUSA),33,17-16,852,25.82
97,Old Dominion (Sun Belt),31,19-12,800,25.81
98,Jacksonville (ASUN),29,13-16,748,25.79
99,Jacksonville St. (ASUN),31,13-18,799,25.77
100,SIUE (OVC),33,19-14,850,25.76
101,Bucknell (Patriot),32,12-20,824,25.75
102,South Alabama (Sun Belt),35,19-16,901,25.74
103,Tennessee Tech (OVC),33,16-17,849,25.73
104,Colgate (Patriot),35,26-9,900,25.71
105,Bradley (MVC),35,25-10,899,25.69
106,Purdue Fort Wayne (Horizon),32,17-15,821,25.66
107,Liberty (ASUN),36,27-9,923,25.64
108,Kennesaw St. (ASUN),35,26-9,897,25.63
109,Hawaii (Big West),33,22-11,845,25.61
110,Harvard (Ivy League),28,14-14,716,25.57
111,Samford (SoCon),32,21-11,818,25.56
112,Arizona St. (Pac-12),36,23-13,920,25.56
113,Akron (MAC),33,22-11,843,25.55
114,Oklahoma (Big 12),32,15-17,817,25.53
114,South Dakota St. (Summit League),32,19-13,817,25.53
116,LMU (CA) (WCC),31,19-12,791,25.52
117,Kentucky (SEC),34,22-12,867,25.50
117,South Fla. (AAC),32,14-18,816,25.50
117,Tennessee (SEC),36,25-11,918,25.50
120,Memphis (AAC),35,26-9,892,25.49
121,Richmond (Atlantic 10),33,15-18,841,25.48
122,Temple (AAC),32,16-16,815,25.47
123,New Hampshire (America East),30,15-15,764,25.47
124,Ga. Southern (Sun Belt),33,17-16,840,25.45
124,Ohio (MAC),33,19-14,840,25.45
126,Southeast Mo. St. (OVC),36,19-17,915,25.42
127,Louisiana (Sun Belt),34,26-8,864,25.41
128,Gardner-Webb (Big South),31,15-16,787,25.39
129,San Diego St. (Mountain West),39,32-7,990,25.38
130,NJIT (America East),30,7-23,761,25.37
131,Marist (MAAC),33,13-20,837,25.36
131,Southern Miss. (Sun Belt),33,25-8,837,25.36
133,Sam Houston (WAC),34,26-8,862,25.35
134,Ohio St. (Big Ten),35,16-19,887,25.34
135,UC Riverside (Big West),34,22-12,861,25.32
136,Binghamton (America East),31,13-18,785,25.32
136,Rhode Island (Atlantic 10),31,9-22,785,25.32
138,Ball St. (MAC),32,20-12,810,25.31
138,Murray St. (MVC),32,17-15,810,25.31
140,Furman (SoCon),36,28-8,911,25.31
141,UC Davis (Big West),32,18-14,809,25.28
142,NC State (ACC),34,23-11,859,25.26
143,Bowling Green (MAC),31,11-20,783,25.26
143,Massachusetts (Atlantic 10),31,15-16,783,25.26
145,Boston U. (Patriot),32,15-17,808,25.25
145,New Mexico St. (WAC),24,9-15,606,25.25
147,Grambling (SWAC),33,24-9,832,25.21
148,Rutgers (Big Ten),34,19-15,857,25.21
149,Central Ark. (ASUN),31,9-22,781,25.19
150,FGCU (ASUN),32,17-15,806,25.19
150,Georgetown (Big East),32,7-25,806,25.19
150,UNI (MVC),32,14-18,806,25.19
153,Sacred Heart (NEC),33,16-17,831,25.18
154,LIU (NEC),29,3-26,730,25.17
155,A&M-Corpus Christi (Southland),35,24-11,881,25.17
156,Northern Colo. (Big Sky),32,12-20,805,25.16
157,North Florida (ASUN),31,14-17,779,25.13
158,Youngstown St. (Horizon),34,24-10,853,25.09
159,Northeastern (CAA),30,10-20,750,25.00
159,Towson (CAA),33,21-12,825,25.00
159,Western Ill. (Summit League),30,16-14,750,25.00
162,Arkansas (SEC),36,22-14,899,24.97
163,South Dakota (Summit League),31,12-19,774,24.97
164,Vanderbilt (SEC),37,22-15,923,24.95
165,Mississippi St. (SEC),34,21-13,848,24.94
166,Norfolk St. (MEAC),33,22-11,823,24.94
167,Elon (CAA),32,8-24,798,24.94
167,Georgia (SEC),32,16-16,798,24.94
169,San Francisco (WCC),34,20-14,847,24.91
170,Washington (Pac-12),32,16-16,797,24.91
171,Saint Francis (PA) (NEC),31,13-18,772,24.90
172,UMBC (America East),32,18-14,796,24.88
173,Rider (MAAC),30,16-14,746,24.87
174,Vermont (America East),34,23-11,845,24.85
175,East Carolina (AAC),33,16-17,820,24.85
176,N.C. Central (MEAC),30,18-12,745,24.83
177,Virginia Tech (ACC),34,19-15,843,24.79
178,Sacramento St. (Big Sky),32,14-18,793,24.78
179,Kansas St. (Big 12),36,26-10,892,24.78
180,Little Rock (OVC),31,10-21,768,24.77
181,Colorado St. (Mountain West),33,15-18,817,24.76
182,Western Mich. (MAC),31,8-23,767,24.74
183,Texas Tech (Big 12),32,16-16,791,24.72
183,UTSA (CUSA),32,10-22,791,24.72
185,Saint Mary's (CA) (WCC),35,27-8,865,24.71
186,Drexel (CAA),32,17-15,790,24.69
187,Stetson (ASUN),31,17-14,765,24.68
188,Portland (WCC),33,14-19,814,24.67
188,Weber St. (Big Sky),33,18-15,814,24.67
190,Kent St. (MAC),35,28-7,863,24.66
190,Montana St. (Big Sky),35,25-10,863,24.66
192,Davidson (Atlantic 10),32,16-16,789,24.66
192,Syracuse (ACC),32,17-15,789,24.66
194,Eastern Ill. (OVC),31,9-22,764,24.65
195,Belmont (MVC),32,21-11,788,24.63
196,Southern Ill. (MVC),33,23-10,812,24.61
197,Auburn (SEC),34,21-13,835,24.56
198,Holy Cross (Patriot),32,10-22,785,24.53
199,Iowa (Big Ten),33,19-14,809,24.52
200,La Salle (Atlantic 10),34,15-19,833,24.50
200,Notre Dame (ACC),32,11-21,784,24.50
202,Robert Morris (Horizon),33,16-17,808,24.48
202,Seton Hall (Big East),33,17-16,808,24.48
204,Texas (Big 12),38,29-9,930,24.47
205,Villanova (Big East),34,17-17,832,24.47
206,SMU (AAC),32,10-22,783,24.47
207,Iona (MAAC),35,27-8,856,24.46
208,Navy (Patriot),31,18-13,758,24.45
209,VMI (SoCon),32,7-25,782,24.44
210,Georgia Tech (ACC),33,15-18,806,24.42
211,Ark.-Pine Bluff (SWAC),31,10-21,757,24.42
212,NIU (MAC),32,13-19,781,24.41
212,The Citadel (SoCon),32,10-22,781,24.41
214,Cal St. Fullerton (Big West),33,20-13,805,24.39
215,Texas A&M (SEC),35,25-10,853,24.37
216,Lamar University (Southland),31,9-22,755,24.35
216,Minnesota (Big Ten),31,9-22,755,24.35
218,Miami (FL) (ACC),37,29-8,901,24.35
219,ETSU (SoCon),32,12-20,779,24.34
219,ULM (Sun Belt),32,11-21,779,24.34
221,TCU (Big 12),35,22-13,852,24.34
222,Omaha (Summit League),32,9-23,778,24.31
222,Southeastern La. (Southland),32,18-14,778,24.31
224,Mercer (SoCon),33,14-19,802,24.30
224,Mount St. Mary's (MAAC),33,13-20,802,24.30
226,Central Mich. (MAC),31,10-21,753,24.29
227,Saint Joseph's (Atlantic 10),33,16-17,800,24.24
228,Northwestern (Big Ten),34,22-12,824,24.24
229,Siena (MAAC),32,17-15,775,24.22
230,Cal Poly (Big West),33,8-25,799,24.21
231,Columbia (Ivy League),29,7-22,702,24.21
232,Lafayette (Patriot),34,11-23,822,24.18
233,North Dakota (Summit League),33,13-20,797,24.15
234,Howard (MEAC),35,22-13,845,24.14
235,Wyoming (Mountain West),31,9-22,748,24.13
236,Stanford (Pac-12),33,14-19,795,24.09
237,Cornell (Ivy League),28,17-11,673,24.04
238,UCLA (Pac-12),37,31-6,889,24.03
239,Central Conn. St. (NEC),32,10-22,768,24.00
239,UIC (MVC),32,12-20,768,24.00
241,Toledo (MAC),35,27-8,839,23.97
242,Virginia (ACC),33,25-8,791,23.97
243,Coppin St. (MEAC),32,9-23,767,23.97
243,Houston Christian (Southland),32,10-22,767,23.97
245,Washington St. (Pac-12),34,17-17,814,23.94
246,VCU (Atlantic 10),35,27-8,837,23.91
247,Troy (Sun Belt),33,20-13,789,23.91
248,Illinois St. (MVC),32,11-21,765,23.91
249,Fairfield (MAAC),31,13-18,740,23.87
250,Northern Ariz. (Big Sky),35,12-23,835,23.86
251,Hampton (CAA),32,8-24,763,23.84
252,UC Santa Barbara (Big West),35,27-8,834,23.83
253,Louisiana Tech (CUSA),33,15-18,786,23.82
254,Maryland (Big Ten),35,22-13,833,23.80
255,Boston College (ACC),33,16-17,785,23.79
256,Missouri St. (MVC),32,17-15,761,23.78
257,Wisconsin (Big Ten),35,20-15,832,23.77
258,Ole Miss (SEC),33,12-21,784,23.76
259,SFA (WAC),32,19-13,760,23.75
260,Arkansas St. (Sun Belt),33,13-20,783,23.73
260,Delaware (CAA),33,17-16,783,23.73
262,UNCW (CAA),34,24-10,806,23.71
263,Delaware St. (MEAC),30,6-24,711,23.70
