Rank,Team,GM,W-L,DRebs,DRPG
264,Idaho (Big Sky),32,10-22,757,23.66
265,LSU (SEC),33,14-19,780,23.64
266,Southern U. (SWAC),32,15-17,756,23.63
267,Detroit Mercy (Horizon),33,14-19,779,23.61
268,Charleston So. (Big South),31,10-21,731,23.58
269,Longwood (Big South),32,20-12,754,23.56
270,Alabama St. (SWAC),31,8-23,730,23.55
271,Pacific (WCC),33,15-18,777,23.55
272,CSUN (Big West),32,7-25,753,23.53
272,Kansas City (Summit League),32,11-21,753,23.53
274,Wofford (SoCon),33,17-16,776,23.52
275,Campbell (Big South),34,16-18,799,23.50
275,Evansville (MVC),32,5-27,752,23.50
277,Butler (Big East),32,14-18,751,23.47
278,Georgia St. (Sun Belt),31,10-21,727,23.45
278,Loyola Chicago (Atlantic 10),31,10-21,727,23.45
280,UCF (AAC),34,19-15,797,23.44
281,UTEP (CUSA),32,14-18,749,23.41
282,Chicago St. (DI Independent),31,11-20,725,23.39
283,St. Bonaventure (Atlantic 10),32,14-18,747,23.34
284,Idaho St. (Big Sky),32,11-21,746,23.31
284,UNLV (Mountain West),32,19-13,746,23.31
284,USC Upstate (Big South),32,16-16,746,23.31
287,Prairie View (SWAC),32,13-19,745,23.28
288,Duquesne (Atlantic 10),33,20-13,767,23.24
289,North Texas (CUSA),38,31-7,882,23.21
290,Charlotte (CUSA),36,22-14,835,23.19
291,Oregon St. (Pac-12),32,11-21,742,23.19
292,DePaul (Big East),33,10-23,765,23.18
292,William & Mary (CAA),33,13-20,765,23.18
294,Canisius (MAAC),30,10-20,695,23.17
295,Nicholls (Southland),31,16-15,718,23.16
296,UT Arlington (WAC),32,11-21,741,23.16
297,Radford (Big South),36,21-15,832,23.11
298,UAlbany (America East),31,8-23,716,23.10
299,Maine (America East),30,13-17,692,23.07
300,Wagner (NEC),28,15-13,645,23.04
301,Louisville (ACC),32,4-28,737,23.03
302,Marquette (Big East),36,29-7,829,23.03
303,Montana (Big Sky),31,17-14,713,23.00
303,San Diego (WCC),31,11-20,713,23.00
305,Cleveland St. (Horizon),35,21-14,804,22.97
306,Miami (OH) (MAC),32,12-20,735,22.97
307,Morgan St. (MEAC),31,15-16,712,22.97
308,Air Force (Mountain West),32,14-18,733,22.91
308,FIU (CUSA),32,14-18,733,22.91
308,Winthrop (Big South),32,15-17,733,22.91
311,Tulsa (AAC),30,5-25,687,22.90
312,McNeese (Southland),34,11-23,776,22.82
313,Jackson St. (SWAC),33,14-19,753,22.82
314,FDU (NEC),37,21-16,844,22.81
315,California (Pac-12),32,3-29,729,22.78
316,Florida St. (ACC),32,9-23,728,22.75
317,Eastern Mich. (MAC),31,8-23,704,22.71
318,Florida A&M (SWAC),29,7-22,658,22.69
319,West Virginia (Big 12),34,19-15,769,22.62
320,Manhattan (MAAC),30,12-18,678,22.60
321,New Orleans (Southland),32,12-20,723,22.59
322,Alabama A&M (SWAC),33,15-18,745,22.58
323,CSU Bakersfield (Big West),33,11-22,744,22.55
324,Hartford (DI Independent),28,5-23,631,22.54
325,Middle Tenn. (CUSA),33,19-14,743,22.52
326,Baylor (Big 12),34,23-11,764,22.47
327,St. Francis Brooklyn (NEC),30,14-16,674,22.47
328,Texas St. (Sun Belt),35,16-19,784,22.40
329,Niagara (MAAC),31,16-15,694,22.39
330,Bethune-Cookman (SWAC),32,12-20,716,22.38
331,UIW (Southland),31,12-19,692,22.32
332,IUPUI (Horizon),32,5-27,714,22.31
333,South Carolina (SEC),32,11-21,713,22.28
334,Fresno St. (Mountain West),31,11-20,690,22.26
335,Presbyterian (Big South),32,5-27,712,22.25
336,Loyola Maryland (Patriot),33,13-20,734,22.24
337,American (Patriot),32,17-15,711,22.22
337,Mississippi Val. (SWAC),32,5-27,711,22.22
339,Abilene Christian (WAC),30,13-17,665,22.17
340,Oakland (Horizon),32,13-19,709,22.16
341,Iowa St. (Big 12),33,19-14,731,22.15
342,Portland St. (Big Sky),31,12-19,685,22.10
343,UMES (MEAC),31,18-13,683,22.03
344,Alcorn (SWAC),32,18-14,703,21.97
345,Monmouth (CAA),33,7-26,723,21.91
346,Northwestern St. (Southland),33,22-11,714,21.64
347,South Carolina St. (MEAC),31,5-26,668,21.55
348,Saint Peter's (MAAC),32,14-18,686,21.44
349,Missouri (SEC),35,25-10,748,21.37
350,Austin Peay (ASUN),31,9-22,660,21.29
351,Northern Ky. (Horizon),35,22-13,742,21.20
352,Green Bay (Horizon),32,3-29,670,20.94
