Rank,Team,GM,W-L,FTA PG
139,Wake Forest (ACC),33,19-14,18.6
141,Eastern Mich. (MAC),31,8-23,18.5
141,South Carolina St. (MEAC),31,5-26,18.5
143,Lamar University (Southland),31,9-22,18.5
144,LIU (NEC),29,3-26,18.4
145,Oklahoma St. (Big 12),36,20-16,18.4
146,UConn (Big East),39,31-8,18.4
147,UC Santa Barbara (Big West),35,27-8,18.4
148,Texas (Big 12),38,29-9,18.4
149,Northern Colo. (Big Sky),32,12-20,18.4
150,LMU (CA) (WCC),31,19-12,18.4
151,UNC Greensboro (SoCon),32,20-12,18.3
152,Morgan St. (MEAC),31,15-16,18.3
153,Rice (CUSA),35,19-16,18.3
154,Bethune-Cookman (SWAC),32,12-20,18.3
155,Santa Clara (WCC),33,23-10,18.3
156,Miami (FL) (ACC),37,29-8,18.3
157,Chattanooga (SoCon),35,18-17,18.3
158,Western Ky. (CUSA),33,17-16,18.2
159,Saint Francis (PA) (NEC),31,13-18,18.2
160,South Fla. (AAC),32,14-18,18.2
161,Arkansas St. (Sun Belt),33,13-20,18.2
162,St. John's (NY) (Big East),33,18-15,18.2
163,Oregon (Pac-12),36,21-15,18.1
164,Youngstown St. (Horizon),34,24-10,18.1
165,North Dakota St. (Summit League),33,16-17,18.1
166,Michigan (Big Ten),34,18-16,18.1
167,Jacksonville St. (ASUN),31,13-18,18
168,Syracuse (ACC),32,17-15,18
168,Washington (Pac-12),32,16-16,18
170,Hawaii (Big West),33,22-11,18
170,Princeton (Ivy League),32,23-9,18
170,Texas St. (Sun Belt),35,16-19,18
173,Indiana St. (MVC),36,23-13,18
174,Wyoming (Mountain West),31,9-22,18
175,California Baptist (WAC),33,17-16,17.9
176,N.C. A&T (CAA),32,13-19,17.9
177,Richmond (Atlantic 10),33,15-18,17.9
178,Chicago St. (DI Independent),31,11-20,17.9
179,Tennessee (SEC),36,25-11,17.9
180,Saint Mary's (CA) (WCC),35,27-8,17.9
181,USC Upstate (Big South),32,16-16,17.8
181,UT Arlington (WAC),32,11-21,17.8
183,Kansas (Big 12),36,28-8,17.8
183,Miami (OH) (MAC),32,12-20,17.8
185,UAlbany (America East),31,8-23,17.7
186,Wichita St. (AAC),32,17-15,17.7
187,Iona (MAAC),35,27-8,17.7
188,Yale (Ivy League),30,21-9,17.6
189,Harvard (Ivy League),28,14-14,17.6
190,Colorado (Pac-12),35,18-17,17.6
191,Georgetown (Big East),32,7-25,17.6
192,Cleveland St. (Horizon),35,21-14,17.5
193,Fla. Atlantic (CUSA),39,35-4,17.5
194,North Ala. (ASUN),33,18-15,17.5
194,Weber St. (Big Sky),33,18-15,17.5
196,Cornell (Ivy League),28,17-11,17.5
197,Florida St. (ACC),32,9-23,17.5
197,Louisville (ACC),32,4-28,17.5
199,St. Francis Brooklyn (NEC),30,14-16,17.5
200,Saint Louis (Atlantic 10),33,21-12,17.5
201,ULM (Sun Belt),32,11-21,17.4
202,Missouri (SEC),35,25-10,17.4
203,Manhattan (MAAC),30,12-18,17.3
203,Towson (CAA),33,21-12,17.3
205,Eastern Wash. (Big Sky),34,23-11,17.3
206,UNI (MVC),32,14-18,17.3
207,Ohio (MAC),33,19-14,17.3
208,Army West Point (Patriot),33,17-16,17.3
208,Tennessee Tech (OVC),33,16-17,17.3
210,Boise St. (Mountain West),34,24-10,17.3
211,Detroit Mercy (Horizon),33,14-19,17.2
212,Clemson (ACC),34,23-11,17.2
213,Duke (ACC),36,27-9,17.2
214,Oregon St. (Pac-12),32,11-21,17.2
215,Indiana (Big Ten),35,23-12,17.2
215,Lehigh (Patriot),30,16-14,17.2
217,Coastal Carolina (Sun Belt),31,11-20,17.2
218,Houston (AAC),37,33-4,17.2
219,Brown (Ivy League),27,14-13,17.2
220,Northwestern (Big Ten),34,22-12,17.2
221,UC Irvine (Big West),35,23-12,17.1
222,Penn (Ivy League),30,17-13,17.1
