Rank,Team,GM,W-L,FT PG
250,Dartmouth (Ivy League),28,10-18,11.9
251,South Fla. (AAC),32,14-18,11.8
252,Florida A&M (SWAC),29,7-22,11.8
253,Army West Point (Patriot),33,17-16,11.8
254,North Florida (ASUN),31,14-17,11.8
255,Michigan St. (Big Ten),34,21-13,11.8
256,CSU Bakersfield (Big West),33,11-22,11.8
257,Harvard (Ivy League),28,14-14,11.8
258,Oklahoma (Big 12),32,15-17,11.8
259,La Salle (Atlantic 10),34,15-19,11.8
260,South Dakota (Summit League),31,12-19,11.7
261,New Hampshire (America East),30,15-15,11.7
262,Marquette (Big East),36,29-7,11.7
263,FGCU (ASUN),32,17-15,11.7
264,NC State (ACC),34,23-11,11.7
265,UT Arlington (WAC),32,11-21,11.7
266,Charleston So. (Big South),31,10-21,11.7
267,Rutgers (Big Ten),34,19-15,11.7
268,Northwestern St. (Southland),33,22-11,11.7
269,USC Upstate (Big South),32,16-16,11.7
270,Central Ark. (ASUN),31,9-22,11.6
271,St. Bonaventure (Atlantic 10),32,14-18,11.6
272,Cincinnati (AAC),36,23-13,11.6
273,IU Indy (Horizon),32,5-27,11.6
274,Austin Peay (ASUN),31,9-22,11.6
275,William & Mary (CAA),33,13-20,11.5
276,Air Force (Mountain West),32,14-18,11.5
277,Ohio St. (Big Ten),35,16-19,11.5
278,Green Bay (Horizon),32,3-29,11.5
279,Stetson (ASUN),31,17-14,11.5
280,App State (Sun Belt),32,16-16,11.5
281,Stanford (Pac-12),33,14-19,11.5
282,Loyola Chicago (Atlantic 10),31,10-21,11.5
283,Sam Houston (WAC),34,26-8,11.4
284,ETSU (SoCon),32,12-20,11.4
285,Manhattan (MAAC),30,12-18,11.4
286,Washington St. (Pac-12),34,17-17,11.4
287,Duquesne (Atlantic 10),33,20-13,11.4
288,Saint Peter's (MAAC),32,14-18,11.4
289,Sacred Heart (NEC),33,16-17,11.4
289,Stony Brook (CAA),33,11-22,11.4
291,Delaware St. (MEAC),30,6-24,11.3
292,Drexel (CAA),32,17-15,11.3
293,Boston College (ACC),33,16-17,11.2
293,Middle Tenn. (CUSA),33,19-14,11.2
293,Southern Ill. (MVC),33,23-10,11.2
296,Niagara (MAAC),31,16-15,11.2
297,Ga. Southern (Sun Belt),33,17-16,11.2
297,Mercer (SoCon),33,14-19,11.2
297,Wright St. (Horizon),33,18-15,11.2
300,Lipscomb (ASUN),33,20-13,11.2
301,Marist (MAAC),33,13-20,11.1
302,McNeese (Southland),34,11-23,11.1
302,Virginia Tech (ACC),34,19-15,11.1
304,Western Mich. (MAC),31,8-23,11.1
305,Vermont (America East),34,23-11,11.1
306,Radford (Big South),36,21-15,11.1
307,Northern Ky. (Horizon),35,22-13,11.1
308,Brown (Ivy League),27,14-13,11
309,Nicholls (Southland),31,16-15,11
310,Robert Morris (Horizon),33,16-17,11
311,Elon (CAA),32,8-24,11
312,Canisius (MAAC),30,10-20,10.9
313,North Dakota (Summit League),33,13-20,10.9
314,NJIT (America East),30,7-23,10.8
314,Northeastern (CAA),30,10-20,10.8
316,UC Riverside (Big West),34,22-12,10.8
317,Belmont (MVC),32,21-11,10.8
317,Liberty (ASUN),36,27-9,10.8
319,Eastern Ky. (ASUN),37,23-14,10.7
320,Iowa St. (Big 12),33,19-14,10.7
321,Sacramento St. (Big Sky),32,14-18,10.7
322,Evansville (MVC),32,5-27,10.6
323,Butler (Big East),32,14-18,10.6
324,Fresno St. (Mountain West),31,11-20,10.5
325,Bucknell (Patriot),32,12-20,10.4
326,Bradley (MVC),35,25-10,10.4
326,Colgate (Patriot),35,26-9,10.4
328,Mount St. Mary's (MAAC),33,13-20,10.3
329,San Jose St. (Mountain West),35,21-14,10.3
330,Minnesota (Big Ten),31,9-22,10.2
331,South Carolina (SEC),32,11-21,10.2
332,Notre Dame (ACC),32,11-21,10.2
333,Nebraska (Big Ten),32,16-16,10.1
334,Georgia Tech (ACC),33,15-18,10.1
335,American (Patriot),32,17-15,10
336,Tulsa (AAC),30,5-25,10
337,Loyola Maryland (Patriot),33,13-20,9.9
338,Wisconsin (Big Ten),35,20-15,9.9
339,Wagner (NEC),28,15-13,9.8
340,VMI (SoCon),32,7-25,9.7
341,Charlotte (CUSA),36,22-14,9.7
342,Central Conn. St. (NEC),32,10-22,9.7
343,Maine (America East),30,13-17,9.6
344,Navy (Patriot),31,18-13,9.5
345,Missouri St. (MVC),32,17-15,9.4
346,Holy Cross (Patriot),32,10-22,9.2
347,Jacksonville (ASUN),29,13-16,9.1
348,Penn St. (Big Ten),37,23-14,9
349,Hofstra (CAA),35,25-10,9
350,South Alabama (Sun Belt),35,19-16,8.8
351,Lafayette (Patriot),34,11-23,8.5
352,Hartford (DI Independent),28,5-23,8.3
