Rank,Team,GM,W-L,FT PG
1,Texas A&M (SEC),35,25-10,18.9
2,Samford (SoCon),32,21-11,17.7
3,Montana St. (Big Sky),35,25-10,17.5
4,UC Davis (Big West),32,18-14,17.5
4,UTRGV (WAC),32,15-17,17.5
6,Portland (WCC),33,14-19,17.5
7,New Mexico (Mountain West),34,22-12,17.4
8,Nevada (Mountain West),33,22-11,17
9,A&M-Corpus Christi (Southland),35,24-11,16.9
10,SIUE (OVC),33,19-14,16.9
11,Southern Utah (WAC),37,24-13,16.8
12,West Virginia (Big 12),34,19-15,16.8
13,UAB (CUSA),39,29-10,16.6
14,Alabama (SEC),37,31-6,16.6
15,Tulane (AAC),31,20-11,16.6
16,North Carolina (ACC),33,20-13,16.6
17,Toledo (MAC),35,27-8,16.4
18,Ball St. (MAC),32,20-12,16.3
19,Georgia (SEC),32,16-16,16.3
20,Southeast Mo. St. (OVC),36,19-17,16.3
21,Providence (Big East),33,21-12,16.1
22,Houston Christian (Southland),32,10-22,16.1
23,Fordham (Atlantic 10),33,25-8,16.1
24,James Madison (Sun Belt),33,22-11,16
25,Denver (Summit League),32,15-17,16
26,Norfolk St. (MEAC),33,22-11,15.9
27,Memphis (AAC),35,26-9,15.9
28,Baylor (Big 12),34,23-11,15.8
29,Winthrop (Big South),32,15-17,15.7
30,Arkansas (SEC),36,22-14,15.7
31,Rhode Island (Atlantic 10),31,9-22,15.7
32,Kansas St. (Big 12),36,26-10,15.6
33,Utah Valley (WAC),37,28-9,15.6
34,UT Martin (OVC),33,19-14,15.5
35,VCU (Atlantic 10),35,27-8,15.4
36,Col. of Charleston (CAA),35,31-4,15.4
37,Purdue (Big Ten),35,29-6,15.3
37,UNC Asheville (Big South),35,27-8,15.3
39,SFA (WAC),32,19-13,15.3
40,UTSA (CUSA),32,10-22,15.1
41,Seton Hall (Big East),33,17-16,15.1
42,Tennessee St. (OVC),32,18-14,15.1
43,Arizona (Pac-12),35,28-7,15
43,Iowa (Big Ten),33,19-14,15
45,Furman (SoCon),36,28-8,15
46,UNCW (CAA),34,24-10,14.9
47,Coppin St. (MEAC),32,9-23,14.9
47,New Orleans (Southland),32,12-20,14.9
49,Little Rock (OVC),31,10-21,14.9
50,UNLV (Mountain West),32,19-13,14.9
51,Alcorn (SWAC),32,18-14,14.8
51,George Washington (Atlantic 10),32,16-16,14.8
53,Milwaukee (Horizon),34,22-12,14.8
54,Portland St. (Big Sky),31,12-19,14.8
55,Auburn (SEC),34,21-13,14.8
56,Utah St. (Mountain West),35,26-9,14.8
57,Bryant (America East),30,17-13,14.7
58,Idaho (Big Sky),32,10-22,14.7
59,East Carolina (AAC),33,16-17,14.7
60,Oakland (Horizon),32,13-19,14.7
61,Fairfield (MAAC),31,13-18,14.6
62,High Point (Big South),31,14-17,14.6
63,Bowling Green (MAC),31,11-20,14.5
64,Grambling (SWAC),33,24-9,14.5
64,Long Beach St. (Big West),33,17-16,14.5
66,Temple (AAC),32,16-16,14.5
67,TCU (Big 12),35,22-13,14.5
68,San Diego (WCC),31,11-20,14.5
69,UIW (Southland),31,12-19,14.5
70,Louisiana (Sun Belt),34,26-8,14.4
71,Pittsburgh (ACC),36,24-12,14.4
72,Akron (MAC),33,22-11,14.4
73,Gonzaga (WCC),37,31-6,14.4
74,Grand Canyon (WAC),36,24-12,14.4
75,Miami (FL) (ACC),37,29-8,14.4
76,UMass Lowell (America East),34,26-8,14.3
77,Cal St. Fullerton (Big West),33,20-13,14.3
78,Campbell (Big South),34,16-18,14.3
79,Central Mich. (MAC),31,10-21,14.3
80,Southeastern La. (Southland),32,18-14,14.3
81,Florida (SEC),33,16-17,14.3
82,Seattle U (WAC),32,20-12,14.3
83,Eastern Mich. (MAC),31,8-23,14.2
84,Texas Tech (Big 12),32,16-16,14.2
85,Pacific (WCC),33,15-18,14.2
86,CSUN (Big West),32,7-25,14.2
87,Western Caro. (SoCon),34,18-16,14.2
88,Old Dominion (Sun Belt),31,19-12,14.2
89,Youngstown St. (Horizon),34,24-10,14.1
90,Southern California (Pac-12),33,22-11,14.1
91,Davidson (Atlantic 10),32,16-16,14.1
91,Siena (MAAC),32,17-15,14.1
93,UConn (Big East),39,31-8,14
94,Saint Joseph's (Atlantic 10),33,16-17,14
94,San Francisco (WCC),34,20-14,14
94,Southern U. (SWAC),32,15-17,14
97,Miami (OH) (MAC),32,12-20,14
97,Murray St. (MVC),32,17-15,14
99,Morehead St. (OVC),34,22-12,13.9
100,Buffalo (MAC),32,15-17,13.9
101,Massachusetts (Atlantic 10),31,15-16,13.9
102,N.C. Central (MEAC),30,18-12,13.9
103,Indiana St. (MVC),36,23-13,13.9
104,Wake Forest (ACC),33,19-14,13.8
105,Howard (MEAC),35,22-13,13.8
106,LSU (SEC),33,14-19,13.8
107,UTEP (CUSA),32,14-18,13.8
108,Abilene Christian (WAC),30,13-17,13.8
108,Maryland (Big Ten),35,22-13,13.8
110,Ark.-Pine Bluff (SWAC),31,10-21,13.8
111,Texas (Big 12),38,29-9,13.8
112,Illinois (Big Ten),33,20-13,13.7
113,BYU (Big 12),34,19-15,13.7
114,Longwood (Big South),32,20-12,13.7
114,Northern Colo. (Big Sky),32,12-20,13.7
116,Kennesaw St. (ASUN),35,26-9,13.7
117,Hampton (CAA),32,8-24,13.7
118,San Diego St. (Mountain West),39,32-7,13.6
119,Kent St. (MAC),35,28-7,13.6
120,Xavier (Big East),37,27-10,13.6
121,New Mexico St. (WAC),24,9-15,13.6
122,Delaware (CAA),33,17-16,13.6
123,Kentucky (SEC),34,22-12,13.6
124,Clemson (ACC),34,23-11,13.5
125,Rice (CUSA),35,19-16,13.5
126,Syracuse (ACC),32,17-15,13.5
126,Washington (Pac-12),32,16-16,13.5
128,Coastal Carolina (Sun Belt),31,11-20,13.5
129,Prairie View (SWAC),32,13-19,13.5
130,Texas Southern (SWAC),35,14-21,13.5
131,Hawaii (Big West),33,22-11,13.5
131,Southern Miss. (Sun Belt),33,25-8,13.5
133,Troy (Sun Belt),33,20-13,13.4
133,Weber St. (Big Sky),33,18-15,13.4
135,Villanova (Big East),34,17-17,13.4
136,UC Santa Barbara (Big West),35,27-8,13.4
137,Georgia St. (Sun Belt),31,10-21,13.4
138,SMU (AAC),32,10-22,13.3
139,Richmond (Atlantic 10),33,15-18,13.3
140,Kansas City (Summit League),32,11-21,13.3
141,Alabama St. (SWAC),31,8-23,13.3
142,Mississippi Val. (SWAC),32,5-27,13.3
143,Vanderbilt (SEC),37,22-15,13.3
144,Detroit Mercy (Horizon),33,14-19,13.2
145,Duke (ACC),36,27-9,13.2
146,Missouri (SEC),35,25-10,13.2
147,Illinois St. (MVC),32,11-21,13.2
148,Quinnipiac (MAAC),32,20-12,13.1
148,UNC Greensboro (SoCon),32,20-12,13.1
150,Texas St. (Sun Belt),35,16-19,13.1
151,Eastern Wash. (Big Sky),34,23-11,13.1
152,Western Ill. (Summit League),30,16-14,13.1
153,Virginia (ACC),33,25-8,13.1
154,Chicago St. (DI Independent),31,11-20,13
154,Lamar University (Southland),31,9-22,13
156,Dayton (Atlantic 10),34,22-12,13
157,Chattanooga (SoCon),35,18-17,13
158,Creighton (Big East),37,24-13,13
158,Northwestern (Big Ten),34,22-12,13
160,UCF (AAC),34,19-15,13
161,George Mason (Atlantic 10),33,20-13,13
161,Western Ky. (CUSA),33,17-16,13
163,Omaha (Summit League),32,9-23,13
163,Oregon St. (Pac-12),32,11-21,13
165,Iona (MAAC),35,27-8,12.9
166,Louisville (ACC),32,4-28,12.9
167,Arizona St. (Pac-12),36,23-13,12.9
168,Alabama A&M (SWAC),33,15-18,12.9
168,Jackson St. (SWAC),33,14-19,12.9
168,North Dakota St. (Summit League),33,16-17,12.9
168,Santa Clara (WCC),33,23-10,12.9
172,Michigan (Big Ten),34,18-16,12.9
173,Lehigh (Patriot),30,16-14,12.8
174,Princeton (Ivy League),32,23-9,12.8
175,Saint Francis (PA) (NEC),31,13-18,12.8
175,UAlbany (America East),31,8-23,12.8
177,Oklahoma St. (Big 12),36,20-16,12.8
178,Bethune-Cookman (SWAC),32,12-20,12.8
179,Kansas (Big 12),36,28-8,12.8
180,Wyoming (Mountain West),31,9-22,12.8
181,Saint Louis (Atlantic 10),33,21-12,12.8
182,FDU (NEC),37,21-16,12.7
183,Penn (Ivy League),30,17-13,12.7
184,St. John's (NY) (Big East),33,18-15,12.7
185,Florida St. (ACC),32,9-23,12.7
185,Wichita St. (AAC),32,17-15,12.7
187,Cornell (Ivy League),28,17-11,12.7
188,Boise St. (Mountain West),34,24-10,12.6
189,Tennessee (SEC),36,25-11,12.6
190,Ohio (MAC),33,19-14,12.6
191,Georgetown (Big East),32,7-25,12.6
192,Fla. Atlantic (CUSA),39,35-4,12.6
193,Jacksonville St. (ASUN),31,13-18,12.6
193,Morgan St. (MEAC),31,15-16,12.6
195,Oregon (Pac-12),36,21-15,12.6
196,Houston (AAC),37,33-4,12.6
197,South Dakota St. (Summit League),32,19-13,12.5
197,UIC (MVC),32,12-20,12.5
199,Mississippi St. (SEC),34,21-13,12.5
200,Drake (MVC),35,27-8,12.4
201,Monmouth (CAA),33,7-26,12.4
201,North Ala. (ASUN),33,18-15,12.4
201,Tennessee Tech (OVC),33,16-17,12.4
204,South Carolina St. (MEAC),31,5-26,12.4
205,ULM (Sun Belt),32,11-21,12.4
206,Saint Mary's (CA) (WCC),35,27-8,12.4
207,UC Irvine (Big West),35,23-12,12.3
208,Wofford (SoCon),33,17-16,12.3
209,LMU (CA) (WCC),31,19-12,12.3
210,NIU (MAC),32,13-19,12.3
210,Presbyterian (Big South),32,5-27,12.3
212,Arkansas St. (Sun Belt),33,13-20,12.3
213,Rider (MAAC),30,16-14,12.3
214,UMES (MEAC),31,18-13,12.3
215,Towson (CAA),33,21-12,12.3
216,Yale (Ivy League),30,21-9,12.2
217,Colorado (Pac-12),35,18-17,12.2
217,Indiana (Big Ten),35,23-12,12.2
219,Montana (Big Sky),31,17-14,12.2
220,N.C. A&T (CAA),32,13-19,12.2
221,St. Francis Brooklyn (NEC),30,14-16,12.2
222,Eastern Ill. (OVC),31,9-22,12.2
223,LIU (NEC),29,3-26,12.2
224,Northern Ariz. (Big Sky),35,12-23,12.2
225,UCLA (Pac-12),37,31-6,12.2
226,The Citadel (SoCon),32,10-22,12.1
227,DePaul (Big East),33,10-23,12.1
228,Oral Roberts (Summit League),35,30-5,12.1
229,North Texas (CUSA),38,31-7,12.1
230,Boston U. (Patriot),32,15-17,12.1
231,California (Pac-12),32,3-29,12.1
231,FIU (CUSA),32,14-18,12.1
231,UNI (MVC),32,14-18,12.1
234,Binghamton (America East),31,13-18,12
235,Columbia (Ivy League),29,7-22,12
235,Purdue Fort Wayne (Horizon),32,17-15,12
237,Cal Poly (Big West),33,8-25,12
238,UMBC (America East),32,18-14,12
238,Utah (Pac-12),32,17-15,12
240,Cleveland St. (Horizon),35,21-14,11.9
241,Colorado St. (Mountain West),33,15-18,11.9
241,Louisiana Tech (CUSA),33,15-18,11.9
243,Gardner-Webb (Big South),31,15-16,11.9
244,California Baptist (WAC),33,17-16,11.9
245,Ole Miss (SEC),33,12-21,11.9
246,Idaho St. (Big Sky),32,11-21,11.9
246,Marshall (Sun Belt),32,24-8,11.9
246,Valparaiso (MVC),32,11-21,11.9
249,Pepperdine (WCC),31,9-22,11.9
