Rank,Team,GM,W-L,SCR MAR
291,San Diego (WCC),31,11-20,-3.4
292,Mount St. Mary's (MAAC),33,13-20,-3.4
293,Boston College (ACC),33,16-17,-3.6
294,Northern Colo. (Big Sky),32,12-20,-3.9
295,Little Rock (OVC),31,10-21,-4
295,Illinois St. (MVC),32,11-21,-4
297,Western Mich. (MAC),31,8-23,-4.2
298,Central Conn. St. (NEC),32,10-22,-4.2
299,CSU Bakersfield (Big West),33,11-22,-4.2
300,South Dakota (Summit League),31,12-19,-4.3
301,Kansas City (Summit League),32,11-21,-4.3
302,UIC (MVC),32,12-20,-4.5
303,Rhode Island (Atlantic 10),31,9-22,-4.6
304,Valparaiso (MVC),32,11-21,-4.7
305,Cal Poly (Big West),33,8-25,-5.1
306,Loyola Chicago (Atlantic 10),31,10-21,-5.1
307,CSUN (Big West),32,7-25,-5.2
308,SMU (AAC),32,10-22,-5.3
309,Houston Christian (Southland),32,10-22,-5.5
310,Austin Peay (ASUN),31,9-22,-5.6
311,Oregon St. (Pac-12),32,11-21,-5.8
312,NJIT (America East),30,7-23,-5.8
313,Holy Cross (Patriot),32,10-22,-5.9
314,Stony Brook (CAA),33,11-22,-5.9
315,Jackson St. (SWAC),33,14-19,-6
316,DePaul (Big East),33,10-23,-6.1
317,New Orleans (Southland),32,12-20,-6.1
318,Elon (CAA),32,8-24,-6.2
319,McNeese (Southland),34,11-23,-6.3
320,Presbyterian (Big South),32,5-27,-6.3
321,Northeastern (CAA),30,10-20,-6.4
322,Lamar University (Southland),31,9-22,-6.7
323,The Citadel (SoCon),32,10-22,-6.8
324,Florida St. (ACC),32,9-23,-6.9
325,Bethune-Cookman (SWAC),32,12-20,-7.2
326,Central Mich. (MAC),31,10-21,-7.3
327,UTSA (CUSA),32,10-22,-7.3
328,VMI (SoCon),32,7-25,-7.4
329,Omaha (Summit League),32,9-23,-7.7
330,UAlbany (America East),31,8-23,-7.9
331,Columbia (Ivy League),29,7-22,-8
332,Minnesota (Big Ten),31,9-22,-8.2
333,South Carolina (SEC),32,11-21,-8.3
334,Hartford (DI Independent),28,5-23,-8.4
335,Central Ark. (ASUN),31,9-22,-8.6
335,Eastern Mich. (MAC),31,8-23,-8.6
337,Georgetown (Big East),32,7-25,-8.6
338,Hampton (CAA),32,8-24,-9.3
339,Alabama St. (SWAC),31,8-23,-9.3
340,South Carolina St. (MEAC),31,5-26,-10.5
341,Delaware St. (MEAC),30,6-24,-10.9
342,Coppin St. (MEAC),32,9-23,-11.2
343,Florida A&M (SWAC),29,7-22,-11.4
344,IUPUI (Horizon),32,5-27,-11.5
345,California (Pac-12),32,3-29,-11.8
346,Louisville (ACC),32,4-28,-11.8
347,Tulsa (AAC),30,5-25,-12.1
348,Monmouth (CAA),33,7-26,-13
349,LIU (NEC),29,3-26,-13.2
350,Evansville (MVC),32,5-27,-13.6
351,Mississippi Val. (SWAC),32,5-27,-13.7
352,Green Bay (Horizon),32,3-29,-17.2
