Rank,Team,GM,W-L,SCR MAR
1,Houston (AAC),37,33-4,17.4
2,UConn (Big East),39,31-8,14.4
3,Liberty (ASUN),36,27-9,13.8
4,Alabama (SEC),37,31-6,13.5
5,UCLA (Pac-12),37,31-6,13.5
6,Oral Roberts (Summit League),35,30-5,13.1
7,Sam Houston (WAC),34,26-8,12.9
8,Col. of Charleston (CAA),35,31-4,12.9
9,Tennessee (SEC),36,25-11,12.9
10,Gonzaga (WCC),37,31-6,12.8
11,Yale (Ivy League),30,21-9,12.5
12,Fla. Atlantic (CUSA),39,35-4,12.5
13,James Madison (Sun Belt),33,22-11,12.5
14,UMass Lowell (America East),34,26-8,12.1
15,Drake (MVC),35,27-8,10.9
16,Arizona (Pac-12),35,28-7,10.7
17,Saint Mary's (CA) (WCC),35,27-8,10.5
18,UAB (CUSA),39,29-10,10.5
19,Marshall (Sun Belt),32,24-8,10.5
20,Iona (MAAC),35,27-8,10.3
21,Kent St. (MAC),35,28-7,10.3
22,Texas (Big 12),38,29-9,10.1
23,Purdue (Big Ten),35,29-6,9.9
24,N.C. Central (MEAC),30,18-12,9.7
25,Furman (SoCon),36,28-8,9.7
25,Indiana St. (MVC),36,23-13,9.7
27,Youngstown St. (Horizon),34,24-10,9.4
28,Marquette (Big East),36,29-7,9.1
29,Utah Valley (WAC),37,28-9,8.8
30,Colgate (Patriot),35,26-9,8.8
31,North Texas (CUSA),38,31-7,8.7
32,Toledo (MAC),35,27-8,8.5
33,Hofstra (CAA),35,25-10,8.4
34,Duke (ACC),36,27-9,8.4
35,Utah St. (Mountain West),35,26-9,8.3
36,Southern Utah (WAC),37,24-13,8.1
37,Creighton (Big East),37,24-13,8
38,VCU (Atlantic 10),35,27-8,7.9
38,Bradley (MVC),35,25-10,7.9
40,Grand Canyon (WAC),36,24-12,7.9
41,Louisiana (Sun Belt),34,26-8,7.9
42,Cincinnati (AAC),36,23-13,7.8
43,Akron (MAC),33,22-11,7.7
43,Southern Miss. (Sun Belt),33,25-8,7.7
45,San Diego St. (Mountain West),39,32-7,7.7
46,Dayton (Atlantic 10),34,22-12,7.6
47,Memphis (AAC),35,26-9,7.6
48,UC Irvine (Big West),35,23-12,7.6
49,UNC Greensboro (SoCon),32,20-12,7.6
50,Boise St. (Mountain West),34,24-10,7.4
51,Kansas (Big 12),36,28-8,7.4
52,Virginia (ACC),33,25-8,7.3
53,Rutgers (Big Ten),34,19-15,7.3
54,Norfolk St. (MEAC),33,22-11,7.2
55,Samford (SoCon),32,21-11,7.2
56,Illinois (Big Ten),33,20-13,7.2
57,Miami (FL) (ACC),37,29-8,7.1
58,Montana St. (Big Sky),35,25-10,7
59,Princeton (Ivy League),32,23-9,7
60,Longwood (Big South),32,20-12,6.9
61,A&M-Corpus Christi (Southland),35,24-11,6.9
62,NC State (ACC),34,23-11,6.9
63,Xavier (Big East),37,27-10,6.9
64,TCU (Big 12),35,22-13,6.8
65,Clemson (ACC),34,23-11,6.8
66,Baylor (Big 12),34,23-11,6.8
67,Grambling (SWAC),33,24-9,6.7
68,Kentucky (SEC),34,22-12,6.7
69,New Mexico (Mountain West),34,22-12,6.6
70,Troy (Sun Belt),33,20-13,6.4
71,Texas A&M (SEC),35,25-10,6.3
72,Providence (Big East),33,21-12,6.3
73,Kansas St. (Big 12),36,26-10,6.3
74,Bryant (America East),30,17-13,6.3
75,Maryland (Big Ten),35,22-13,6.2
76,Wright St. (Horizon),33,18-15,6.2
77,Arkansas (SEC),36,22-14,6.1
78,Indiana (Big Ten),35,23-12,6.1
79,Kennesaw St. (ASUN),35,26-9,6
80,UCF (AAC),34,19-15,6
81,SFA (WAC),32,19-13,5.9
82,UC Santa Barbara (Big West),35,27-8,5.9
83,South Alabama (Sun Belt),35,19-16,5.7
84,Vermont (America East),34,23-11,5.7
85,Ohio (MAC),33,19-14,5.7
86,App State (Sun Belt),32,16-16,5.7
87,BYU (Big 12),34,19-15,5.6
88,Cornell (Ivy League),28,17-11,5.6
89,Iowa (Big Ten),33,19-14,5.4
89,Lipscomb (ASUN),33,20-13,5.4
91,Pittsburgh (ACC),36,24-12,5.4
92,UNC Asheville (Big South),35,27-8,5.3
93,North Carolina (ACC),33,20-13,5.3
94,Eastern Wash. (Big Sky),34,23-11,5.2
95,Gardner-Webb (Big South),31,15-16,5.2
96,UT Martin (OVC),33,19-14,5.1
96,Hawaii (Big West),33,22-11,5.1
98,Chattanooga (SoCon),35,18-17,5.1
99,Eastern Ky. (ASUN),37,23-14,5.1
100,West Virginia (Big 12),34,19-15,5.1
100,Auburn (SEC),34,21-13,5.1
102,Towson (CAA),33,21-12,5
103,Southern California (Pac-12),33,22-11,5
104,Northwestern (Big Ten),34,22-12,5
105,Iowa St. (Big 12),33,19-14,5
106,Nevada (Mountain West),33,22-11,4.8
107,Utah (Pac-12),32,17-15,4.8
108,Ball St. (MAC),32,20-12,4.8
109,Mississippi St. (SEC),34,21-13,4.7
110,Belmont (MVC),32,21-11,4.6
111,UNCW (CAA),34,24-10,4.6
112,Radford (Big South),36,21-15,4.6
113,Missouri (SEC),35,25-10,4.5
114,Navy (Patriot),31,18-13,4.5
115,Saint Louis (Atlantic 10),33,21-12,4.4
115,Fordham (Atlantic 10),33,25-8,4.4
117,Charlotte (CUSA),36,22-14,4.4
118,Texas Tech (Big 12),32,16-16,4.3
119,Oregon (Pac-12),36,21-15,4.3
120,Drexel (CAA),32,17-15,4.3
121,Southern Ill. (MVC),33,23-10,4.3
122,Northern Ky. (Horizon),35,22-13,4.2
123,UNLV (Mountain West),32,19-13,4.2
124,California Baptist (WAC),33,17-16,4.1
124,Cal St. Fullerton (Big West),33,20-13,4.1
126,Purdue Fort Wayne (Horizon),32,17-15,4.1
127,Virginia Tech (ACC),34,19-15,4.1
128,Milwaukee (Horizon),34,22-12,4
129,Penn St. (Big Ten),37,23-14,4
130,Abilene Christian (WAC),30,13-17,3.9
131,Santa Clara (WCC),33,23-10,3.8
132,Michigan (Big Ten),34,18-16,3.7
133,UC Davis (Big West),32,18-14,3.7
134,Duquesne (Atlantic 10),33,20-13,3.6
135,Ohio St. (Big Ten),35,16-19,3.5
136,UMES (MEAC),31,18-13,3.5
137,SIUE (OVC),33,19-14,3.3
138,UC Riverside (Big West),34,22-12,3.3
139,Quinnipiac (MAAC),32,20-12,3.3
140,Seton Hall (Big East),33,17-16,3.2
141,FDU (NEC),37,21-16,3.2
142,Western Caro. (SoCon),34,18-16,3.2
142,Morehead St. (OVC),34,22-12,3.2
144,Arizona St. (Pac-12),36,23-13,3.1
145,Tennessee St. (OVC),32,18-14,3.1
146,Cleveland St. (Horizon),35,21-14,3.1
147,Stetson (ASUN),31,17-14,3
148,Michigan St. (Big Ten),34,21-13,3
149,Penn (Ivy League),30,17-13,3
150,Seattle U (WAC),32,20-12,2.9
151,Nicholls (Southland),31,16-15,2.9
152,Wake Forest (ACC),33,19-14,2.8
153,San Francisco (WCC),34,20-14,2.8
154,Tulane (AAC),31,20-11,2.8
155,Colorado (Pac-12),35,18-17,2.8
156,Army West Point (Patriot),33,17-16,2.7
157,Florida (SEC),33,16-17,2.6
158,Howard (MEAC),35,22-13,2.6
159,Washington St. (Pac-12),34,17-17,2.6
160,Morgan St. (MEAC),31,15-16,2.6
161,Rider (MAAC),30,16-14,2.6
162,Northwestern St. (Southland),33,22-11,2.6
163,Wichita St. (AAC),32,17-15,2.5
164,Robert Morris (Horizon),33,16-17,2.5
165,Oklahoma St. (Big 12),36,20-16,2.4
166,Missouri St. (MVC),32,17-15,2.4
167,Middle Tenn. (CUSA),33,19-14,2.3
168,LMU (CA) (WCC),31,19-12,2.3
169,Wofford (SoCon),33,17-16,2.2
170,St. John's (NY) (Big East),33,18-15,2.2
171,Long Beach St. (Big West),33,17-16,2.1
172,New Mexico St. (WAC),24,9-15,2
173,Harvard (Ivy League),28,14-14,2
174,Stanford (Pac-12),33,14-19,2
175,Villanova (Big East),34,17-17,1.9
176,Louisiana Tech (CUSA),33,15-18,1.9
177,FGCU (ASUN),32,17-15,1.8
178,Mercer (SoCon),33,14-19,1.7
179,Ga. Southern (Sun Belt),33,17-16,1.7
180,Wisconsin (Big Ten),35,20-15,1.7
181,Southeastern La. (Southland),32,18-14,1.6
182,UMBC (America East),32,18-14,1.6
183,Southeast Mo. St. (OVC),36,19-17,1.5
184,George Mason (Atlantic 10),33,20-13,1.5
185,Wagner (NEC),28,15-13,1.4
186,Siena (MAAC),32,17-15,1.4
187,Campbell (Big South),34,16-18,1.3
188,San Jose St. (Mountain West),35,21-14,1.3
189,Detroit Mercy (Horizon),33,14-19,1.2
190,Syracuse (ACC),32,17-15,1.2
190,Davidson (Atlantic 10),32,16-16,1.2
192,South Dakota St. (Summit League),32,19-13,1.2
193,Colorado St. (Mountain West),33,15-18,1.1
193,Richmond (Atlantic 10),33,15-18,1.1
195,Montana (Big Sky),31,17-14,1.1
196,Western Ky. (CUSA),33,17-16,0.8
197,Portland St. (Big Sky),31,12-19,0.7
198,Jacksonville (ASUN),29,13-16,0.7
199,Old Dominion (Sun Belt),31,19-12,0.7
200,Western Ill. (Summit League),30,16-14,0.7
201,Southern U. (SWAC),32,15-17,0.6
202,UTRGV (WAC),32,15-17,0.5
203,Vanderbilt (SEC),37,22-15,0.4
204,Lehigh (Patriot),30,16-14,0.4
205,Rice (CUSA),35,19-16,0.4
206,Tennessee Tech (OVC),33,16-17,0.3
207,Brown (Ivy League),27,14-13,0.2
208,UNI (MVC),32,14-18,0.2
209,Oklahoma (Big 12),32,15-17,0.1
210,Idaho (Big Sky),32,10-22,0.1
210,ETSU (SoCon),32,12-20,0.1
212,South Fla. (AAC),32,14-18,0
212,UTEP (CUSA),32,14-18,0
214,Saint Joseph's (Atlantic 10),33,16-17,0
215,Buffalo (MAC),32,15-17,-0.1
215,Boston U. (Patriot),32,15-17,-0.1
215,Air Force (Mountain West),32,14-18,-0.1
218,North Ala. (ASUN),33,18-15,-0.2
219,North Dakota St. (Summit League),33,16-17,-0.3
219,Weber St. (Big Sky),33,18-15,-0.3
221,Jacksonville St. (ASUN),31,13-18,-0.4
222,George Washington (Atlantic 10),32,16-16,-0.4
223,American (Patriot),32,17-15,-0.5
224,Sacred Heart (NEC),33,16-17,-0.6
225,Temple (AAC),32,16-16,-0.6
226,New Hampshire (America East),30,15-15,-0.6
227,Coastal Carolina (Sun Belt),31,11-20,-0.7
228,Winthrop (Big South),32,15-17,-0.7
229,Texas St. (Sun Belt),35,16-19,-0.7
230,Saint Francis (PA) (NEC),31,13-18,-0.7
231,USC Upstate (Big South),32,16-16,-0.8
232,Portland (WCC),33,14-19,-0.8
233,Miami (OH) (MAC),32,12-20,-0.9
233,Prairie View (SWAC),32,13-19,-0.9
235,Niagara (MAAC),31,16-15,-0.9
236,St. Bonaventure (Atlantic 10),32,14-18,-0.9
237,Bucknell (Patriot),32,12-20,-1
238,Northern Ariz. (Big Sky),35,12-23,-1
239,Georgia Tech (ACC),33,15-18,-1
240,Dartmouth (Ivy League),28,10-18,-1
241,Delaware (CAA),33,17-16,-1.1
242,Fairfield (MAAC),31,13-18,-1.1
243,Washington (Pac-12),32,16-16,-1.1
244,Maine (America East),30,13-17,-1.2
245,Alabama A&M (SWAC),33,15-18,-1.3
246,North Florida (ASUN),31,14-17,-1.4
247,Ole Miss (SEC),33,12-21,-1.6
248,Murray St. (MVC),32,17-15,-1.6
249,Massachusetts (Atlantic 10),31,15-16,-1.6
250,East Carolina (AAC),33,16-17,-1.7
251,Sacramento St. (Big Sky),32,14-18,-1.7
252,Charleston So. (Big South),31,10-21,-1.7
253,North Dakota (Summit League),33,13-20,-1.8
254,Idaho St. (Big Sky),32,11-21,-1.8
255,Nebraska (Big Ten),32,16-16,-1.9
256,Pacific (WCC),33,15-18,-1.9
256,Arkansas St. (Sun Belt),33,13-20,-1.9
258,Canisius (MAAC),30,10-20,-1.9
259,Fresno St. (Mountain West),31,11-20,-2
260,FIU (CUSA),32,14-18,-2
260,UT Arlington (WAC),32,11-21,-2
262,Denver (Summit League),32,15-17,-2.4
263,ULM (Sun Belt),32,11-21,-2.4
264,Notre Dame (ACC),32,11-21,-2.5
265,Bowling Green (MAC),31,11-20,-2.5
266,High Point (Big South),31,14-17,-2.6
267,Georgia St. (Sun Belt),31,10-21,-2.6
268,Butler (Big East),32,14-18,-2.7
269,Marist (MAAC),33,13-20,-2.7
270,Chicago St. (DI Independent),31,11-20,-2.7
270,Binghamton (America East),31,13-18,-2.7
272,Texas Southern (SWAC),35,14-21,-2.7
273,La Salle (Atlantic 10),34,15-19,-2.8
274,Ark.-Pine Bluff (SWAC),31,10-21,-2.8
275,Wyoming (Mountain West),31,9-22,-2.9
276,St. Francis Brooklyn (NEC),30,14-16,-2.9
277,Alcorn (SWAC),32,18-14,-2.9
278,Oakland (Horizon),32,13-19,-3
279,Georgia (SEC),32,16-16,-3
280,NIU (MAC),32,13-19,-3
280,Saint Peter's (MAAC),32,14-18,-3
282,William & Mary (CAA),33,13-20,-3.1
283,N.C. A&T (CAA),32,13-19,-3.1
284,UIW (Southland),31,12-19,-3.1
285,LSU (SEC),33,14-19,-3.1
286,Manhattan (MAAC),30,12-18,-3.2
287,Eastern Ill. (OVC),31,9-22,-3.3
288,Lafayette (Patriot),34,11-23,-3.3
289,Loyola Maryland (Patriot),33,13-20,-3.3
290,Pepperdine (WCC),31,9-22,-3.3
