Rank,Team,W,L,Win%
125,San Francisco (WCC),20,14,58.8
126,Oregon (Pac-12),21,15,58.3
126,Radford (Big South),21,15,58.3
128,Navy (Patriot),18,13,58.1
128,UMES (MEAC),18,13,58.1
130,Iowa (Big Ten),19,14,57.6
130,Iowa St. (Big 12),19,14,57.6
130,Middle Tenn. (CUSA),19,14,57.6
130,Ohio (MAC),19,14,57.6
130,SIUE (OVC),19,14,57.6
130,UT Martin (OVC),19,14,57.6
130,Wake Forest (ACC),19,14,57.6
137,Wisconsin (Big Ten),20,15,57.1
138,FDU (NEC),21,16,56.8
139,Bryant (America East),17,13,56.7
139,Penn (Ivy League),17,13,56.7
141,Alcorn (SWAC),18,14,56.3
141,Southeastern La. (Southland),18,14,56.3
141,Tennessee St. (OVC),18,14,56.3
141,UC Davis (Big West),18,14,56.3
141,UMBC (America East),18,14,56.3
146,BYU (Big 12),19,15,55.9
146,Rutgers (Big Ten),19,15,55.9
146,UCF (AAC),19,15,55.9
146,Virginia Tech (ACC),19,15,55.9
146,West Virginia (Big 12),19,15,55.9
151,Oklahoma St. (Big 12),20,16,55.6
152,Montana (Big Sky),17,14,54.8
152,Stetson (ASUN),17,14,54.8
154,North Ala. (ASUN),18,15,54.5
154,St. John's (NY) (Big East),18,15,54.5
154,Weber St. (Big Sky),18,15,54.5
154,Wright St. (Horizon),18,15,54.5
158,Rice (CUSA),19,16,54.3
158,South Alabama (Sun Belt),19,16,54.3
160,Wagner (NEC),15,13,53.6
161,Lehigh (Patriot),16,14,53.3
161,Rider (MAAC),16,14,53.3
161,Western Ill. (Summit League),16,14,53.3
164,American (Patriot),17,15,53.1
164,Drexel (CAA),17,15,53.1
164,FGCU (ASUN),17,15,53.1
164,Missouri St. (MVC),17,15,53.1
164,Murray St. (MVC),17,15,53.1
164,Purdue Fort Wayne (Horizon),17,15,53.1
164,Siena (MAAC),17,15,53.1
164,Syracuse (ACC),17,15,53.1
164,Utah (Pac-12),17,15,53.1
164,Wichita St. (AAC),17,15,53.1
174,Michigan (Big Ten),18,16,52.9
174,Western Caro. (SoCon),18,16,52.9
176,Southeast Mo. St. (OVC),19,17,52.8
177,Brown (Ivy League),14,13,51.9
178,Niagara (MAAC),16,15,51.6
178,Nicholls (Southland),16,15,51.6
180,Army West Point (Patriot),17,16,51.5
180,California Baptist (WAC),17,16,51.5
180,Delaware (CAA),17,16,51.5
180,Ga. Southern (Sun Belt),17,16,51.5
180,Long Beach St. (Big West),17,16,51.5
180,Seton Hall (Big East),17,16,51.5
180,Western Ky. (CUSA),17,16,51.5
180,Wofford (SoCon),17,16,51.5
188,Chattanooga (SoCon),18,17,51.4
188,Colorado (Pac-12),18,17,51.4
190,Villanova (Big East),17,17,50
190,Washington St. (Pac-12),17,17,50
190,App State (Sun Belt),16,16,50
190,Davidson (Atlantic 10),16,16,50
190,George Washington (Atlantic 10),16,16,50
190,Georgia (SEC),16,16,50
190,Nebraska (Big Ten),16,16,50
190,Temple (AAC),16,16,50
190,Texas Tech (Big 12),16,16,50
190,USC Upstate (Big South),16,16,50
190,Washington (Pac-12),16,16,50
190,New Hampshire (America East),15,15,50
190,Harvard (Ivy League),14,14,50
203,Boston College (ACC),16,17,48.5
203,East Carolina (AAC),16,17,48.5
203,Florida (SEC),16,17,48.5
203,North Dakota St. (Summit League),16,17,48.5
203,Robert Morris (Horizon),16,17,48.5
203,Sacred Heart (NEC),16,17,48.5
203,Saint Joseph's (Atlantic 10),16,17,48.5
203,Tennessee Tech (OVC),16,17,48.5
211,Gardner-Webb (Big South),15,16,48.4
211,Massachusetts (Atlantic 10),15,16,48.4
211,Morgan St. (MEAC),15,16,48.4
214,Campbell (Big South),16,18,47.1
215,Boston U. (Patriot),15,17,46.9
215,Buffalo (MAC),15,17,46.9
215,Denver (Summit League),15,17,46.9
215,Oklahoma (Big 12),15,17,46.9
215,Southern U. (SWAC),15,17,46.9
215,UTRGV (WAC),15,17,46.9
215,Winthrop (Big South),15,17,46.9
222,St. Francis Brooklyn (NEC),14,16,46.7
223,Ohio St. (Big Ten),16,19,45.7
223,Texas St. (Sun Belt),16,19,45.7
225,Alabama A&M (SWAC),15,18,45.5
225,Colorado St. (Mountain West),15,18,45.5
225,Georgia Tech (ACC),15,18,45.5
225,Louisiana Tech (CUSA),15,18,45.5
225,Pacific (WCC),15,18,45.5
225,Richmond (Atlantic 10),15,18,45.5
231,High Point (Big South),14,17,45.2
231,North Florida (ASUN),14,17,45.2
233,Jacksonville (ASUN),13,16,44.8
234,La Salle (Atlantic 10),15,19,44.1
235,Air Force (Mountain West),14,18,43.8
235,Butler (Big East),14,18,43.8
235,FIU (CUSA),14,18,43.8
235,Sacramento St. (Big Sky),14,18,43.8
235,Saint Peter's (MAAC),14,18,43.8
235,South Fla. (AAC),14,18,43.8
235,St. Bonaventure (Atlantic 10),14,18,43.8
235,UNI (MVC),14,18,43.8
235,UTEP (CUSA),14,18,43.8
244,Abilene Christian (WAC),13,17,43.3
244,Maine (America East),13,17,43.3
246,Detroit Mercy (Horizon),14,19,42.4
246,Jackson St. (SWAC),14,19,42.4
246,LSU (SEC),14,19,42.4
246,Mercer (SoCon),14,19,42.4
246,Portland (WCC),14,19,42.4
246,Stanford (Pac-12),14,19,42.4
252,Binghamton (America East),13,18,41.9
252,Fairfield (MAAC),13,18,41.9
252,Jacksonville St. (ASUN),13,18,41.9
252,Saint Francis (PA) (NEC),13,18,41.9
256,N.C. A&T (CAA),13,19,40.6
256,NIU (MAC),13,19,40.6
256,Oakland (Horizon),13,19,40.6
256,Prairie View (SWAC),13,19,40.6
260,Texas Southern (SWAC),14,21,40
260,Manhattan (MAAC),12,18,40
262,Arkansas St. (Sun Belt),13,20,39.4
262,Loyola Maryland (Patriot),13,20,39.4
262,Marist (MAAC),13,20,39.4
262,Mount St. Mary's (MAAC),13,20,39.4
262,North Dakota (Summit League),13,20,39.4
262,William & Mary (CAA),13,20,39.4
268,Portland St. (Big Sky),12,19,38.7
268,South Dakota (Summit League),12,19,38.7
268,UIW (Southland),12,19,38.7
271,Bethune-Cookman (SWAC),12,20,37.5
271,Bucknell (Patriot),12,20,37.5
271,ETSU (SoCon),12,20,37.5
271,Miami (OH) (MAC),12,20,37.5
271,New Orleans (Southland),12,20,37.5
271,Northern Colo. (Big Sky),12,20,37.5
271,UIC (MVC),12,20,37.5
271,New Mexico St. (WAC),9,15,37.5
279,Ole Miss (SEC),12,21,36.4
280,Dartmouth (Ivy League),10,18,35.7
281,Bowling Green (MAC),11,20,35.5
281,Chicago St. (DI Independent),11,20,35.5
281,Coastal Carolina (Sun Belt),11,20,35.5
281,Fresno St. (Mountain West),11,20,35.5
281,San Diego (WCC),11,20,35.5
286,Idaho St. (Big Sky),11,21,34.4
286,Illinois St. (MVC),11,21,34.4
286,Kansas City (Summit League),11,21,34.4
286,Notre Dame (ACC),11,21,34.4
286,Oregon St. (Pac-12),11,21,34.4
286,South Carolina (SEC),11,21,34.4
286,ULM (Sun Belt),11,21,34.4
286,UT Arlington (WAC),11,21,34.4
286,Valparaiso (MVC),11,21,34.4
295,Northern Ariz. (Big Sky),12,23,34.3
296,CSU Bakersfield (Big West),11,22,33.3
296,Stony Brook (CAA),11,22,33.3
296,Canisius (MAAC),10,20,33.3
296,Northeastern (CAA),10,20,33.3
300,Lafayette (Patriot),11,23,32.4
300,McNeese (Southland),11,23,32.4
302,Ark.-Pine Bluff (SWAC),10,21,32.3
302,Central Mich. (MAC),10,21,32.3
302,Charleston So. (Big South),10,21,32.3
302,Georgia St. (Sun Belt),10,21,32.3
302,Little Rock (OVC),10,21,32.3
302,Loyola Chicago (Atlantic 10),10,21,32.3
308,Central Conn. St. (NEC),10,22,31.3
308,Holy Cross (Patriot),10,22,31.3
308,Houston Christian (Southland),10,22,31.3
308,Idaho (Big Sky),10,22,31.3
308,SMU (AAC),10,22,31.3
308,The Citadel (SoCon),10,22,31.3
308,UTSA (CUSA),10,22,31.3
315,DePaul (Big East),10,23,30.3
316,Austin Peay (ASUN),9,22,29
316,Central Ark. (ASUN),9,22,29
316,Eastern Ill. (OVC),9,22,29
316,Lamar University (Southland),9,22,29
316,Minnesota (Big Ten),9,22,29
316,Pepperdine (WCC),9,22,29
316,Rhode Island (Atlantic 10),9,22,29
316,Wyoming (Mountain West),9,22,29
324,Coppin St. (MEAC),9,23,28.1
324,Florida St. (ACC),9,23,28.1
324,Omaha (Summit League),9,23,28.1
327,Alabama St. (SWAC),8,23,25.8
327,Eastern Mich. (MAC),8,23,25.8
327,UAlbany (America East),8,23,25.8
327,Western Mich. (MAC),8,23,25.8
331,Elon (CAA),8,24,25
331,Hampton (CAA),8,24,25
333,Cal Poly (Big West),8,25,24.2
334,Columbia (Ivy League),7,22,24.1
334,Florida A&M (SWAC),7,22,24.1
336,NJIT (America East),7,23,23.3
337,CSUN (Big West),7,25,21.9
337,Georgetown (Big East),7,25,21.9
337,VMI (SoCon),7,25,21.9
340,Monmouth (CAA),7,26,21.2
341,Delaware St. (MEAC),6,24,20
342,Hartford (DI Independent),5,23,17.9
343,Tulsa (AAC),5,25,16.7
344,South Carolina St. (MEAC),5,26,16.1
345,Evansville (MVC),5,27,15.6
345,IU Indy (Horizon),5,27,15.6
345,Mississippi Val. (SWAC),5,27,15.6
345,Presbyterian (Big South),5,27,15.6
349,Louisville (ACC),4,28,12.5
350,LIU (NEC),3,26,10.3
351,California (Pac-12),3,29,9.4
351,Green Bay (Horizon),3,29,9.4
