Rank,Team,W,L,Win%
1,Fla. Atlantic (CUSA),35,4,89.7
2,Houston (AAC),33,4,89.2
3,Col. of Charleston (CAA),31,4,88.6
4,Oral Roberts (Summit League),30,5,85.7
5,Alabama (SEC),31,6,83.8
5,Gonzaga (WCC),31,6,83.8
5,UCLA (Pac-12),31,6,83.8
8,Purdue (Big Ten),29,6,82.9
9,San Diego St. (Mountain West),32,7,82.1
10,North Texas (CUSA),31,7,81.6
11,Marquette (Big East),29,7,80.6
12,Arizona (Pac-12),28,7,80
12,Kent St. (MAC),28,7,80
14,UConn (Big East),31,8,79.5
15,Miami (FL) (ACC),29,8,78.4
16,Furman (SoCon),28,8,77.8
16,Kansas (Big 12),28,8,77.8
18,Drake (MVC),27,8,77.1
18,Iona (MAAC),27,8,77.1
18,Saint Mary's (CA) (WCC),27,8,77.1
18,Toledo (MAC),27,8,77.1
18,UC Santa Barbara (Big West),27,8,77.1
18,UNC Asheville (Big South),27,8,77.1
18,VCU (Atlantic 10),27,8,77.1
25,Louisiana (Sun Belt),26,8,76.5
25,Sam Houston (WAC),26,8,76.5
25,UMass Lowell (America East),26,8,76.5
28,Texas (Big 12),29,9,76.3
29,Fordham (Atlantic 10),25,8,75.8
29,Southern Miss. (Sun Belt),25,8,75.8
29,Virginia (ACC),25,8,75.8
32,Utah Valley (WAC),28,9,75.7
33,Duke (ACC),27,9,75
33,Liberty (ASUN),27,9,75
33,Marshall (Sun Belt),24,8,75
36,UAB (CUSA),29,10,74.4
37,Colgate (Patriot),26,9,74.3
37,Kennesaw St. (ASUN),26,9,74.3
37,Memphis (AAC),26,9,74.3
37,Utah St. (Mountain West),26,9,74.3
41,Xavier (Big East),27,10,73
42,Grambling (SWAC),24,9,72.7
43,Kansas St. (Big 12),26,10,72.2
44,Princeton (Ivy League),23,9,71.9
45,Bradley (MVC),25,10,71.4
45,Hofstra (CAA),25,10,71.4
45,Missouri (SEC),25,10,71.4
45,Montana St. (Big Sky),25,10,71.4
45,Texas A&M (SEC),25,10,71.4
50,Boise St. (Mountain West),24,10,70.6
50,UNCW (CAA),24,10,70.6
50,Youngstown St. (Horizon),24,10,70.6
53,Yale (Ivy League),21,9,70
54,Santa Clara (WCC),23,10,69.7
54,Southern Ill. (MVC),23,10,69.7
56,Tennessee (SEC),25,11,69.4
57,A&M-Corpus Christi (Southland),24,11,68.6
58,Baylor (Big 12),23,11,67.6
58,Clemson (ACC),23,11,67.6
58,Eastern Wash. (Big Sky),23,11,67.6
58,NC State (ACC),23,11,67.6
58,Vermont (America East),23,11,67.6
63,Grand Canyon (WAC),24,12,66.7
63,Pittsburgh (ACC),24,12,66.7
63,Akron (MAC),22,11,66.7
63,Hawaii (Big West),22,11,66.7
63,James Madison (Sun Belt),22,11,66.7
63,Nevada (Mountain West),22,11,66.7
63,Norfolk St. (MEAC),22,11,66.7
63,Northwestern St. (Southland),22,11,66.7
63,Southern California (Pac-12),22,11,66.7
72,Indiana (Big Ten),23,12,65.7
72,UC Irvine (Big West),23,12,65.7
74,Belmont (MVC),21,11,65.6
74,Samford (SoCon),21,11,65.6
76,Creighton (Big East),24,13,64.9
76,Southern Utah (WAC),24,13,64.9
78,Dayton (Atlantic 10),22,12,64.7
78,Kentucky (SEC),22,12,64.7
78,Milwaukee (Horizon),22,12,64.7
78,Morehead St. (OVC),22,12,64.7
78,New Mexico (Mountain West),22,12,64.7
78,Northwestern (Big Ten),22,12,64.7
78,UC Riverside (Big West),22,12,64.7
85,Tulane (AAC),20,11,64.5
86,Arizona St. (Pac-12),23,13,63.9
86,Cincinnati (AAC),23,13,63.9
86,Indiana St. (MVC),23,13,63.9
89,Providence (Big East),21,12,63.6
89,Saint Louis (Atlantic 10),21,12,63.6
89,Towson (CAA),21,12,63.6
92,Howard (MEAC),22,13,62.9
92,Maryland (Big Ten),22,13,62.9
92,Northern Ky. (Horizon),22,13,62.9
92,TCU (Big 12),22,13,62.9
96,Ball St. (MAC),20,12,62.5
96,Longwood (Big South),20,12,62.5
96,Quinnipiac (MAAC),20,12,62.5
96,Seattle U (WAC),20,12,62.5
96,UNC Greensboro (SoCon),20,12,62.5
101,Eastern Ky. (ASUN),23,14,62.2
101,Penn St. (Big Ten),23,14,62.2
103,Auburn (SEC),21,13,61.8
103,Michigan St. (Big Ten),21,13,61.8
103,Mississippi St. (SEC),21,13,61.8
106,LMU (CA) (WCC),19,12,61.3
106,Old Dominion (Sun Belt),19,12,61.3
108,Arkansas (SEC),22,14,61.1
108,Charlotte (CUSA),22,14,61.1
110,Cornell (Ivy League),17,11,60.7
111,Cal St. Fullerton (Big West),20,13,60.6
111,Duquesne (Atlantic 10),20,13,60.6
111,George Mason (Atlantic 10),20,13,60.6
111,Illinois (Big Ten),20,13,60.6
111,Lipscomb (ASUN),20,13,60.6
111,North Carolina (ACC),20,13,60.6
111,Troy (Sun Belt),20,13,60.6
118,Cleveland St. (Horizon),21,14,60
118,San Jose St. (Mountain West),21,14,60
118,N.C. Central (MEAC),18,12,60
121,Vanderbilt (SEC),22,15,59.5
122,SFA (WAC),19,13,59.4
122,South Dakota St. (Summit League),19,13,59.4
122,UNLV (Mountain West),19,13,59.4
