Rank,Team,GM,W-L,PTS,PPG
116,UCLA (Pac-12),37,31-6,"2,743",74.1
117,Syracuse (ACC),32,17-15,"2,372",74.1
118,North Ala. (ASUN),33,18-15,"2,446",74.1
119,Arkansas (SEC),36,22-14,"2,666",74.1
120,Montana St. (Big Sky),35,25-10,"2,588",73.9
121,Western Caro. (SoCon),34,18-16,"2,513",73.9
122,Purdue Fort Wayne (Horizon),32,17-15,"2,364",73.9
123,Southern Miss. (Sun Belt),33,25-8,"2,436",73.8
124,Winthrop (Big South),32,15-17,"2,360",73.8
125,Northern Ariz. (Big Sky),35,12-23,"2,581",73.7
126,New Mexico St. (WAC),24,9-15,"1,769",73.7
127,Tennessee Tech (OVC),33,16-17,"2,432",73.7
128,Miami (OH) (MAC),32,12-20,"2,357",73.7
129,Northern Colo. (Big Sky),32,12-20,"2,355",73.6
130,South Carolina St. (MEAC),31,5-26,"2,274",73.4
131,Michigan (Big Ten),34,18-16,"2,494",73.4
132,Oakland (Horizon),32,13-19,"2,347",73.3
132,Texas Tech (Big 12),32,16-16,"2,347",73.3
134,Coastal Carolina (Sun Belt),31,11-20,"2,273",73.3
135,Longwood (Big South),32,20-12,"2,341",73.2
136,Troy (Sun Belt),33,20-13,"2,414",73.2
137,New Orleans (Southland),32,12-20,"2,340",73.1
138,FIU (CUSA),32,14-18,"2,339",73.1
139,Army West Point (Patriot),33,17-16,"2,412",73.1
140,Western Ill. (Summit League),30,16-14,"2,191",73
141,Saint Francis (PA) (NEC),31,13-18,"2,263",73
142,Idaho (Big Sky),32,10-22,"2,335",73
142,Quinnipiac (MAAC),32,20-12,"2,335",73
144,Central Ark. (ASUN),31,9-22,"2,261",72.9
145,North Dakota St. (Summit League),33,16-17,"2,404",72.8
146,Texas A&M (SEC),35,25-10,"2,549",72.8
147,Auburn (SEC),34,21-13,"2,474",72.8
148,Vermont (America East),34,23-11,"2,471",72.7
149,Purdue (Big Ten),35,29-6,"2,543",72.7
150,Denver (Summit League),32,15-17,"2,325",72.7
151,Nevada (Mountain West),33,22-11,"2,397",72.6
152,Charleston So. (Big South),31,10-21,"2,251",72.6
153,Ohio St. (Big Ten),35,16-19,"2,538",72.5
154,Colorado St. (Mountain West),33,15-18,"2,391",72.5
155,UC Riverside (Big West),34,22-12,"2,463",72.4
156,Southern California (Pac-12),33,22-11,"2,389",72.4
157,Saint Joseph's (Atlantic 10),33,16-17,"2,388",72.4
158,Penn St. (Big Ten),37,23-14,"2,673",72.2
159,Eastern Mich. (MAC),31,8-23,"2,239",72.2
160,Louisiana Tech (CUSA),33,15-18,"2,383",72.2
161,Sam Houston (WAC),34,26-8,"2,454",72.2
162,North Dakota (Summit League),33,13-20,"2,380",72.1
163,Boise St. (Mountain West),34,24-10,"2,451",72.1
164,UNC Greensboro (SoCon),32,20-12,"2,306",72.1
165,Duke (ACC),36,27-9,"2,592",72
165,Fordham (Atlantic 10),33,25-8,"2,376",72
165,Coppin St. (MEAC),32,9-23,"2,304",72
165,NIU (MAC),32,13-19,"2,304",72
169,Seattle U (WAC),32,20-12,"2,303",72
169,South Fla. (AAC),32,14-18,"2,303",72
171,Vanderbilt (SEC),37,22-15,"2,661",71.9
172,Southern U. (SWAC),32,15-17,"2,300",71.9
173,Cleveland St. (Horizon),35,21-14,"2,512",71.8
174,Towson (CAA),33,21-12,"2,368",71.8
175,UC Santa Barbara (Big West),35,27-8,"2,510",71.7
176,UCF (AAC),34,19-15,"2,432",71.5
177,Western Ky. (CUSA),33,17-16,"2,355",71.4
178,Dartmouth (Ivy League),28,10-18,"1,998",71.4
179,FGCU (ASUN),32,17-15,"2,280",71.3
180,Florida (SEC),33,16-17,"2,351",71.2
181,DePaul (Big East),33,10-23,"2,349",71.2
182,San Diego St. (Mountain West),39,32-7,"2,775",71.2
183,Arizona St. (Pac-12),36,23-13,"2,559",71.1
184,Wichita St. (AAC),32,17-15,"2,272",71
185,South Alabama (Sun Belt),35,19-16,"2,483",70.9
186,South Dakota St. (Summit League),32,19-13,"2,270",70.9
187,Michigan St. (Big Ten),34,21-13,"2,411",70.9
188,VCU (Atlantic 10),35,27-8,"2,480",70.9
189,UIW (Southland),31,12-19,"2,194",70.8
190,Tennessee (SEC),36,25-11,"2,547",70.8
190,N.C. A&T (CAA),32,13-19,"2,264",70.8
192,Gardner-Webb (Big South),31,15-16,"2,192",70.7
193,Sacred Heart (NEC),33,16-17,"2,332",70.7
194,Bradley (MVC),35,25-10,"2,473",70.7
194,Saint Mary's (CA) (WCC),35,27-8,"2,473",70.7
196,Oregon (Pac-12),36,21-15,"2,542",70.6
197,Murray St. (MVC),32,17-15,"2,254",70.4
198,Stanford (Pac-12),33,14-19,"2,321",70.3
199,Chicago St. (DI Independent),31,11-20,"2,180",70.3
200,Canisius (MAAC),30,10-20,"2,109",70.3
201,App State (Sun Belt),32,16-16,"2,248",70.3
201,SMU (AAC),32,10-22,"2,248",70.3
203,Rider (MAAC),30,16-14,"2,105",70.2
204,UNI (MVC),32,14-18,"2,244",70.1
205,Middle Tenn. (CUSA),33,19-14,"2,313",70.1
206,Davidson (Atlantic 10),32,16-16,"2,236",69.9
207,Jacksonville St. (ASUN),31,13-18,"2,166",69.9
207,Western Mich. (MAC),31,8-23,"2,166",69.9
209,Colorado (Pac-12),35,18-17,"2,445",69.9
210,Campbell (Big South),34,16-18,"2,374",69.8
210,La Salle (Atlantic 10),34,15-19,"2,374",69.8
210,Morehead St. (OVC),34,22-12,"2,374",69.8
213,Lehigh (Patriot),30,16-14,"2,094",69.8
214,Massachusetts (Atlantic 10),31,15-16,"2,163",69.8
215,UMES (MEAC),31,18-13,"2,162",69.7
216,Georgia Tech (ACC),33,15-18,"2,301",69.7
217,Maryland (Big Ten),35,22-13,"2,440",69.7
218,Delaware (CAA),33,17-16,"2,298",69.6
219,Alabama A&M (SWAC),33,15-18,"2,297",69.6
220,Notre Dame (ACC),32,11-21,"2,227",69.6
220,Temple (AAC),32,16-16,"2,227",69.6
222,Villanova (Big East),34,17-17,"2,366",69.6
223,Brown (Ivy League),27,14-13,"1,878",69.6
224,Georgetown (Big East),32,7-25,"2,225",69.5
225,California Baptist (WAC),33,17-16,"2,291",69.4
226,Navy (Patriot),31,18-13,"2,152",69.4
227,VMI (SoCon),32,7-25,"2,220",69.4
228,Florida St. (ACC),32,9-23,"2,219",69.3
229,Radford (Big South),36,21-15,"2,496",69.3
230,South Dakota (Summit League),31,12-19,"2,149",69.3
231,Robert Morris (Horizon),33,16-17,"2,287",69.3
232,UTSA (CUSA),32,10-22,"2,217",69.3
233,Montana (Big Sky),31,17-14,"2,147",69.3
234,Texas Southern (SWAC),35,14-21,"2,422",69.2
235,Cal St. Fullerton (Big West),33,20-13,"2,283",69.2
236,McNeese (Southland),34,11-23,"2,352",69.2
237,Wyoming (Mountain West),31,9-22,"2,144",69.2
238,Idaho St. (Big Sky),32,11-21,"2,213",69.2
238,Washington (Pac-12),32,16-16,"2,213",69.2
240,ETSU (SoCon),32,12-20,"2,211",69.1
241,Grambling (SWAC),33,24-9,"2,276",69
242,Valparaiso (MVC),32,11-21,"2,206",68.9
243,UNCW (CAA),34,24-10,"2,343",68.9
244,Richmond (Atlantic 10),33,15-18,"2,273",68.9
245,Eastern Ill. (OVC),31,9-22,"2,134",68.8
246,East Carolina (AAC),33,16-17,"2,271",68.8
