Rank,Team,GM,W-L,3FG PG
141,Colgate (Patriot),35,25-10,7.8
141,ETSU (SoCon),35,19-16,7.8
143,LSU (SEC),33,17-16,7.8
144,Houston (Big 12),37,32-5,7.7
145,Penn St. (Big Ten),33,16-17,7.7
146,Tulsa (AAC),31,16-15,7.7
147,Boston U. (Patriot),33,16-17,7.7
147,Northern Colo. (Big Sky),33,19-14,7.7
149,Montana (Big Sky),36,24-12,7.7
150,North Ala. (ASUN),32,15-17,7.7
151,USC Upstate (Big South),30,10-20,7.7
152,Monmouth (CAA),33,18-15,7.6
152,Southern California (Pac-12),33,15-18,7.6
154,UIW (Southland),31,8-23,7.6
155,Louisiana (Sun Belt),33,19-14,7.6
155,Notre Dame (ACC),33,13-20,7.6
155,SMU (AAC),33,20-13,7.6
155,St. Bonaventure (Atlantic 10),33,20-13,7.6
159,Seattle U (WAC),37,23-14,7.6
160,Idaho (Big Sky),32,11-21,7.6
161,Sacramento St. (Big Sky),34,10-24,7.6
161,Saint Mary's (CA) (WCC),34,26-8,7.6
163,Cincinnati (Big 12),37,22-15,7.6
164,McNeese (Southland),34,30-4,7.6
165,Georgia St. (Sun Belt),31,14-17,7.5
166,Gardner-Webb (Big South),33,17-16,7.5
166,Holy Cross (Patriot),33,10-23,7.5
168,Duquesne (Atlantic 10),37,25-12,7.5
169,Ole Miss (SEC),32,20-12,7.5
169,Wyoming (Mountain West),32,15-17,7.5
171,N.C. Central (MEAC),31,18-13,7.5
171,Tulane (AAC),31,14-17,7.5
173,Lamar University (Southland),33,19-14,7.5
174,Ball St. (MAC),31,15-16,7.5
175,Quinnipiac (MAAC),34,24-10,7.5
176,Oklahoma (Big 12),32,20-12,7.5
176,South Alabama (Sun Belt),32,16-16,7.5
178,Winthrop (Big South),32,17-15,7.4
179,Sam Houston (CUSA),33,21-12,7.4
180,Harvard (Ivy League),27,14-13,7.4
181,Portland St. (Big Sky),32,17-15,7.4
181,Sacred Heart (NEC),32,16-16,7.4
183,Kansas St. (Big 12),34,19-15,7.4
184,Davidson (Atlantic 10),32,15-17,7.3
184,Southeastern La. (Southland),32,15-17,7.3
