Rank,Team,GM,W-L,AST,TO,Ratio
1,UConn (Big East),40,37-3,748,383,1.95
2,Virginia (ACC),34,23-11,509,274,1.86
3,Iowa (Big Ten),34,19-15,606,327,1.85
4,Princeton (Ivy League),29,24-5,422,237,1.78
5,Northwestern (Big Ten),34,22-12,530,300,1.77
6,BYU (Big 12),34,23-11,629,364,1.73
7,Colorado St. (Mountain West),36,25-11,648,376,1.72
8,Gonzaga (WCC),35,27-8,585,342,1.71
9,Auburn (SEC),35,27-8,622,374,1.66
10,Drake (MVC),35,28-7,559,337,1.66
11,Kentucky (SEC),33,23-10,579,352,1.64
12,Tennessee (SEC),36,27-9,600,367,1.63
13,Kansas (Big 12),34,23-11,647,397,1.63
14,Purdue (Big Ten),39,34-5,720,442,1.63
15,Michigan St. (Big Ten),35,20-15,558,350,1.59
16,Marquette (Big East),37,27-10,587,369,1.59
17,Saint Mary's (CA) (WCC),34,26-8,550,347,1.59
18,Creighton (Big East),35,25-10,588,372,1.58
19,Duke (ACC),36,27-9,551,349,1.58
20,Yale (Ivy League),33,23-10,495,316,1.57
21,Arizona (Pac-12),36,27-9,665,430,1.55
22,Indiana St. (MVC),39,32-7,698,452,1.54
23,Col. of Charleston (CAA),35,27-8,536,348,1.54
24,McNeese (Southland),34,30-4,506,329,1.54
25,Utah (Pac-12),37,22-15,654,426,1.54
26,La Salle (Atlantic 10),33,16-17,484,316,1.53
27,Richmond (Atlantic 10),33,23-10,436,285,1.53
28,South Carolina (SEC),34,26-8,524,344,1.52
29,Pittsburgh (ACC),33,22-11,452,297,1.52
30,Liberty (CUSA),32,18-14,508,334,1.52
31,Iowa St. (Big 12),37,29-8,582,387,1.50
32,Nevada (Mountain West),34,26-8,511,342,1.49
33,Cornell (Ivy League),30,22-8,544,366,1.49
34,Utah St. (Mountain West),35,28-7,572,385,1.49
35,Vermont (America East),35,28-7,478,322,1.48
36,Hofstra (CAA),33,20-13,507,344,1.47
37,James Madison (Sun Belt),36,32-4,577,392,1.47
38,Clemson (ACC),36,24-12,533,363,1.47
39,Houston (Big 12),37,32-5,484,330,1.47
40,New Mexico (Mountain West),36,26-10,524,361,1.45
41,Lipscomb (ASUN),32,20-12,465,321,1.45
42,Montana (Big Sky),36,24-12,537,371,1.45
43,Ohio (MAC),33,20-13,464,321,1.45
44,Minnesota (Big Ten),34,19-15,588,408,1.44
45,St. John's (NY) (Big East),33,20-13,518,360,1.44
46,North Carolina (ACC),37,29-8,536,373,1.44
47,Colgate (Patriot),35,25-10,526,368,1.43
48,Columbia (Ivy League),27,13-14,471,330,1.43
49,UNCW (CAA),31,21-10,379,266,1.42
50,San Francisco (WCC),34,23-11,554,392,1.41
51,Dayton (Atlantic 10),33,25-8,483,343,1.41
52,Iona (MAAC),33,16-17,473,336,1.41
53,Ole Miss (SEC),32,20-12,484,344,1.41
54,Massachusetts (Atlantic 10),31,20-11,483,345,1.40
55,Wright St. (Horizon),32,18-14,529,379,1.40
56,Xavier (Big East),34,16-18,551,396,1.39
57,SMU (AAC),33,20-13,517,372,1.39
58,Youngstown St. (Horizon),32,22-10,490,353,1.39
59,Butler (Big East),33,18-15,499,361,1.38
60,Nebraska (Big Ten),34,23-11,521,377,1.38
61,South Fla. (AAC),33,25-8,491,356,1.38
62,Furman (SoCon),33,17-16,535,391,1.37
63,UC Riverside (Big West),34,16-18,446,326,1.37
64,NC State (ACC),41,26-15,536,392,1.37
65,Virginia Tech (ACC),34,19-15,514,376,1.37
66,App State (Sun Belt),34,27-7,498,365,1.36
