Rank,Team,GM,Opp TO,TO PG
1,UTEP (CUSA),34,636,18.71
2,FIU (CUSA),33,570,17.27
3,Iowa St. (Big 12),37,636,17.19
4,SFA (WAC),33,563,17.06
5,Samford (SoCon),35,583,16.66
6,Prairie View (SWAC),31,516,16.65
7,Bethune-Cookman (SWAC),34,562,16.53
8,Southern U. (SWAC),32,528,16.50
9,McNeese (Southland),34,556,16.35
10,Merrimack (NEC),33,536,16.24
11,Purdue Fort Wayne (Horizon),36,581,16.14
12,Houston (Big 12),37,585,15.81
13,Delaware St. (MEAC),34,531,15.62
14,Troy (Sun Belt),32,496,15.50
15,Norfolk St. (MEAC),35,538,15.37
16,South Carolina St. (MEAC),32,487,15.22
17,Iona (MAAC),33,502,15.21
18,A&M-Corpus Christi (Southland),33,494,14.97
19,Florida St. (ACC),33,493,14.94
20,Rutgers (Big Ten),32,477,14.91
21,Coppin St. (MEAC),29,431,14.86
22,Louisiana (Sun Belt),33,487,14.76
23,TCU (Big 12),34,501,14.74
24,Marquette (Big East),37,544,14.70
25,Penn St. (Big Ten),33,484,14.67
26,New Orleans (Southland),33,483,14.64
27,Alabama St. (SWAC),32,468,14.63
28,UC Davis (Big West),33,481,14.58
29,Abilene Christian (WAC),34,495,14.56
30,Northern Ky. (Horizon),33,480,14.55
31,FDU (NEC),32,464,14.50
31,Sacred Heart (NEC),32,464,14.50
33,Syracuse (ACC),32,463,14.47
34,UTRGV (WAC),31,448,14.45
35,Chicago St. (DI Independent),32,462,14.44
36,James Madison (Sun Belt),36,516,14.33
37,UCF (Big 12),33,469,14.21
38,Eastern Ill. (OVC),32,454,14.19
39,Western Ky. (CUSA),34,480,14.12
40,Alabama A&M (SWAC),35,492,14.06
41,Lamar University (Southland),33,463,14.03
42,New Mexico (Mountain West),36,504,14.00
43,N.C. Central (MEAC),31,432,13.94
44,Fairfield (MAAC),37,515,13.92
45,Grand Canyon (WAC),35,487,13.91
46,San Francisco (WCC),34,473,13.91
47,Fordham (Atlantic 10),33,459,13.91
48,Memphis (AAC),32,443,13.84
49,Cleveland St. (Horizon),36,497,13.81
50,Arizona St. (Pac-12),32,439,13.72
51,Ohio (MAC),33,452,13.70
52,UT Arlington (WAC),34,465,13.68
53,Long Beach St. (Big West),36,491,13.64
54,Longwood (Big South),35,477,13.63
55,UMES (MEAC),29,395,13.62
56,Saint Peter's (MAAC),33,449,13.61
57,Navy (Patriot),31,420,13.55
58,Montana St. (Big Sky),35,474,13.54
59,IU Indy (Horizon),32,432,13.50
60,Sam Houston (CUSA),33,445,13.48
61,Kennesaw St. (ASUN),31,418,13.48
62,Marist (MAAC),31,417,13.45
63,USC Upstate (Big South),30,403,13.43
64,Tennessee St. (OVC),33,443,13.42
65,Arizona (Pac-12),36,483,13.42
66,Northwestern St. (Southland),32,429,13.41
67,Cornell (Ivy League),30,402,13.40
68,CSUN (Big West),34,455,13.38
69,ETSU (SoCon),35,468,13.37
70,Jackson St. (SWAC),32,427,13.34
71,Winthrop (Big South),32,426,13.31
72,San Diego (WCC),33,439,13.30
73,Southern California (Pac-12),33,438,13.27
74,Kent St. (MAC),34,450,13.24
75,CSU Bakersfield (Big West),32,422,13.19
75,Maine (America East),32,422,13.19
77,Massachusetts (Atlantic 10),31,407,13.13
78,Duquesne (Atlantic 10),37,485,13.11
79,Portland St. (Big Sky),32,419,13.09
80,Toledo (MAC),32,418,13.06
81,Tennessee (SEC),36,469,13.03
82,SMU (AAC),33,428,12.97
83,Old Dominion (Sun Belt),32,415,12.97
83,UAlbany (America East),32,415,12.97
85,Tulsa (AAC),31,402,12.97
86,Texas St. (Sun Belt),35,453,12.94
87,Quinnipiac (MAAC),34,440,12.94
88,Morgan St. (MEAC),31,401,12.94
88,Tulane (AAC),31,401,12.94
90,LSU (SEC),33,426,12.91
90,Presbyterian (Big South),33,426,12.91
90,St. Bonaventure (Atlantic 10),33,426,12.91
90,St. John's (NY) (Big East),33,426,12.91
94,Texas (Big 12),34,438,12.88
95,Auburn (SEC),35,449,12.83
