Rank,Team,GM,W-L,Fouls,PFPG,DQ
1,Creighton (Big East),35,25-10,403,11.5,0
2,Lipscomb (ASUN),32,20-12,414,12.9,5
3,Miami (FL) (ACC),32,15-17,419,13.1,5
4,App State (Sun Belt),34,27-7,449,13.2,5
5,Colgate (Patriot),35,25-10,468,13.4,6
6,Princeton (Ivy League),29,24-5,392,13.5,1
7,Virginia (ACC),34,23-11,460,13.5,5
8,Dayton (Atlantic 10),33,25-8,447,13.5,3
9,Tennessee Tech (OVC),31,10-21,421,13.6,4
10,Central Conn. St. (NEC),31,20-11,423,13.6,2
11,Purdue (Big Ten),39,34-5,536,13.7,2
12,Butler (Big East),33,18-15,454,13.8,4
13,Dartmouth (Ivy League),27,6-21,374,13.9,5
14,Manhattan (MAAC),30,7-23,417,13.9,5
15,Vermont (America East),35,28-7,488,13.9,2
16,The Citadel (SoCon),32,11-21,447,14,6
17,Richmond (Atlantic 10),33,23-10,468,14.2,4
18,UT Martin (OVC),32,21-11,455,14.2,4
19,Western Ill. (OVC),33,21-12,470,14.2,2
20,South Dakota St. (Summit League),35,22-13,501,14.3,7
21,Fairfield (MAAC),37,24-13,531,14.4,4
22,Rice (AAC),32,11-21,463,14.5,4
23,FGCU (ASUN),32,14-18,464,14.5,9
24,George Washington (Atlantic 10),32,15-17,465,14.5,11
25,Hofstra (CAA),33,20-13,480,14.5,12
26,Houston Christian (Southland),29,6-23,422,14.6,11
27,North Dakota St. (Summit League),32,15-17,468,14.6,5
28,Stetson (ASUN),35,22-13,516,14.7,9
29,Kansas (Big 12),34,23-11,502,14.8,5
30,Colorado (Pac-12),37,26-11,548,14.8,4
31,Harvard (Ivy League),27,14-13,400,14.8,2
32,Portland (WCC),33,12-21,490,14.8,11
33,Penn (Ivy League),29,11-18,431,14.9,3
34,Texas Tech (Big 12),34,23-11,508,14.9,8
35,Cincinnati (Big 12),37,22-15,555,15,12
35,Liberty (CUSA),32,18-14,480,15,5
35,Niagara (MAAC),32,16-16,480,15,7
35,UMass Lowell (America East),32,22-10,480,15,14
39,Marquette (Big East),37,27-10,556,15,4
40,Delaware (CAA),33,19-14,496,15,10
41,Notre Dame (ACC),33,13-20,497,15.1,3
42,DePaul (Big East),32,3-29,482,15.1,8
43,Oakland (Horizon),36,24-12,544,15.1,11
44,Yale (Ivy League),33,23-10,499,15.1,7
45,Ball St. (MAC),31,15-16,469,15.1,8
46,Campbell (CAA),32,14-18,485,15.2,2
46,North Dakota (Summit League),32,18-14,485,15.2,6
46,Northeastern (CAA),32,12-20,485,15.2,3
49,Illinois (Big Ten),38,29-9,576,15.2,2
50,Seton Hall (Big East),37,25-12,562,15.2,5
51,Stony Brook (CAA),35,20-15,532,15.2,4
52,West Virginia (Big 12),32,9-23,487,15.2,9
53,New Hampshire (America East),31,16-15,472,15.2,5
54,N.C. A&T (CAA),32,7-25,488,15.3,5
55,Saint Joseph's (Atlantic 10),35,21-14,534,15.3,7
56,Missouri St. (MVC),33,17-16,504,15.3,4
57,Vanderbilt (SEC),32,9-23,489,15.3,3
58,Evansville (MVC),35,17-18,535,15.3,6
59,Villanova (Big East),34,18-16,520,15.3,5
60,Murray St. (MVC),32,12-20,490,15.3,7
60,Stanford (Pac-12),32,14-18,490,15.3,10
62,Drexel (CAA),32,20-12,491,15.3,4
62,Siena (MAAC),32,4-28,491,15.3,5
64,Wichita St. (AAC),34,15-19,522,15.4,7
65,Wagner (NEC),33,17-16,507,15.4,8
66,Syracuse (ACC),32,20-12,493,15.4,9
67,Charlotte (AAC),31,19-12,479,15.5,6
68,Pittsburgh (ACC),33,22-11,510,15.5,7
69,Weber St. (Big Sky),32,20-12,495,15.5,4
70,Belmont (MVC),33,20-13,511,15.5,3
71,Wake Forest (ACC),35,21-14,542,15.5,9
72,Mount St. Mary's (MAAC),32,13-19,496,15.5,11
73,Toledo (MAC),32,20-12,498,15.6,8
74,Wright St. (Horizon),32,18-14,499,15.6,9
75,Gonzaga (WCC),35,27-8,546,15.6,7
76,Buffalo (MAC),31,4-27,484,15.6,6
77,Louisiana Tech (CUSA),32,22-10,500,15.6,10
77,Wyoming (Mountain West),32,15-17,500,15.6,16
79,East Carolina (AAC),33,15-18,516,15.6,5
79,Middle Tenn. (CUSA),33,14-19,516,15.6,13
81,Bowling Green (MAC),34,20-14,533,15.7,8
82,Illinois St. (MVC),32,15-17,502,15.7,7
83,Elon (CAA),32,13-19,503,15.7,7
84,Boston College (ACC),36,20-16,566,15.7,9
85,Fresno St. (Mountain West),33,12-21,520,15.8,11
86,Providence (Big East),35,21-14,552,15.8,9
87,UMBC (America East),32,11-21,505,15.8,10
88,Morehead St. (OVC),35,26-9,553,15.8,8
89,Army West Point (Patriot),32,10-22,506,15.8,9
90,Nebraska (Big Ten),34,23-11,539,15.9,7
91,UAB (AAC),35,23-12,555,15.9,15
