Rank,Team,GM,W-L,Fouls,PFPG,DQ
92,Duke (ACC),36,27-9,571,15.9,8
93,Utah (Pac-12),37,22-15,587,15.9,5
94,California Baptist (WAC),33,16-17,524,15.9,12
94,Chattanooga (SoCon),33,21-12,524,15.9,7
96,UNLV (Mountain West),34,21-13,540,15.9,12
96,Virginia Tech (ACC),34,19-15,540,15.9,10
98,Col. of Charleston (CAA),35,27-8,558,15.9,3
99,Davidson (Atlantic 10),32,15-17,511,16,8
99,Oklahoma St. (Big 12),32,12-20,511,16,5
99,South Dakota (Summit League),32,12-20,511,16,12
102,Coastal Carolina (Sun Belt),31,9-22,496,16,8
102,Furman (SoCon),33,17-16,528,16,11
104,Grambling (SWAC),36,21-15,577,16,10
105,Fla. Atlantic (AAC),34,25-9,546,16.1,5
105,Idaho St. (Big Sky),34,14-20,546,16.1,14
107,Marshall (Sun Belt),33,13-20,530,16.1,9
108,Minnesota (Big Ten),34,19-15,547,16.1,9
109,Oklahoma (Big 12),32,20-12,515,16.1,6
110,Holy Cross (Patriot),33,10-23,532,16.1,3
110,Merrimack (NEC),33,21-12,532,16.1,12
112,North Florida (ASUN),32,16-16,517,16.2,12
113,Georgia (SEC),37,20-17,598,16.2,7
114,South Carolina (SEC),34,26-8,550,16.2,5
115,Columbia (Ivy League),27,13-14,437,16.2,3
116,Lafayette (Patriot),32,11-21,518,16.2,6
116,Loyola Maryland (Patriot),32,7-25,518,16.2,10
118,Eastern Ky. (ASUN),31,17-14,502,16.2,5
119,NC State (ACC),41,26-15,664,16.2,13
120,Marist (MAAC),31,18-13,503,16.2,7
121,Quinnipiac (MAAC),34,24-10,552,16.2,8
122,Canisius (MAAC),32,14-18,520,16.3,7
122,Clemson (ACC),36,24-12,585,16.3,13
122,UConn (Big East),40,37-3,650,16.3,8
122,Youngstown St. (Horizon),32,22-10,520,16.3,10
126,LMU (CA) (WCC),31,12-19,504,16.3,6
127,Hampton (CAA),33,9-24,537,16.3,9
127,Pepperdine (WCC),33,13-20,537,16.3,8
129,Valparaiso (MVC),32,7-25,521,16.3,7
130,Drake (MVC),35,28-7,570,16.3,7
131,Maine (America East),32,15-17,522,16.3,9
131,Ole Miss (SEC),32,20-12,522,16.3,7
131,Wofford (SoCon),32,17-15,522,16.3,11
134,Southeastern La. (Southland),32,15-17,523,16.3,9
135,Saint Mary's (CA) (WCC),34,26-8,556,16.4,12
136,Indiana St. (MVC),39,32-7,638,16.4,8
137,Jacksonville St. (CUSA),32,14-18,524,16.4,11
138,Eastern Mich. (MAC),31,13-18,508,16.4,14
139,Arizona (Pac-12),36,27-9,590,16.4,5
140,Oregon (Pac-12),36,24-12,591,16.4,7
141,VCU (Atlantic 10),38,24-14,625,16.4,5
142,Northern Ky. (Horizon),33,18-15,543,16.5,11
143,American (Patriot),32,16-16,527,16.5,6
143,Central Mich. (MAC),32,18-14,527,16.5,11
143,George Mason (Atlantic 10),32,20-12,527,16.5,11
143,Georgia Tech (ACC),32,14-18,527,16.5,9
147,UC Santa Barbara (Big West),31,16-15,511,16.5,11
148,Baylor (Big 12),35,24-11,577,16.5,5
149,Iowa St. (Big 12),37,29-8,610,16.5,10
150,Wisconsin (Big Ten),36,22-14,594,16.5,10
151,North Carolina (ACC),37,29-8,611,16.5,10
152,Bradley (MVC),35,23-12,578,16.5,7
153,Mississippi St. (SEC),35,21-14,580,16.6,8
154,Northern Colo. (Big Sky),33,19-14,547,16.6,12
154,UNI (MVC),33,19-14,547,16.6,7
156,Binghamton (America East),30,15-15,498,16.6,9
156,Michigan St. (Big Ten),35,20-15,581,16.6,6
158,Towson (CAA),34,20-14,565,16.6,12
159,Arizona St. (Pac-12),32,14-18,532,16.6,13
159,Lehigh (Patriot),32,14-18,532,16.6,6
159,South Alabama (Sun Belt),32,16-16,532,16.6,9
162,Washington St. (Pac-12),35,25-10,582,16.6,6
163,Georgetown (Big East),32,9-23,533,16.7,15
164,Akron (MAC),35,24-11,583,16.7,14
165,Boise St. (Mountain West),33,22-11,550,16.7,7
165,La Salle (Atlantic 10),33,16-17,550,16.7,11
165,Montana (Big Sky),36,24-12,600,16.7,6
165,SIUE (OVC),33,17-16,550,16.7,9
169,Omaha (Summit League),33,15-18,552,16.7,6
170,Brown (Ivy League),31,13-18,519,16.7,13
171,Western Caro. (SoCon),32,22-10,536,16.8,7
172,St. Bonaventure (Atlantic 10),33,20-13,553,16.8,16
173,North Texas (AAC),34,19-15,571,16.8,10
174,Xavier (Big East),34,16-18,572,16.8,11
175,VMI (SoCon),32,4-28,539,16.8,15
176,Denver (Summit League),34,17-17,573,16.9,8
177,Sacred Heart (NEC),32,16-16,540,16.9,15
178,Bryant (America East),33,20-13,557,16.9,24
179,Delaware St. (MEAC),34,15-19,574,16.9,11
180,Rhode Island (Atlantic 10),32,12-20,541,16.9,8
180,Rutgers (Big Ten),32,15-17,541,16.9,11
182,Iowa (Big Ten),34,19-15,575,16.9,6
183,Bucknell (Patriot),33,14-19,559,16.9,14
183,Indiana (Big Ten),33,19-14,559,16.9,11
183,Monmouth (CAA),33,18-15,559,16.9,9
186,Temple (AAC),36,16-20,610,16.9,13
187,Southern California (Pac-12),33,15-18,560,17,10
187,William & Mary (CAA),33,10-23,560,17,11
189,Sacramento St. (Big Sky),34,10-24,577,17,7
190,Utah St. (Mountain West),35,28-7,594,17,6
191,Ohio St. (Big Ten),36,22-14,611,17,11
191,Texas A&M (SEC),36,21-15,611,17,16
193,Jackson St. (SWAC),32,15-17,544,17,14
193,Louisville (ACC),32,8-24,544,17,16
193,Purdue Fort Wayne (Horizon),36,23-13,612,17,11
193,Radford (Big South),33,16-17,561,17,11
193,UNCW (CAA),31,21-10,527,17,8
198,Colorado St. (Mountain West),36,25-11,613,17,14
199,Ohio (MAC),33,20-13,562,17,9
200,Charleston So. (Big South),30,10-20,512,17.1,7
201,UNC Asheville (Big South),34,22-12,581,17.1,9
202,SMU (AAC),33,20-13,564,17.1,13
203,San Jose St. (Mountain West),32,9-23,547,17.1,9
204,Tulane (AAC),31,14-17,530,17.1,9
205,Central Ark. (ASUN),32,9-23,548,17.1,10
206,Duquesne (Atlantic 10),37,25-12,634,17.1,13
207,Michigan (Big Ten),32,8-24,549,17.2,14
207,UNC Greensboro (SoCon),32,21-11,549,17.2,6
209,Southern Miss. (Sun Belt),32,16-16,550,17.2,19
209,Western Mich. (MAC),32,12-20,550,17.2,10
211,South Fla. (AAC),33,25-8,568,17.2,7
212,Memphis (AAC),32,22-10,551,17.2,10
212,Pacific (WCC),32,6-26,551,17.2,8
214,Long Beach St. (Big West),36,21-15,620,17.2,18
215,Oral Roberts (Summit League),31,12-19,534,17.2,9
216,UC Riverside (Big West),34,16-18,586,17.2,9
217,California (Pac-12),32,13-19,552,17.3,15
217,Green Bay (Horizon),32,18-14,552,17.3,9
217,James Madison (Sun Belt),36,32-4,621,17.3,11
217,Miami (OH) (MAC),32,15-17,552,17.3,10
221,Texas (Big 12),34,21-13,587,17.3,12
222,Detroit Mercy (Horizon),32,1-31,553,17.3,17
223,McNeese (Southland),34,30-4,588,17.3,14
224,Boston U. (Patriot),33,16-17,571,17.3,9
225,NIU (MAC),31,11-20,539,17.4,19
226,LSU (SEC),33,17-16,574,17.4,4
227,Arkansas St. (Sun Belt),37,20-17,644,17.4,15
228,IU Indy (Horizon),32,6-26,558,17.4,8
229,TCU (Big 12),34,21-13,593,17.4,4
230,Air Force (Mountain West),31,9-22,541,17.5,14
231,Maryland (Big Ten),33,16-17,576,17.5,15
232,Chicago St. (DI Independent),32,13-19,559,17.5,14
233,Hawaii (Big West),34,20-14,594,17.5,7
234,Tennessee (SEC),36,27-9,629,17.5,9
235,Kentucky (SEC),33,23-10,577,17.5,12
236,San Diego St. (Mountain West),37,26-11,647,17.5,9
237,Rider (MAAC),32,15-17,560,17.5,14
238,Georgia St. (Sun Belt),31,14-17,543,17.5,13
238,Tulsa (AAC),31,16-15,543,17.5,8
240,UMES (MEAC),29,9-20,508,17.5,8
241,Kansas St. (Big 12),34,19-15,596,17.5,6
241,Little Rock (OVC),34,21-13,596,17.5,20
243,New Mexico (Mountain West),36,26-10,632,17.6,5
244,Austin Peay (ASUN),35,19-16,615,17.6,13
245,Northwestern (Big Ten),34,22-12,598,17.6,12
246,Nevada (Mountain West),34,26-8,599,17.6,9
247,Robert Morris (Horizon),32,10-22,564,17.6,16
248,Texas St. (Sun Belt),35,17-18,617,17.6,9
249,UIC (MVC),33,12-21,583,17.7,10
250,Southern Utah (WAC),31,10-21,548,17.7,12
251,Coppin St. (MEAC),29,2-27,513,17.7,11
252,Santa Clara (WCC),33,20-13,584,17.7,8
253,BYU (Big 12),34,23-11,602,17.7,8
254,Alcorn (SWAC),32,14-18,567,17.7,10
254,Eastern Ill. (OVC),32,14-18,567,17.7,16
254,Idaho (Big Sky),32,11-21,567,17.7,10
257,Saint Francis (PA) (NEC),30,8-22,532,17.7,6
258,Mississippi Val. (SWAC),31,1-30,550,17.7,11
259,Houston (Big 12),37,32-5,658,17.8,15
260,N.C. Central (MEAC),31,18-13,552,17.8,13
261,Winthrop (Big South),32,17-15,570,17.8,18
262,Iona (MAAC),33,16-17,588,17.8,12
263,Cal St. Fullerton (Big West),32,14-18,571,17.8,7
263,FDU (NEC),32,15-17,571,17.8,8
265,Grand Canyon (WAC),35,30-5,625,17.9,17
266,UTSA (AAC),32,11-21,573,17.9,17
267,Kent St. (MAC),34,17-17,609,17.9,7
268,Louisiana (Sun Belt),33,19-14,592,17.9,11
269,ULM (Sun Belt),30,11-19,539,18,14
270,St. John's (NY) (Big East),33,20-13,593,18,9
271,FIU (CUSA),33,11-22,595,18,17
272,Navy (Patriot),31,13-18,559,18,11
273,Saint Louis (Atlantic 10),33,13-20,596,18.1,14
273,Sam Houston (CUSA),33,21-12,596,18.1,9
275,Utah Valley (WAC),32,16-16,578,18.1,8
276,High Point (Big South),36,27-9,651,18.1,16
277,Eastern Wash. (Big Sky),32,21-11,579,18.1,14
277,Portland St. (Big Sky),32,17-15,579,18.1,6
277,Southern Ill. (MVC),32,19-13,579,18.1,10
280,Milwaukee (Horizon),35,20-15,635,18.1,12
281,Old Dominion (Sun Belt),32,7-25,581,18.2,7
282,UTRGV (WAC),31,6-25,563,18.2,18
283,UCF (Big 12),33,17-16,601,18.2,19
284,ETSU (SoCon),35,19-16,638,18.2,22
285,Longwood (Big South),35,21-14,639,18.3,9
286,Penn St. (Big Ten),33,16-17,603,18.3,9
287,Cleveland St. (Horizon),36,21-15,658,18.3,8
288,Washington (Pac-12),32,17-15,585,18.3,12
289,San Francisco (WCC),34,23-11,622,18.3,12
290,Cornell (Ivy League),30,22-8,549,18.3,12
291,Ark.-Pine Bluff (SWAC),31,13-18,568,18.3,14
292,Northern Ariz. (Big Sky),33,14-19,605,18.3,7
293,UC Irvine (Big West),34,24-10,624,18.4,4
294,Western Ky. (CUSA),34,22-12,625,18.4,12
295,North Ala. (ASUN),32,15-17,589,18.4,16
296,Florida (SEC),36,24-12,664,18.4,15
297,UCLA (Pac-12),33,16-17,609,18.5,12
298,Seattle U (WAC),37,23-14,683,18.5,23
299,Texas Southern (SWAC),33,16-17,610,18.5,16
300,Montana St. (Big Sky),35,17-18,647,18.5,21
301,Oregon St. (Pac-12),32,13-19,593,18.5,6
302,Presbyterian (Big South),33,14-19,612,18.5,15
303,Norfolk St. (MEAC),35,24-11,650,18.6,6
304,Lamar University (Southland),33,19-14,615,18.6,10
305,Florida A&M (SWAC),29,6-23,541,18.7,16
306,Massachusetts (Atlantic 10),31,20-11,579,18.7,7
307,Northwestern St. (Southland),32,9-23,598,18.7,12
308,Nicholls (Southland),34,20-14,636,18.7,15
309,Howard (MEAC),35,18-17,661,18.9,24
310,UIW (Southland),31,8-23,589,19,8
311,San Diego (WCC),33,18-15,628,19,13
312,Alabama St. (SWAC),32,13-19,609,19,10
313,Samford (SoCon),35,29-6,667,19.1,12
314,New Orleans (Southland),33,10-23,629,19.1,11
315,Troy (Sun Belt),32,20-12,611,19.1,14
316,NJIT (America East),28,7-21,535,19.1,12
317,Mercer (SoCon),33,16-17,631,19.1,10
318,Morgan St. (MEAC),31,11-20,594,19.2,14
319,Gardner-Webb (Big South),33,17-16,633,19.2,19
319,UC Davis (Big West),33,20-13,633,19.2,11
321,Cal Poly (Big West),32,4-28,614,19.2,17
322,LIU (NEC),29,7-22,557,19.2,31
323,Auburn (SEC),35,27-8,678,19.4,7
324,Saint Peter's (MAAC),33,19-14,640,19.4,9
325,UAlbany (America East),32,13-19,621,19.4,19
326,Loyola Chicago (Atlantic 10),33,23-10,643,19.5,12
327,Kansas City (Summit League),32,16-16,624,19.5,8
328,Tennessee St. (OVC),33,18-15,644,19.5,15
329,Southeast Mo. St. (OVC),31,9-22,606,19.5,8
330,Abilene Christian (WAC),34,16-18,665,19.6,16
331,USC Upstate (Big South),30,10-20,589,19.6,14
332,Jacksonville (ASUN),33,16-17,648,19.6,17
333,Southern U. (SWAC),32,18-14,631,19.7,18
334,Florida St. (ACC),33,17-16,651,19.7,13
335,Alabama (SEC),37,25-12,734,19.8,26
336,Arkansas (SEC),33,16-17,655,19.8,19
337,New Mexico St. (CUSA),32,13-19,636,19.9,29
338,UTEP (CUSA),34,18-16,677,19.9,12
339,Ga. Southern (Sun Belt),33,9-24,662,20.1,23
340,Missouri (SEC),32,8-24,642,20.1,14
341,Kennesaw St. (ASUN),31,15-16,623,20.1,11
342,Fordham (Atlantic 10),33,13-20,666,20.2,10
343,Prairie View (SWAC),31,10-21,626,20.2,23
344,CSU Bakersfield (Big West),32,13-19,652,20.4,13
345,Bethune-Cookman (SWAC),34,17-17,696,20.5,18
346,UT Arlington (WAC),34,20-14,706,20.8,22
347,Alabama A&M (SWAC),35,12-23,727,20.8,12
348,CSUN (Big West),34,19-15,707,20.8,32
349,South Carolina St. (MEAC),32,14-18,666,20.8,9
350,A&M-Corpus Christi (Southland),33,21-12,689,20.9,17
351,SFA (WAC),33,18-15,697,21.1,13
