Rank,Team,GM,W-L,PTS,PPG
115,Weber St. (Big Sky),32,20-12,"2,414",75.4
116,UC Santa Barbara (Big West),31,16-15,"2,337",75.4
117,Texas (Big 12),34,21-13,"2,563",75.4
118,Oklahoma (Big 12),32,20-12,"2,412",75.4
119,Iowa St. (Big 12),37,29-8,"2,787",75.3
120,Texas Tech (Big 12),34,23-11,"2,561",75.3
121,Montana St. (Big Sky),35,17-18,"2,635",75.3
121,Morehead St. (OVC),35,26-9,"2,635",75.3
123,North Dakota (Summit League),32,18-14,"2,408",75.3
124,Colorado St. (Mountain West),36,25-11,"2,707",75.2
125,A&M-Corpus Christi (Southland),33,21-12,"2,480",75.2
126,Boise St. (Mountain West),33,22-11,"2,479",75.1
127,Penn St. (Big Ten),33,16-17,"2,478",75.1
128,Southern Utah (WAC),31,10-21,"2,326",75
129,CSUN (Big West),34,19-15,"2,551",75
130,Minnesota (Big Ten),34,19-15,"2,550",75
130,Tulsa (AAC),31,16-15,"2,325",75
132,Howard (MEAC),35,18-17,"2,623",74.9
133,Saint Louis (Atlantic 10),33,13-20,"2,473",74.9
134,Ole Miss (SEC),32,20-12,"2,398",74.9
135,Virginia Tech (ACC),34,19-15,"2,547",74.9
136,Northern Ky. (Horizon),33,18-15,"2,470",74.8
137,Austin Peay (ASUN),35,19-16,"2,619",74.8
138,Kent St. (MAC),34,17-17,"2,544",74.8
139,Presbyterian (Big South),33,14-19,"2,469",74.8
140,Louisiana Tech (CUSA),32,22-10,"2,392",74.8
141,Cincinnati (Big 12),37,22-15,"2,765",74.7
142,Longwood (Big South),35,21-14,"2,615",74.7
143,Georgia (SEC),37,20-17,"2,764",74.7
144,Yale (Ivy League),33,23-10,"2,465",74.7
145,Wisconsin (Big Ten),36,22-14,"2,688",74.7
146,SFA (WAC),33,18-15,"2,463",74.6
147,North Dakota St. (Summit League),32,15-17,"2,388",74.6
148,Norfolk St. (MEAC),35,24-11,"2,608",74.5
149,Wofford (SoCon),32,17-15,"2,384",74.5
150,Penn (Ivy League),29,11-18,"2,159",74.4
151,Hofstra (CAA),33,20-13,"2,449",74.2
152,Dayton (Atlantic 10),33,25-8,"2,448",74.2
153,New Hampshire (America East),31,16-15,"2,298",74.1
154,Sacred Heart (NEC),32,16-16,"2,372",74.1
155,Southern California (Pac-12),33,15-18,"2,446",74.1
156,San Diego St. (Mountain West),37,26-11,"2,742",74.1
157,Mississippi St. (SEC),35,21-14,"2,593",74.1
158,Boston College (ACC),36,20-16,"2,667",74.1
159,Bradley (MVC),35,23-12,"2,592",74.1
160,Saint Mary's (CA) (WCC),34,26-8,"2,516",74
161,Omaha (Summit League),33,15-18,"2,441",74
162,California (Pac-12),32,13-19,"2,367",74
162,South Alabama (Sun Belt),32,16-16,"2,367",74
164,Nicholls (Southland),34,20-14,"2,512",73.9
165,Liberty (CUSA),32,18-14,"2,362",73.8
166,Marshall (Sun Belt),33,13-20,"2,435",73.8
167,Seattle U (WAC),37,23-14,"2,730",73.8
167,Seton Hall (Big East),37,25-12,"2,730",73.8
169,Akron (MAC),35,24-11,"2,577",73.6
170,FIU (CUSA),33,11-22,"2,429",73.6
171,Bowling Green (MAC),34,20-14,"2,502",73.6
172,UNLV (Mountain West),34,21-13,"2,501",73.6
173,Ball St. (MAC),31,15-16,"2,280",73.5
173,Coastal Carolina (Sun Belt),31,9-22,"2,280",73.5
175,New Orleans (Southland),33,10-23,"2,427",73.5
