Rank,Team,GM,REB,RPG
133,Penn (Ivy League),29,"1,042",35.93
134,Howard (MEAC),35,"1,257",35.91
134,Providence (Big East),35,"1,257",35.91
136,Notre Dame (ACC),33,"1,185",35.91
137,Oakland (Horizon),36,"1,292",35.89
138,SFA (WAC),33,"1,184",35.88
139,Wagner (NEC),33,"1,183",35.85
140,Central Conn. St. (NEC),31,"1,111",35.84
140,NIU (MAC),31,"1,111",35.84
142,Utah St. (Mountain West),35,"1,254",35.83
143,Saint Joseph's (Atlantic 10),35,"1,253",35.80
144,Samford (SoCon),35,"1,252",35.77
145,Maryland (Big Ten),33,"1,179",35.73
146,Columbia (Ivy League),27,964,35.70
147,Delaware (CAA),33,"1,178",35.70
148,Denver (Summit League),34,"1,213",35.68
149,LSU (SEC),33,"1,177",35.67
150,Alabama A&M (SWAC),35,"1,248",35.66
151,Georgia (SEC),37,"1,319",35.65
152,Navy (Patriot),31,"1,104",35.61
153,SIUE (OVC),33,"1,175",35.61
154,Iowa (Big Ten),34,"1,210",35.59
154,South Carolina (SEC),34,"1,210",35.59
156,Colgate (Patriot),35,"1,245",35.57
157,Sacramento St. (Big Sky),34,"1,209",35.56
158,Charleston So. (Big South),30,"1,066",35.53
159,Lehigh (Patriot),32,"1,137",35.53
160,Texas St. (Sun Belt),35,"1,243",35.51
161,Indiana St. (MVC),39,"1,383",35.46
162,Morgan St. (MEAC),31,"1,099",35.45
163,Michigan (Big Ten),32,"1,134",35.44
163,Old Dominion (Sun Belt),32,"1,134",35.44
163,Rice (AAC),32,"1,134",35.44
163,Winthrop (Big South),32,"1,134",35.44
167,Cornell (Ivy League),30,"1,063",35.43
168,South Dakota St. (Summit League),35,"1,240",35.43
169,UNC Greensboro (SoCon),32,"1,133",35.41
170,N.C. Central (MEAC),31,"1,097",35.39
171,North Ala. (ASUN),32,"1,132",35.38
171,Siena (MAAC),32,"1,132",35.38
173,Boston U. (Patriot),33,"1,167",35.36
173,Monmouth (CAA),33,"1,167",35.36
175,Eastern Ill. (OVC),32,"1,131",35.34
176,Boston College (ACC),36,"1,271",35.31
177,Texas Southern (SWAC),33,"1,165",35.30
178,NC State (ACC),41,"1,447",35.29
179,Nicholls (Southland),34,"1,199",35.26
180,Butler (Big East),33,"1,162",35.21
181,Cleveland St. (Horizon),36,"1,267",35.19
182,Tulsa (AAC),31,"1,091",35.19
183,Oklahoma (Big 12),32,"1,126",35.19
184,Saint Peter's (MAAC),33,"1,161",35.18
184,William & Mary (CAA),33,"1,161",35.18
186,VCU (Atlantic 10),38,"1,336",35.16
187,Mount St. Mary's (MAAC),32,"1,125",35.16
188,Baylor (Big 12),35,"1,229",35.11
189,Northern Colo. (Big Sky),33,"1,157",35.06
190,Southeastern La. (Southland),32,"1,120",35.00
191,East Carolina (AAC),33,"1,154",34.97
191,Indiana (Big Ten),33,"1,154",34.97
193,LIU (NEC),29,"1,014",34.97
193,UMES (MEAC),29,"1,014",34.97
195,Texas Tech (Big 12),34,"1,188",34.94
