Rank,Team,GM,W-L,OPP REB,OPP RPG,REB MAR
186,Duquesne (Atlantic 10),37,25-12,"1,268",34.3,0.5
187,Michigan (Big Ten),32,8-24,"1,117",34.9,0.5
188,Memphis (AAC),32,22-10,"1,169",36.5,0.5
188,Green Bay (Horizon),32,18-14,"1,045",32.7,0.5
190,Oregon (Pac-12),36,24-12,"1,221",33.9,0.5
191,UNLV (Mountain West),34,21-13,"1,148",33.8,0.5
191,Virginia Tech (ACC),34,19-15,"1,085",31.9,0.5
193,Saint Francis (PA) (NEC),30,8-22,"1,024",34.1,0.5
194,Marshall (Sun Belt),33,13-20,"1,290",39.1,0.4
194,East Carolina (AAC),33,15-18,"1,141",34.6,0.4
196,Nebraska (Big Ten),34,23-11,"1,268",37.3,0.4
197,Alabama St. (SWAC),32,13-19,"1,260",39.4,0.2
197,Southern Miss. (Sun Belt),32,16-16,"1,172",36.6,0.2
197,Toledo (MAC),32,20-12,"1,076",33.6,0.2
200,Kennesaw St. (ASUN),31,15-16,"1,201",38.7,0.1
201,Georgetown (Big East),32,9-23,"1,087",34,0.1
202,Army West Point (Patriot),32,10-22,"1,086",33.9,0.1
203,Stetson (ASUN),35,22-13,"1,214",34.7,0.1
204,N.C. Central (MEAC),31,18-13,"1,096",35.4,0
205,UAlbany (America East),32,13-19,"1,152",36,0
206,Portland St. (Big Sky),32,17-15,"1,182",36.9,0
207,Indiana (Big Ten),33,19-14,"1,156",35,-0.1
208,Samford (SoCon),35,29-6,"1,255",35.9,-0.1
209,North Ala. (ASUN),32,15-17,"1,135",35.5,-0.1
210,Omaha (Summit League),33,15-18,"1,115",33.8,-0.1
211,Rice (AAC),32,11-21,"1,138",35.6,-0.1
211,Eastern Ill. (OVC),32,14-18,"1,135",35.5,-0.1
211,Weber St. (Big Sky),32,20-12,"1,029",32.2,-0.1
214,Washington (Pac-12),32,17-15,"1,157",36.2,-0.2
215,Cornell (Ivy League),30,22-8,"1,069",35.6,-0.2
216,Louisville (ACC),32,8-24,"1,109",34.7,-0.3
216,Oklahoma St. (Big 12),32,12-20,"1,087",34,-0.3
218,Alabama A&M (SWAC),35,12-23,"1,258",35.9,-0.3
219,UNCW (CAA),31,21-10,"1,076",34.7,-0.3
220,Hampton (CAA),33,9-24,"1,233",37.4,-0.4
221,Navy (Patriot),31,13-18,"1,116",36,-0.4
222,UC Davis (Big West),33,20-13,"1,115",33.8,-0.4
223,Lehigh (Patriot),32,14-18,"1,150",35.9,-0.4
224,Charlotte (AAC),31,19-12,"1,020",32.9,-0.5
225,Radford (Big South),33,16-17,"1,158",35.1,-0.5
226,Murray St. (MVC),32,12-20,"1,063",33.2,-0.5
227,Presbyterian (Big South),33,14-19,"1,115",33.8,-0.5
228,Stony Brook (CAA),35,20-15,"1,299",37.1,-0.5
229,Davidson (Atlantic 10),32,15-17,"1,128",35.3,-0.6
230,Charleston So. (Big South),30,10-20,"1,085",36.2,-0.6
231,UNC Asheville (Big South),34,22-12,"1,204",35.4,-0.6
232,Mercer (SoCon),33,16-17,"1,155",35,-0.7
233,George Washington (Atlantic 10),32,15-17,"1,203",37.6,-0.7
234,South Fla. (AAC),33,25-8,"1,213",36.8,-0.7
235,Butler (Big East),33,18-15,"1,187",36,-0.8
236,Central Ark. (ASUN),32,9-23,"1,191",37.2,-0.8
237,Tennessee St. (OVC),33,18-15,"1,173",35.5,-0.9
238,NC State (ACC),41,26-15,"1,484",36.2,-0.9
239,William & Mary (CAA),33,10-23,"1,192",36.1,-0.9
240,NIU (MAC),31,11-20,"1,141",36.8,-1
241,Niagara (MAAC),32,16-16,"1,008",31.5,-1
242,Georgia St. (Sun Belt),31,14-17,"1,193",38.5,-1.1
242,Marist (MAAC),31,18-13,"1,029",33.2,-1.1
244,Texas Southern (SWAC),33,16-17,"1,202",36.4,-1.1
244,Louisiana (Sun Belt),33,19-14,"1,170",35.5,-1.1
246,Chicago St. (DI Independent),32,13-19,"1,110",34.7,-1.1
247,Houston Christian (Southland),29,6-23,"1,109",38.2,-1.1
248,Denver (Summit League),34,17-17,"1,252",36.8,-1.1
249,Bucknell (Patriot),33,14-19,"1,112",33.7,-1.2
250,Grambling (SWAC),36,21-15,"1,203",33.4,-1.3
251,Stanford (Pac-12),32,14-18,"1,140",35.6,-1.3
252,UTEP (CUSA),34,18-16,"1,170",34.4,-1.4
253,Ohio (MAC),33,20-13,"1,198",36.3,-1.4
254,Central Mich. (MAC),32,18-14,"1,206",37.7,-1.4
254,Elon (CAA),32,13-19,"1,126",35.2,-1.4
254,Southern U. (SWAC),32,18-14,"1,064",33.3,-1.4
257,Northern Ky. (Horizon),33,18-15,"1,187",36,-1.4
258,Middle Tenn. (CUSA),33,14-19,"1,194",36.2,-1.4
259,New Hampshire (America East),31,16-15,"1,205",38.9,-1.5
260,Saint Louis (Atlantic 10),33,13-20,"1,155",35,-1.5
261,Dartmouth (Ivy League),27,6-21,938,34.7,-1.5
262,Cleveland St. (Horizon),36,21-15,"1,321",36.7,-1.5
263,Austin Peay (ASUN),35,19-16,"1,241",35.5,-1.5
264,Iowa (Big Ten),34,19-15,"1,262",37.1,-1.5
265,New Mexico St. (CUSA),32,13-19,"1,128",35.3,-1.5
266,Nicholls (Southland),34,20-14,"1,252",36.8,-1.6
267,Monmouth (CAA),33,18-15,"1,219",36.9,-1.6
268,Lipscomb (ASUN),32,20-12,"1,115",34.8,-1.6
268,Oregon St. (Pac-12),32,13-19,"1,092",34.1,-1.6
270,Fairfield (MAAC),37,24-13,"1,299",35.1,-1.6
271,Arkansas (SEC),33,16-17,"1,200",36.4,-1.8
272,Buffalo (MAC),31,4-27,"1,140",36.8,-1.9
273,Morgan St. (MEAC),31,11-20,"1,159",37.4,-1.9
273,Eastern Mich. (MAC),31,13-18,"1,129",36.4,-1.9
275,Belmont (MVC),33,20-13,"1,194",36.2,-1.9
276,Evansville (MVC),35,17-18,"1,246",35.6,-1.9
277,Florida A&M (SWAC),29,6-23,"1,059",36.5,-2
278,Southern California (Pac-12),33,15-18,"1,189",36,-2
279,Northwestern (Big Ten),34,22-12,"1,137",33.4,-2
280,Harvard (Ivy League),27,14-13,996,36.9,-2
281,West Virginia (Big 12),32,9-23,"1,147",35.8,-2.1
282,North Florida (ASUN),32,16-16,"1,144",35.8,-2.1
283,Bethune-Cookman (SWAC),34,17-17,"1,213",35.7,-2.2
283,Virginia (ACC),34,23-11,"1,181",34.7,-2.2
285,UMES (MEAC),29,9-20,"1,079",37.2,-2.2
286,Campbell (CAA),32,14-18,"1,112",34.8,-2.3
287,Georgia (SEC),37,20-17,"1,405",38,-2.3
288,Idaho (Big Sky),32,11-21,"1,085",33.9,-2.3
289,Portland (WCC),33,12-21,"1,193",36.2,-2.5
290,Rutgers (Big Ten),32,15-17,"1,267",39.6,-2.5
291,VMI (SoCon),32,4-28,"1,250",39.1,-2.5
292,Hofstra (CAA),33,20-13,"1,164",35.3,-2.5
293,UMBC (America East),32,11-21,"1,260",39.4,-2.5
294,FDU (NEC),32,15-17,"1,275",39.8,-2.6
295,Temple (AAC),36,16-20,"1,400",38.9,-2.7
296,Tulsa (AAC),31,16-15,"1,175",37.9,-2.7
297,Vanderbilt (SEC),32,9-23,"1,189",37.2,-2.7
298,Holy Cross (Patriot),33,10-23,"1,170",35.5,-2.8
299,Cal St. Fullerton (Big West),32,14-18,"1,137",35.5,-2.8
299,Maine (America East),32,15-17,"1,133",35.4,-2.8
301,La Salle (Atlantic 10),33,16-17,"1,235",37.4,-2.8
302,LIU (NEC),29,7-22,"1,097",37.8,-2.9
303,Marquette (Big East),37,27-10,"1,326",35.8,-3.1
304,NJIT (America East),28,7-21,"1,059",37.8,-3.1
305,UIC (MVC),33,12-21,"1,216",36.8,-3.2
306,Northwestern St. (Southland),32,9-23,"1,212",37.9,-3.3
306,Miami (OH) (MAC),32,15-17,"1,168",36.5,-3.3
308,Abilene Christian (WAC),34,16-18,"1,251",36.8,-3.3
309,San Diego (WCC),33,18-15,"1,237",37.5,-3.3
310,Fresno St. (Mountain West),33,12-21,"1,154",35,-3.4
311,Sacred Heart (NEC),32,16-16,"1,187",37.1,-3.4
312,Florida St. (ACC),33,17-16,"1,214",36.8,-3.5
313,Southern Utah (WAC),31,10-21,"1,158",37.4,-3.5
314,Ole Miss (SEC),32,20-12,"1,186",37.1,-3.6
315,Ark.-Pine Bluff (SWAC),31,13-18,"1,188",38.3,-3.7
316,Lafayette (Patriot),32,11-21,"1,184",37,-3.8
316,IU Indy (Horizon),32,6-26,"1,064",33.3,-3.8
318,Ga. Southern (Sun Belt),33,9-24,"1,258",38.1,-3.9
319,Iona (MAAC),33,16-17,"1,189",36,-4.2
320,Richmond (Atlantic 10),33,23-10,"1,224",37.1,-4.3
321,Syracuse (ACC),32,20-12,"1,203",37.6,-4.3
322,Purdue Fort Wayne (Horizon),36,23-13,"1,330",36.9,-4.4
323,Southeast Mo. St. (OVC),31,9-22,"1,120",36.1,-4.4
324,Penn St. (Big Ten),33,16-17,"1,218",36.9,-4.6
325,Air Force (Mountain West),31,9-22,"1,016",32.8,-4.6
326,Bryant (America East),33,20-13,"1,401",42.5,-4.7
327,Montana St. (Big Sky),35,17-18,"1,233",35.2,-4.7
328,Manhattan (MAAC),30,7-23,"1,139",38,-5
329,Old Dominion (Sun Belt),32,7-25,"1,295",40.5,-5
329,San Jose St. (Mountain West),32,9-23,"1,147",35.8,-5
331,Tennessee Tech (OVC),31,10-21,"1,113",35.9,-5
332,Northern Ariz. (Big Sky),33,14-19,"1,207",36.6,-5.2
333,Valparaiso (MVC),32,7-25,"1,233",38.5,-5.3
334,New Orleans (Southland),33,10-23,"1,314",39.8,-5.3
335,Oral Roberts (Summit League),31,12-19,"1,188",38.3,-5.4
336,South Alabama (Sun Belt),32,16-16,"1,238",38.7,-5.7
337,UTRGV (WAC),31,6-25,"1,223",39.5,-6
338,Missouri (SEC),32,8-24,"1,188",37.1,-6.1
339,Tulane (AAC),31,14-17,"1,222",39.4,-6.2
340,USC Upstate (Big South),30,10-20,"1,138",37.9,-6.3
341,Mississippi Val. (SWAC),31,1-30,"1,111",35.8,-6.5
342,Prairie View (SWAC),31,10-21,"1,155",37.3,-6.5
343,Merrimack (NEC),33,21-12,"1,252",37.9,-6.6
344,DePaul (Big East),32,3-29,"1,169",36.5,-6.8
345,Detroit Mercy (Horizon),32,1-31,"1,172",36.6,-7.1
346,FIU (CUSA),33,11-22,"1,281",38.8,-7.2
347,Cal Poly (Big West),32,4-28,"1,232",38.5,-7.3
348,Arizona St. (Pac-12),32,14-18,"1,298",40.6,-7.3
349,N.C. A&T (CAA),32,7-25,"1,306",40.8,-8.9
350,Coppin St. (MEAC),29,2-27,"1,135",39.1,-9
351,Pacific (WCC),32,6-26,"1,213",37.9,-10.6
