Rank,Team,GM,W-L,3FG%
139,Southern Ill. (MVC),32,19-13,34.7
140,Portland (WCC),33,12-21,34.7
141,La Salle (Atlantic 10),33,16-17,34.6
141,Seattle U (WAC),37,23-14,34.6
143,Georgetown (Big East),32,9-23,34.6
144,Lamar University (Southland),33,19-14,34.6
145,Mercer (SoCon),33,16-17,34.5
146,Oklahoma (Big 12),32,20-12,34.5
146,South Alabama (Sun Belt),32,16-16,34.5
148,Ohio St. (Big Ten),36,22-14,34.5
149,Little Rock (OVC),34,21-13,34.5
150,UNI (MVC),33,19-14,34.5
151,Gardner-Webb (Big South),33,17-16,34.5
152,Florida (SEC),36,24-12,34.5
153,Campbell (CAA),32,14-18,34.5
154,NC State (ACC),41,26-15,34.5
155,Tennessee (SEC),36,27-9,34.4
156,San Diego (WCC),33,18-15,34.4
157,Arkansas St. (Sun Belt),37,20-17,34.4
158,Drexel (CAA),32,20-12,34.4
159,Florida A&M (SWAC),29,6-23,34.3
160,Col. of Charleston (CAA),35,27-8,34.3
161,San Jose St. (Mountain West),32,9-23,34.3
162,Central Ark. (ASUN),32,9-23,34.3
163,George Mason (Atlantic 10),32,20-12,34.2
164,Xavier (Big East),34,16-18,34.2
165,N.C. Central (MEAC),31,18-13,34.2
166,Vermont (America East),35,28-7,34.2
167,SMU (AAC),33,20-13,34.1
168,Hawaii (Big West),34,20-14,34.1
169,Winthrop (Big South),32,17-15,34.1
170,High Point (Big South),36,27-9,34.1
171,Brown (Ivy League),31,13-18,34.1
172,Longwood (Big South),35,21-14,34.1
173,St. John's (NY) (Big East),33,20-13,34.1
174,Norfolk St. (MEAC),35,24-11,34
175,Boise St. (Mountain West),33,22-11,34
176,Duquesne (Atlantic 10),37,25-12,34
177,Georgia (SEC),37,20-17,34
178,Western Ky. (CUSA),34,22-12,34
179,Abilene Christian (WAC),34,16-18,34
180,Green Bay (Horizon),32,18-14,33.9
181,Washington St. (Pac-12),35,25-10,33.9
182,Bryant (America East),33,20-13,33.9
183,South Carolina (SEC),34,26-8,33.9
184,Western Mich. (MAC),32,12-20,33.9
185,Bucknell (Patriot),33,14-19,33.8
186,Grambling (SWAC),36,21-15,33.8
187,California (Pac-12),32,13-19,33.8
188,FIU (CUSA),33,11-22,33.8
189,Oregon (Pac-12),36,24-12,33.8
190,Colorado St. (Mountain West),36,25-11,33.8
191,Louisiana (Sun Belt),33,19-14,33.8
192,Villanova (Big East),34,18-16,33.8
193,Alcorn (SWAC),32,14-18,33.7
194,Rice (AAC),32,11-21,33.7
195,UTSA (AAC),32,11-21,33.7
196,UNLV (Mountain West),34,21-13,33.7
197,Rider (MAAC),32,15-17,33.7
198,Syracuse (ACC),32,20-12,33.6
199,Seton Hall (Big East),37,25-12,33.6
200,UC Davis (Big West),33,20-13,33.6
201,Canisius (MAAC),32,14-18,33.6
202,Robert Morris (Horizon),32,10-22,33.6
203,Evansville (MVC),35,17-18,33.6
204,Grand Canyon (WAC),35,30-5,33.6
205,Loyola Maryland (Patriot),32,7-25,33.6
206,Harvard (Ivy League),27,14-13,33.6
207,Jacksonville St. (CUSA),32,14-18,33.5
208,Saint Francis (PA) (NEC),30,8-22,33.5
209,DePaul (Big East),32,3-29,33.5
210,Delaware (CAA),33,19-14,33.5
211,Idaho (Big Sky),32,11-21,33.5
212,SFA (WAC),33,18-15,33.4
213,Oklahoma St. (Big 12),32,12-20,33.4
214,Presbyterian (Big South),33,14-19,33.4
215,Penn St. (Big Ten),33,16-17,33.4
216,Utah St. (Mountain West),35,28-7,33.3
216,Wichita St. (AAC),34,15-19,33.3
218,Boston U. (Patriot),33,16-17,33.3
219,Cleveland St. (Horizon),36,21-15,33.3
220,USC Upstate (Big South),30,10-20,33.3
221,App State (Sun Belt),34,27-7,33.2
222,Tennessee Tech (OVC),31,10-21,33.2
223,Kansas (Big 12),34,23-11,33.2
224,SIUE (OVC),33,17-16,33.2
225,Fresno St. (Mountain West),33,12-21,33.2
226,Kansas City (Summit League),32,16-16,33.2
227,UCLA (Pac-12),33,16-17,33.2
228,UIW (Southland),31,8-23,33.1
229,Cal Poly (Big West),32,4-28,33.1
230,Sacramento St. (Big Sky),34,10-24,33.1
231,Charleston So. (Big South),30,10-20,33.1
232,UAlbany (America East),32,13-19,33
233,Cal St. Fullerton (Big West),32,14-18,33
234,FDU (NEC),32,15-17,33
235,Cincinnati (Big 12),37,22-15,33
236,Jacksonville (ASUN),33,16-17,32.9
237,New Mexico St. (CUSA),32,13-19,32.9
238,Kennesaw St. (ASUN),31,15-16,32.9
239,Idaho St. (Big Sky),34,14-20,32.9
240,UMass Lowell (America East),32,22-10,32.9
241,The Citadel (SoCon),32,11-21,32.8
242,Oregon St. (Pac-12),32,13-19,32.8
243,Towson (CAA),34,20-14,32.8
244,New Mexico (Mountain West),36,26-10,32.8
245,Wagner (NEC),33,17-16,32.7
246,Southern Miss. (Sun Belt),32,16-16,32.7
247,Tulsa (AAC),31,16-15,32.7
248,UAB (AAC),35,23-12,32.7
249,Omaha (Summit League),33,15-18,32.6
250,California Baptist (WAC),33,16-17,32.6
251,North Dakota (Summit League),32,18-14,32.6
252,NIU (MAC),31,11-20,32.6
253,Georgia St. (Sun Belt),31,14-17,32.6
254,Texas St. (Sun Belt),35,17-18,32.6
