Rank,Team,GM,W-L,SCR MAR
139,North Dakota (Summit League),32,18-14,3.4
140,Bryant (America East),33,20-13,3.3
140,SFA (WAC),33,18-15,3.3
142,Oregon (Pac-12),36,24-12,3.3
143,Oakland (Horizon),36,24-12,3.3
144,Virginia (ACC),34,23-11,3.2
145,UC Davis (Big West),33,20-13,3.2
145,Western Ill. (OVC),33,21-12,3.2
147,Maryland (Big Ten),33,16-17,3.2
148,Charlotte (AAC),31,19-12,3.1
149,Minnesota (Big Ten),34,19-15,3.1
150,Sam Houston (CUSA),33,21-12,3
151,Cleveland St. (Horizon),36,21-15,2.6
152,Kansas City (Summit League),32,16-16,2.6
153,Bowling Green (MAC),34,20-14,2.6
154,Ball St. (MAC),31,15-16,2.6
155,Marist (MAAC),31,18-13,2.5
156,Southern U. (SWAC),32,18-14,2.4
157,UAB (AAC),35,23-12,2.4
158,Belmont (MVC),33,20-13,2.3
159,Northern Colo. (Big Sky),33,19-14,2.3
160,Boston College (ACC),36,20-16,2.2
161,North Florida (ASUN),32,16-16,2.2
162,UNI (MVC),33,19-14,2.2
163,Miami (FL) (ACC),32,15-17,2.1
163,Davidson (Atlantic 10),32,15-17,2.1
165,Kennesaw St. (ASUN),31,15-16,2.1
166,ETSU (SoCon),35,19-16,1.9
167,Tulane (AAC),31,14-17,1.9
168,Sacred Heart (NEC),32,16-16,1.8
169,UC Santa Barbara (Big West),31,16-15,1.8
170,Arkansas St. (Sun Belt),37,20-17,1.8
171,Tennessee St. (OVC),33,18-15,1.7
172,Penn St. (Big Ten),33,16-17,1.7
172,Presbyterian (Big South),33,14-19,1.7
174,Lehigh (Patriot),32,14-18,1.7
175,Austin Peay (ASUN),35,19-16,1.7
176,Georgia St. (Sun Belt),31,14-17,1.6
177,Northern Ky. (Horizon),33,18-15,1.6
178,Long Beach St. (Big West),36,21-15,1.4
179,CSUN (Big West),34,19-15,1.4
180,LSU (SEC),33,17-16,1.4
180,SIUE (OVC),33,17-16,1.4
182,Xavier (Big East),34,16-18,1.2
183,Stony Brook (CAA),35,20-15,1.2
184,Tulsa (AAC),31,16-15,1.1
185,Omaha (Summit League),33,15-18,1.1
186,Kansas St. (Big 12),34,19-15,1.1
187,Ole Miss (SEC),32,20-12,1
188,Eastern Ill. (OVC),32,14-18,1
189,LMU (CA) (WCC),31,12-19,1
190,Mount St. Mary's (MAAC),32,13-19,0.9
191,Milwaukee (Horizon),35,20-15,0.8
191,Montana St. (Big Sky),35,17-18,0.8
193,Saint Peter's (MAAC),33,19-14,0.8
194,Iona (MAAC),33,16-17,0.8
194,California Baptist (WAC),33,16-17,0.8
196,Syracuse (ACC),32,20-12,0.7
196,North Dakota St. (Summit League),32,15-17,0.7
196,Wofford (SoCon),32,17-15,0.7
196,American (Patriot),32,16-16,0.7
200,Howard (MEAC),35,18-17,0.7
201,Wagner (NEC),33,17-16,0.6
202,Miami (OH) (MAC),32,15-17,0.6
203,Denver (Summit League),34,17-17,0.5
204,UCLA (Pac-12),33,16-17,0.5
205,Radford (Big South),33,16-17,0.5
206,Idaho St. (Big Sky),34,14-20,0.4
207,North Ala. (ASUN),32,15-17,0.4
207,Niagara (MAAC),32,16-16,0.4
209,Gardner-Webb (Big South),33,17-16,0.4
210,Bethune-Cookman (SWAC),34,17-17,0.4
211,Florida St. (ACC),33,17-16,0.2
212,Maine (America East),32,15-17,0.2
213,Utah Valley (WAC),32,16-16,0.1
214,Portland St. (Big Sky),32,17-15,0.1
215,Penn (Ivy League),29,11-18,0.1
216,Green Bay (Horizon),32,18-14,0.1
217,New Hampshire (America East),31,16-15,0
218,Rider (MAAC),32,15-17,0
219,Georgia (SEC),37,20-17,0
220,Missouri St. (MVC),33,17-16,0
221,Nicholls (Southland),34,20-14,-0.1
222,Boston U. (Patriot),33,16-17,-0.1
223,UAlbany (America East),32,13-19,-0.1
223,Stanford (Pac-12),32,14-18,-0.1
225,Binghamton (America East),30,15-15,-0.1
226,Murray St. (MVC),32,12-20,-0.2
227,Southern California (Pac-12),33,15-18,-0.2
227,Monmouth (CAA),33,18-15,-0.2
229,Texas St. (Sun Belt),35,17-18,-0.2
230,Navy (Patriot),31,13-18,-0.2
231,Wichita St. (AAC),34,15-19,-0.3
232,La Salle (Atlantic 10),33,16-17,-0.4
233,Delaware St. (MEAC),34,15-19,-0.4
234,George Washington (Atlantic 10),32,15-17,-0.5
234,CSU Bakersfield (Big West),32,13-19,-0.5
236,Brown (Ivy League),31,13-18,-0.5
237,Jacksonville (ASUN),33,16-17,-0.6
238,Mercer (SoCon),33,16-17,-0.7
239,FGCU (ASUN),32,14-18,-0.7
240,Alabama St. (SWAC),32,13-19,-0.8
