Rank,Team,GM,W-L,FGM,FGA,FG%
255,Western Mich. (MAC),32,12-20,828,"1,912",43.3
256,Florida A&M (SWAC),29,6-23,727,"1,679",43.3
257,Utah Valley (WAC),32,16-16,801,"1,851",43.3
258,Robert Morris (Horizon),32,10-22,833,"1,927",43.2
259,Iona (MAAC),33,16-17,857,"1,984",43.2
260,Southeastern La. (Southland),32,15-17,764,"1,769",43.2
261,Northwestern St. (Southland),32,9-23,808,"1,872",43.2
262,Bowling Green (MAC),34,20-14,882,"2,045",43.1
263,Bethune-Cookman (SWAC),34,17-17,860,"1,994",43.1
264,Davidson (Atlantic 10),32,15-17,783,"1,816",43.1
265,Cal St. Fullerton (Big West),32,14-18,740,"1,717",43.1
266,Monmouth (CAA),33,18-15,860,"1,998",43
267,Sacramento St. (Big Sky),34,10-24,798,"1,855",43
268,Brown (Ivy League),31,13-18,782,"1,818",43
269,West Virginia (Big 12),32,9-23,767,"1,784",43
270,Ga. Southern (Sun Belt),33,9-24,847,"1,971",43
271,La Salle (Atlantic 10),33,16-17,877,"2,041",43
272,Georgia (SEC),37,20-17,943,"2,195",43
273,San Diego (WCC),33,18-15,849,"1,978",42.9
274,Eastern Mich. (MAC),31,13-18,783,"1,825",42.9
275,Bucknell (Patriot),33,14-19,758,"1,770",42.8
276,Virginia (ACC),34,23-11,808,"1,887",42.8
277,UIW (Southland),31,8-23,768,"1,795",42.8
278,Kansas City (Summit League),32,16-16,813,"1,903",42.7
279,Western Ill. (OVC),33,21-12,826,"1,936",42.7
280,Sam Houston (CUSA),33,21-12,828,"1,948",42.5
281,Villanova (Big East),34,18-16,826,"1,945",42.5
282,Chicago St. (DI Independent),32,13-19,771,"1,816",42.5
283,Southern Miss. (Sun Belt),32,16-16,775,"1,826",42.4
284,Hampton (CAA),33,9-24,853,"2,011",42.4
285,Illinois St. (MVC),32,15-17,743,"1,752",42.4
286,Saint Francis (PA) (NEC),30,8-22,713,"1,682",42.4
287,SIUE (OVC),33,17-16,832,"1,965",42.3
288,New Mexico St. (CUSA),32,13-19,771,"1,822",42.3
289,DePaul (Big East),32,3-29,725,"1,714",42.3
290,Towson (CAA),34,20-14,818,"1,934",42.3
291,VMI (SoCon),32,4-28,818,"1,935",42.3
292,East Carolina (AAC),33,15-18,803,"1,903",42.2
293,Detroit Mercy (Horizon),32,1-31,761,"1,806",42.1
294,Eastern Ill. (OVC),32,14-18,822,"1,951",42.1
295,Georgia Tech (ACC),32,14-18,810,"1,924",42.1
296,Buffalo (MAC),31,4-27,770,"1,830",42.1
297,California (Pac-12),32,13-19,833,"1,980",42.1
298,Prairie View (SWAC),31,10-21,770,"1,831",42.1
299,Old Dominion (Sun Belt),32,7-25,841,"2,001",42
300,Alabama A&M (SWAC),35,12-23,806,"1,918",42
301,Central Mich. (MAC),32,18-14,790,"1,880",42
302,UCF (Big 12),33,17-16,817,"1,945",42
303,ULM (Sun Belt),30,11-19,751,"1,788",42
304,FDU (NEC),32,15-17,843,"2,012",41.9
305,UCLA (Pac-12),33,16-17,762,"1,820",41.9
306,UTRGV (WAC),31,6-25,754,"1,801",41.9
307,New Orleans (Southland),33,10-23,846,"2,023",41.8
308,LIU (NEC),29,7-22,706,"1,691",41.8
309,Loyola Maryland (Patriot),32,7-25,737,"1,767",41.7
310,Arizona St. (Pac-12),32,14-18,791,"1,901",41.6
311,Central Ark. (ASUN),32,9-23,817,"1,965",41.6
312,Jackson St. (SWAC),32,15-17,799,"1,923",41.5
313,Georgetown (Big East),32,9-23,775,"1,867",41.5
314,Portland St. (Big Sky),32,17-15,809,"1,949",41.5
315,Texas Southern (SWAC),33,16-17,821,"1,980",41.5
316,New Hampshire (America East),31,16-15,801,"1,934",41.4
317,Charleston So. (Big South),30,10-20,715,"1,727",41.4
318,Boston U. (Patriot),33,16-17,768,"1,856",41.4
319,Southeast Mo. St. (OVC),31,9-22,764,"1,848",41.3
320,Maryland (Big Ten),33,16-17,766,"1,854",41.3
321,Manhattan (MAAC),30,7-23,740,"1,792",41.3
322,William & Mary (CAA),33,10-23,787,"1,910",41.2
323,Pacific (WCC),32,6-26,725,"1,762",41.1
324,Dartmouth (Ivy League),27,6-21,594,"1,447",41.1
325,California Baptist (WAC),33,16-17,762,"1,857",41
326,UTSA (AAC),32,11-21,837,"2,040",41
327,South Carolina St. (MEAC),32,14-18,784,"1,914",41
328,Marshall (Sun Belt),33,13-20,864,"2,117",40.8
329,Lafayette (Patriot),32,11-21,744,"1,823",40.8
330,Notre Dame (ACC),33,13-20,742,"1,824",40.7
331,ETSU (SoCon),35,19-16,866,"2,131",40.6
332,Valparaiso (MVC),32,7-25,796,"1,961",40.6
333,Army West Point (Patriot),32,10-22,707,"1,747",40.5
334,Cal Poly (Big West),32,4-28,719,"1,778",40.4
335,Middle Tenn. (CUSA),33,14-19,741,"1,843",40.2
336,Texas A&M (SEC),36,21-15,926,"2,304",40.2
337,UMES (MEAC),29,9-20,668,"1,664",40.1
338,Fordham (Atlantic 10),33,13-20,798,"1,993",40
339,Siena (MAAC),32,4-28,702,"1,758",39.9
340,Vanderbilt (SEC),32,9-23,748,"1,877",39.9
341,UC Riverside (Big West),34,16-18,842,"2,122",39.7
342,Wagner (NEC),33,17-16,758,"1,913",39.6
343,Navy (Patriot),31,13-18,716,"1,809",39.6
344,Temple (AAC),36,16-20,876,"2,214",39.6
345,NJIT (America East),28,7-21,663,"1,681",39.4
346,Saint Peter's (MAAC),33,19-14,720,"1,830",39.3
347,Rutgers (Big Ten),32,15-17,750,"1,927",38.9
348,N.C. A&T (CAA),32,7-25,726,"1,873",38.8
349,Mississippi Val. (SWAC),31,1-30,613,"1,611",38.1
350,Coppin St. (MEAC),29,2-27,585,"1,571",37.2
351,Alabama St. (SWAC),32,13-19,772,"2,087",37
