Rank,Team,GM,W-L,Opp 3FGA,Opp 3FG,Opp 3FG%
1,Louisiana (Sun Belt),33,19-14,590,163,27.6
2,N.C. Central (MEAC),31,18-13,644,181,28.1
3,UMass Lowell (America East),32,22-10,701,201,28.7
4,UAlbany (America East),32,13-19,576,167,29
5,Seattle U (WAC),37,23-14,720,210,29.2
6,Utah St. (Mountain West),35,28-7,755,221,29.3
7,Western Ill. (OVC),33,21-12,626,186,29.7
8,Mississippi St. (SEC),35,21-14,830,247,29.8
9,New Hampshire (America East),31,16-15,748,223,29.8
10,Cleveland St. (Horizon),36,21-15,784,234,29.8
11,Green Bay (Horizon),32,18-14,636,190,29.9
12,James Madison (Sun Belt),36,32-4,753,225,29.9
13,Oklahoma (Big 12),32,20-12,662,198,29.9
14,Wagner (NEC),33,17-16,727,218,30
15,Georgia St. (Sun Belt),31,14-17,733,220,30
16,Houston (Big 12),37,32-5,747,225,30.1
17,A&M-Corpus Christi (Southland),33,21-12,647,195,30.1
18,Morehead St. (OVC),35,26-9,665,201,30.2
19,Auburn (SEC),35,27-8,678,205,30.2
20,Penn St. (Big Ten),33,16-17,620,188,30.3
21,New Mexico (Mountain West),36,26-10,771,234,30.4
22,Akron (MAC),35,24-11,738,224,30.4
23,Southern Ill. (MVC),32,19-13,537,163,30.4
24,Ark.-Pine Bluff (SWAC),31,13-18,768,234,30.5
25,Virginia (ACC),34,23-11,715,218,30.5
26,Southeast Mo. St. (OVC),31,9-22,522,160,30.7
27,Colgate (Patriot),35,25-10,812,249,30.7
28,Pittsburgh (ACC),33,22-11,711,219,30.8
29,App State (Sun Belt),34,27-7,732,226,30.9
30,Delaware (CAA),33,19-14,723,224,31
31,Boise St. (Mountain West),33,22-11,671,208,31
32,San Diego St. (Mountain West),37,26-11,867,269,31
33,Hawaii (Big West),34,20-14,496,154,31
34,Charleston So. (Big South),30,10-20,563,175,31.1
35,LIU (NEC),29,7-22,588,183,31.1
36,Northern Ky. (Horizon),33,18-15,815,254,31.2
37,Miami (OH) (MAC),32,15-17,683,213,31.2
