Rank,Team,GM,W-L,FT PG
139,South Alabama (Sun Belt),32,16-16,14.3
140,Syracuse (ACC),32,20-12,14.3
141,NIU (MAC),31,11-20,14.3
142,Seton Hall (Big East),37,25-12,14.2
143,UCLA (Pac-12),33,16-17,14.2
144,ETSU (SoCon),35,19-16,14.2
145,Rider (MAAC),32,15-17,14.2
146,NC State (ACC),41,26-15,14.2
147,N.C. A&T (CAA),32,7-25,14.2
147,Youngstown St. (Horizon),32,22-10,14.2
149,Kent St. (MAC),34,17-17,14.2
150,St. Bonaventure (Atlantic 10),33,20-13,14.2
151,Georgetown (Big East),32,9-23,14.1
152,Houston Christian (Southland),29,6-23,14.1
153,Presbyterian (Big South),33,14-19,14.1
154,Clemson (ACC),36,24-12,14.1
155,Fordham (Atlantic 10),33,13-20,14.1
156,UConn (Big East),40,37-3,14.1
157,East Carolina (AAC),33,15-18,14
158,Charlotte (AAC),31,19-12,14
158,IU Indy (Horizon),32,6-26,14
158,Illinois St. (MVC),32,15-17,14
158,Indiana (Big Ten),33,19-14,14
162,Temple (AAC),36,16-20,14
163,San Diego (WCC),33,18-15,14
164,Portland St. (Big Sky),32,17-15,14
165,Southeastern La. (Southland),32,15-17,13.9
166,Oakland (Horizon),36,24-12,13.9
167,SIUE (OVC),33,17-16,13.8
168,Utah Valley (WAC),32,16-16,13.8
169,Ohio (MAC),33,20-13,13.8
170,Davidson (Atlantic 10),32,15-17,13.8
171,Eastern Ky. (ASUN),31,17-14,13.8
172,Southern U. (SWAC),32,18-14,13.8
173,Oregon (Pac-12),36,24-12,13.7
174,Morgan St. (MEAC),31,11-20,13.7
175,Harvard (Ivy League),27,14-13,13.7
176,Merrimack (NEC),33,21-12,13.7
177,Lehigh (Patriot),32,14-18,13.7
178,Georgia St. (Sun Belt),31,14-17,13.7
179,Northwestern St. (Southland),32,9-23,13.7
180,Southern California (Pac-12),33,15-18,13.6
181,Gonzaga (WCC),35,27-8,13.6
182,CSU Bakersfield (Big West),32,13-19,13.6
183,Minnesota (Big Ten),34,19-15,13.6
184,New Hampshire (America East),31,16-15,13.6
185,Chattanooga (SoCon),33,21-12,13.6
186,Stetson (ASUN),35,22-13,13.5
187,South Dakota (Summit League),32,12-20,13.5
188,UNLV (Mountain West),34,21-13,13.5
189,UAlbany (America East),32,13-19,13.5
190,Middle Tenn. (CUSA),33,14-19,13.5
191,Gardner-Webb (Big South),33,17-16,13.4
191,Santa Clara (WCC),33,20-13,13.4
193,Colorado St. (Mountain West),36,25-11,13.4
194,Pepperdine (WCC),33,13-20,13.4
195,NJIT (America East),28,7-21,13.4
196,Alabama St. (SWAC),32,13-19,13.4
196,Campbell (CAA),32,14-18,13.4
196,North Dakota (Summit League),32,18-14,13.4
