Rank,Team,GM,W-L,ORebs,ORPG
127,Little Rock (OVC),34,21-13,369,10.85
127,Quinnipiac (MAAC),34,24-10,369,10.85
129,Gonzaga (WCC),35,27-8,379,10.83
130,Austin Peay (ASUN),35,19-16,378,10.80
131,Vanderbilt (SEC),32,9-23,344,10.75
132,UIW (Southland),31,8-23,333,10.74
133,California (Pac-12),32,13-19,343,10.72
133,Southeastern La. (Southland),32,15-17,343,10.72
133,Southern Miss. (Sun Belt),32,16-16,343,10.72
136,Winthrop (Big South),32,17-15,341,10.66
137,UNCW (CAA),31,21-10,330,10.65
138,Duke (ACC),36,27-9,383,10.64
138,Oakland (Horizon),36,24-12,383,10.64
140,Michigan (Big Ten),32,8-24,340,10.63
141,Iowa St. (Big 12),37,29-8,393,10.62
142,UTEP (CUSA),34,18-16,361,10.62
142,Western Ky. (CUSA),34,22-12,361,10.62
144,Samford (SoCon),35,29-6,371,10.60
145,Central Mich. (MAC),32,18-14,339,10.59
146,UC Irvine (Big West),34,24-10,360,10.59
147,Wofford (SoCon),32,17-15,337,10.53
148,Ga. Southern (Sun Belt),33,9-24,347,10.52
148,Northern Ky. (Horizon),33,18-15,347,10.52
150,Duquesne (Atlantic 10),37,25-12,389,10.51
151,Georgia St. (Sun Belt),31,14-17,325,10.48
152,Bethune-Cookman (SWAC),34,17-17,356,10.47
153,Utah Valley (WAC),32,16-16,335,10.47
153,Western Caro. (SoCon),32,22-10,335,10.47
155,Iona (MAAC),33,16-17,345,10.45
155,LSU (SEC),33,17-16,345,10.45
157,Penn (Ivy League),29,11-18,303,10.45
158,South Dakota (Summit League),32,12-20,334,10.44
159,Binghamton (America East),30,15-15,313,10.43
160,FIU (CUSA),33,11-22,344,10.42
160,Middle Tenn. (CUSA),33,14-19,344,10.42
162,Buffalo (MAC),31,4-27,323,10.42
163,Ole Miss (SEC),32,20-12,333,10.41
164,Southern Utah (WAC),31,10-21,322,10.39
165,Rhode Island (Atlantic 10),32,12-20,332,10.38
166,Akron (MAC),35,24-11,363,10.37
167,Eastern Mich. (MAC),31,13-18,321,10.35
168,Elon (CAA),32,13-19,331,10.34
169,William & Mary (CAA),33,10-23,341,10.33
170,NIU (MAC),31,11-20,320,10.32
171,Rice (AAC),32,11-21,330,10.31
172,UNLV (Mountain West),34,21-13,350,10.29
173,Radford (Big South),33,16-17,339,10.27
173,UCLA (Pac-12),33,16-17,339,10.27
175,Loyola Maryland (Patriot),32,7-25,328,10.25
176,Denver (Summit League),34,17-17,348,10.24
177,Northeastern (CAA),32,12-20,326,10.19
178,Florida St. (ACC),33,17-16,336,10.18
178,La Salle (Atlantic 10),33,16-17,336,10.18
180,UT Martin (OVC),32,21-11,325,10.16
181,Missouri St. (MVC),33,17-16,335,10.15
182,Miami (FL) (ACC),32,15-17,324,10.13
183,NC State (ACC),41,26-15,415,10.12
184,Pepperdine (WCC),33,13-20,334,10.12
185,George Mason (Atlantic 10),32,20-12,323,10.09
185,Illinois St. (MVC),32,15-17,323,10.09
187,Ohio (MAC),33,20-13,333,10.09
188,Minnesota (Big Ten),34,19-15,343,10.09
189,Michigan St. (Big Ten),35,20-15,353,10.09
189,Saint Joseph's (Atlantic 10),35,21-14,353,10.09
191,Seattle U (WAC),37,23-14,373,10.08
