Team 1 Name,Team 1 Score,Team 2 Name,Team 2 Score
Wagner,71,Howard,68
Colorado St.,67,Virginia,42
Grambling St.,88,Montana St.,81
Colorado,60,Boise St.,53
UConn,91,Stetson,52
Northwestern,77,Florida Atlantic,65
San Diego St.,69,UAB,65
Yale,78,Auburn,76
Duquesne,71,BYU,67
Illinois,85,Morehead St.,69
Washington St.,66,Drake,61
Iowa St.,82,South Dakota St.,65
North Carolina,90,Wagner,62
Michigan St.,69,Mississippi St.,51
Grand Canyon,75,Saint Mary's,66
Alabama,109,Charleston,96
Clemson,77,New Mexico,56
Baylor,92,Colgate,67
Dayton,63,Nevada,60
Arizona,85,Long Beach St.,65
Houston,86,Longwood,46
Texas A&M,98,Nebraska,83
James Madison,72,Wisconsin,61
Duke,64,Vermont,47
NC State,80,Texas Tech,67
Oakland,80,Kentucky,76
Colorado,102,Florida,100
Marquette,87,Western Kentucky,69
Purdue,78,Grambling St.,50
Utah St.,88,TCU,72
Gonzaga,86,McNeese,65
Kansas,93,Samford,89
Oregon,87,South Carolina,73
Creighton,77,Akron,60
Texas,56,Colorado St.,44
Tennessee,83,Saint Peter's,49
UConn,75,Northwestern,58
San Diego St.,85,Yale,57
Illinois,89,Duquesne,63
Iowa St.,67,Washington St.,56
North Carolina,85,Michigan St.,69
Alabama,72,Grand Canyon,61
Clemson,72,Baylor,64
Arizona,78,Dayton,68
Houston,100,Texas A&M,95
Duke,93,James Madison,55
NC State,79,Oakland,73
Marquette,81,Colorado,77
Purdue,106,Utah St.,67
Gonzaga,89,Kansas,68
Creighton,86,Oregon,73
Tennessee,62,Texas,58
UConn,82,San Diego St.,52
Illinois,72,Iowa St.,69
Alabama,89,North Carolina,87
Clemson,77,Arizona,72
Duke,54,Houston,51
NC State,67,Marquette,58
Purdue,80,Gonzaga,68
Tennessee,82,Creighton,75
UConn,77,Illinois,52
Alabama,89,Clemson,82
NC State,76,Duke,64
Purdue,72,Tennessee,66
UConn,86,Alabama,72
Purdue,63,NC State,50
UConn,75,Purdue,60
