Team,Seed,3FG,3FGA,3FGA PG,Fouls,PFPG,DQ,REB,RPG,FT,FTA,FT%,ORebs,ORPG,3FG PG,W,L,Win%,OPP REB,OPP RPG,REB MAR,OPP PTS,OPP PPG,SCR MAR,DRebs,DRPG,Opp TO,TO PG,AST,TO,Ratio,3FG%,FGM,FGA,FG%,FT PG,OPP FG,OPP FGA,OPP FG%,Opp 3FGA,Opp 3FG,Opp 3FG%,PTS,PPG,FTA PG
Arizona (Pac-12),2,284,776,21.6,590,16.4,5,"1,533",42.58,605,844,71.7,471,13.08,7.9,27,9,75.0,"1,175",32.6,9.9,"2,594",72.1,15.1,"1,062",29.5,483,13.42,665,430,1.55,36.6,"1,124","2,321",48.4,16.8,949,"2,252",42.1,853,281,32.9,"3,137",87.1,23.4
Arizona St. (Pac-12),,215,716,22.4,532,16.6,13,"1,064",33.25,412,629,65.5,269,8.41,6.7,14,18,43.8,"1,298",40.6,-7.3,"2,368",74.0,-5.0,795,24.84,439,13.72,385,335,1.15,30.0,791,"1,901",41.6,12.9,850,"1,887",45.0,740,251,33.9,"2,209",69.0,19.7
Ark.-Pine Bluff (SWAC),,337,898,29.0,568,18.3,14,"1,073",34.61,520,682,76.2,261,8.42,10.9,13,18,41.9,"1,188",38.3,-3.7,"2,536",81.8,-1.7,812,26.19,362,11.68,467,413,1.13,37.5,813,"1,821",44.6,16.8,915,"2,011",45.5,768,234,30.5,"2,483",80.1,22.0
Arkansas (SEC),,199,625,18.9,655,19.8,19,"1,139",34.52,649,859,75.6,281,8.52,6.0,16,17,48.5,"1,200",36.4,-1.8,"2,633",79.8,-2.0,858,26.0,365,11.06,387,395,0.98,31.8,859,"1,898",45.3,19.7,909,"2,039",44.6,696,236,33.9,"2,566",77.8,26.0
Arkansas St. (Sun Belt),,341,991,26.8,644,17.4,15,"1,419",38.35,534,761,70.2,489,13.22,9.2,20,17,54.1,"1,304",35.2,3.1,"2,850",77.0,1.8,930,25.14,369,9.97,536,414,1.29,34.4,"1,021","2,313",44.1,14.4,"1,023","2,234",45.8,602,212,35.2,"2,917",78.8,20.6
Army West Point (Patriot),,252,788,24.6,506,15.8,9,"1,088",34.0,264,449,58.8,308,9.63,7.9,10,22,31.3,"1,086",33.9,0.1,"2,059",64.3,-4.0,780,24.38,348,10.88,401,389,1.03,32.0,707,"1,747",40.5,8.3,734,"1,712",42.9,679,221,32.5,"1,930",60.3,14.0
Auburn (SEC),4,280,795,22.7,678,19.4,7,"1,323",37.8,609,812,75.0,393,11.23,8.0,27,8,77.1,"1,206",34.5,3.3,"2,391",68.3,14.8,930,26.57,449,12.83,622,374,1.66,35.2,"1,010","2,121",47.6,17.4,784,"2,029",38.6,678,205,30.2,"2,909",83.1,23.2
Austin Peay (ASUN),,277,768,21.9,615,17.6,13,"1,188",33.94,460,652,70.6,378,10.8,7.9,19,16,54.3,"1,241",35.5,-1.5,"2,561",73.2,1.7,810,23.14,400,11.43,388,308,1.26,36.1,941,"2,105",44.7,13.1,910,"1,967",46.3,713,230,32.3,"2,619",74.8,18.6
BYU (Big 12),6,378,"1,087",32.0,602,17.7,8,"1,343",39.5,406,547,74.2,405,11.91,11.1,23,11,67.6,"1,136",33.4,6.1,"2,378",69.9,11.5,938,27.59,381,11.21,629,364,1.73,34.8,992,"2,155",46.0,11.9,856,"2,003",42.7,681,218,32.0,"2,768",81.4,16.1
Ball St. (MAC),,232,641,20.7,469,15.1,8,"1,082",34.9,510,665,76.7,294,9.48,7.5,15,16,48.4,"1,044",33.7,1.2,"2,200",71.0,2.6,788,25.42,369,11.9,385,374,1.03,36.2,769,"1,726",44.6,16.5,811,"1,821",44.5,643,220,34.2,"2,280",73.5,21.5
