Rk,Team,NetRtg,ORtg,DRtg,AdjT,Luck,Opp NetRtg,Opp ORtg,Opp DRtg,Non Conf Opp NetRtg
1,UConn,36.43,127.5,91.1,64.6,0.037,12.42,113.2,100.8,-3.4
2,Houston,31.17,118.9,87.7,63.5,0.042,11.57,111.9,100.3,-1.02
3,Purdue,30.62,125.2,94.6,67,0.048,14.65,114.4,99.8,10.58
4,Auburn,27.99,120.4,92.4,70,-0.08,9.49,111.9,102.4,1.47
5,Tennessee,26.61,116.8,90.2,69.3,-0.026,13.35,114.6,101.2,8.97
6,Arizona,26.55,120.2,93.7,72.2,-0.047,11.12,112.2,101.1,10.47
7,Duke,26.47,121.6,95.2,66.4,-0.064,10.07,111.1,101.1,-0.04
8,Iowa St.,26.47,113.9,87.5,67.2,0.002,10.43,111.3,100.8,-7.05
9,North Carolina,26.19,119.7,93.5,70.6,-0.038,12.17,112.6,100.5,6.99
10,Illinois,24.53,125.5,101,69.8,-0.004,11.92,111.8,99.9,-2.33
11,Creighton,24.22,120.9,96.7,66.8,-0.018,11.96,112.3,100.4,4.99
12,Gonzaga,23.17,122.6,99.4,68.9,-0.051,5.21,109.3,104.1,7.7
13,Marquette,23.02,118.2,95.2,69.1,0.035,13.6,113.4,99.8,8.21
14,Alabama,22.96,126,103,72.6,-0.001,14.71,115.1,100.4,9.46
15,Baylor,21.9,122.4,100.5,65.8,-0.016,13.44,112.4,99,3.36
16,Michigan St.,20.58,114.3,93.7,65.3,-0.1,13.03,114.2,101.1,4.62
17,Wisconsin,20.06,119.2,99.2,65.5,-0.036,14.04,113.2,99.2,6.22
18,BYU,19.96,119.8,99.9,69.2,-0.048,9.21,110.1,100.9,-5.67
19,Clemson,19.44,117.7,98.3,66.4,-0.018,12.09,113.5,101.4,4.91
20,St. Mary's,19.43,114.5,95,62.5,0.008,3.54,108.5,104.9,5.2
21,St. John's,19.41,119,99.6,69.3,-0.068,11.19,112.5,101.3,1.64
22,San Diego St.,19.36,113.4,94,66.2,0.008,11.16,112.8,101.7,10.56
23,Kentucky,19.29,122.2,102.9,72.7,-0.04,8.94,111.4,102.5,-0.17
24,Colorado,19.03,118.4,99.3,67.6,0.014,9.34,110.9,101.6,-1.47
25,Texas,18.77,116.5,97.7,67.4,-0.042,10.91,111.4,100.5,-3.13
26,Florida,18.19,120,101.8,72,-0.021,11,112.5,101.5,2.02
27,Kansas,17.94,113.5,95.6,69.2,0.058,13.61,113,99.3,5.2
28,Wake Forest,17.89,117.7,99.8,68.5,-0.1,9,110,101,-1.85
29,New Mexico,17.8,114.4,96.6,72.8,-0.013,7.04,110.2,103.2,-0.5
30,Nebraska,17.55,116.2,98.7,69,0.01,9.39,110.9,101.6,-5.41
31,Texas Tech,17.32,117.4,100.1,66.8,0.034,10.24,111.1,100.9,-2.63
32,Dayton,17.3,117.7,100.4,64.5,0.007,6.88,109.3,102.4,6.97
33,Pittsburgh,17.18,116.5,99.3,65.6,0.005,8.43,110.9,102.4,-6.46
