Rk,Team,NetRtg,ORtg,DRtg,AdjT,Luck,Opp NetRtg,Opp ORtg,Opp DRtg,Non Conf Opp NetRtg
34,Mississippi St.,17.07,113,95.9,67.1,-0.037,11.36,112.7,101.3,0.68
35,Texas A&M,17.02,117.5,100.5,66.6,-0.033,12.06,112.9,100.9,5.1
36,Colorado St.,17.02,114,97,66.1,-0.026,9.3,111.9,102.6,5.84
37,Villanova,16.78,111.4,94.6,63.6,-0.093,11.59,112.7,101.1,5.89
38,Indiana St.,16.69,119.9,103.2,70.9,0.032,3.07,107.7,104.7,-4.4
39,Cincinnati,16.47,112,95.5,67.5,-0.073,9.25,110.8,101.5,-4.17
40,Nevada,16.41,115,98.6,66.8,0.043,5.79,109.7,103.9,-1.43
41,Northwestern,16.41,115.9,99.5,64.2,0.015,10.71,112.4,101.7,-7.35
42,Washington St.,16.33,113.2,96.9,64.8,0.024,7.91,110.3,102.4,-5.27
43,TCU,16.04,114.7,98.7,69.8,-0.049,9.71,110.6,100.9,-8.39
44,Boise St.,15.97,113.4,97.4,66.6,-0.002,9.55,111.1,101.5,8.08
45,NC State,15.9,114.3,98.4,68,0.014,11.33,112.2,100.8,-4.99
46,Oklahoma,15.77,114.1,98.4,67.1,-0.024,9.96,110.4,100.5,-5.38
47,Florida Atlantic,15.74,117.8,102.1,68.3,-0.015,5.56,109.6,104.1,6.63
48,Utah,15.41,114.6,99.2,70,-0.024,10.29,111.7,101.4,5.52
49,Ohio St.,15.19,115.2,100,66.5,-0.024,9.68,111.6,101.9,-1.94
50,Seton Hall,15.03,113.1,98.1,66.8,0.087,10.1,111.8,101.7,-1.47
51,Utah St.,14.89,116,101.1,68.9,0.128,6.83,109.8,103,1.78
52,Grand Canyon,14.84,112.9,98.1,68.5,0.023,0.17,105.2,105.1,-1.67
53,Drake,14.53,115.1,100.5,68,0.051,2.95,108,105,-1.34
54,South Carolina,14.4,114.9,100.5,63.2,0.144,7.94,110.5,102.6,-5.83
55,Oregon,14.19,114.7,100.5,67.3,0.045,9.88,111.3,101.5,-0.11
56,Xavier,14.17,113.2,99,71.2,-0.06,13.22,113.3,100.1,4.87
57,Iowa,14.15,119.6,105.4,71.8,-0.021,11.88,112.6,100.8,-1.15
58,Virginia Tech,14.08,115.8,101.7,68,-0.041,9.9,110.7,100.8,2.51
59,Providence,13.7,109.1,95.4,67.6,0.01,10.26,112.3,102.1,-2.06
60,Washington,12.95,115.3,102.3,71.2,-0.081,9.48,111,101.5,5.96
61,Butler,12.6,113.2,100.6,68.6,-0.027,11.83,112.5,100.7,2.05
62,Maryland,12.51,107.3,94.7,65.5,-0.093,9.81,111.3,101.5,-4.94
63,James Madison,12.42,113,100.6,69.7,0.093,-3.41,104.1,107.5,-6.82
64,Bradley,12.18,112.1,100,66.4,-0.036,4.07,107.7,103.7,2.72
65,San Francisco,12.05,110.5,98.4,67.4,-0.055,0.17,106.7,106.6,-2.51
66,UCF,11.83,107.5,95.6,68.7,-0.072,9.02,110.8,101.8,-5.96
67,McNeese,11.8,113.4,101.5,65.9,0.032,-6.38,102.6,109,4.47
68,Virginia,11.8,105.1,93.3,60.1,0.108,9.07,111.6,102.5,-1.09
69,Princeton,11.58,116.7,105.1,65.5,0.027,0.54,106.4,105.8,3.14
70,Kansas St.,11.52,108.3,96.8,67.7,0.028,11.49,111.8,100.3,0.06
71,Boston College,11.44,113.9,102.4,67,-0.017,9.16,110.4,101.2,-0.74
72,SMU,11.13,111.9,100.8,67.7,-0.09,3.47,108.6,105.2,0.33
73,UNLV,10.86,113,102.2,65.6,0.022,8.02,110.7,102.7,3.71
74,North Texas,10.83,110.3,99.4,61.8,-0.102,5.86,109.8,103.9,4.24
75,VCU,10.69,109.2,98.5,65.6,-0.011,5.27,108.7,103.4,0.34
76,Memphis,10.59,113.2,102.6,71.6,0.036,5,109.2,104.2,5.32
77,Penn St.,10.49,111.5,101.1,69.8,-0.059,9.52,111.1,101.6,-3.95
78,Minnesota,10.39,113.6,103.2,66.6,-0.017,8.35,110.9,102.5,-12.77
79,Florida St.,10.29,110.9,100.6,71.1,0.013,11.13,112.7,101.6,2.89
80,Syracuse,10.26,111.7,101.4,70.8,0.132,11.2,112.4,101.2,3.27
81,Samford,10.03,113.6,103.6,72.8,0.11,-2.14,104.5,106.7,-5.47
82,UC Irvine,9.97,109.5,99.6,68.6,-0.049,-0.05,106,106.1,5.68
83,Appalachian St.,9.88,108.4,98.6,67.1,0.019,-1.31,106.4,107.7,0.21
84,Georgia,9.82,109.4,99.6,69,0.034,10.47,112.8,102.4,0.42
85,USC,9.63,110.5,100.8,68.2,-0.042,10.88,111.6,100.7,6.32
86,Mississippi,9.36,113.9,104.5,66.9,0.095,8.78,111,102.2,-1.54
87,South Florida,9.26,111,101.7,68.2,0.049,0.97,106.5,105.5,-4.18
88,Duquesne,9.19,107.2,98,66.2,0.079,5.68,109.7,104,1.51
89,Richmond,9.08,107.2,98.1,66.8,0.043,3.37,107.8,104.4,-3.01
90,Yale,9.07,110.9,101.8,64.9,0.04,3.07,108.7,105.6,5.01
91,Indiana,8.74,109.8,101.1,68.5,0.138,11.77,113,101.2,-0.89
92,Massachusetts,8.58,111.8,103.2,68.3,-0.063,0.59,106.3,105.7,-5.4
93,Loyola Chicago,8.38,105.5,97.1,68.7,0.056,3.03,107.6,104.6,-3.5
94,Louisiana Tech,8.33,108.8,100.5,65.8,-0.072,-0.24,104.7,104.9,3.95
95,LSU,8.26,110.5,102.2,69.9,-0.019,8.85,111.3,102.4,-1.46
96,Miami FL,8.17,111.2,103,68.6,-0.059,9.83,111.2,101.4,-2.64
97,George Mason,8.09,109.5,101.5,63.8,-0.033,2.26,107.6,105.4,-3.27
98,UCLA,7.96,107.4,99.4,63.1,-0.028,9.05,110.5,101.5,0.68
99,Saint Joseph's,7.69,110.6,102.9,68.5,-0.044,2.59,107.3,104.7,-6.28
100,Rutgers,7.56,99.4,91.8,67.9,0,11.47,112.7,101.2,-3
101,Charleston,7.52,113.9,106.4,70.3,0.047,-1.68,105.9,107.5,-0.38
102,St. Bonaventure,7.33,111.6,104.3,65.7,-0.019,2.42,106.6,104.2,-4.53
103,Cornell,7.19,113.4,106.2,71.5,0.024,0.42,106.2,105.7,0.14
104,Vermont,6.61,106.5,99.9,63.3,0.078,-2.2,104.7,106.9,2.3
105,Stanford,6.57,110.5,103.9,69.7,-0.052,8.01,110,102,-1.88
106,UAB,6.49,113.7,107.2,67.8,0.102,4.78,108.9,104.2,1.94
107,Seattle,6.48,105.9,99.4,66.9,-0.07,-0.69,104.7,105.4,-1.34
108,Arkansas,5.87,110,104.1,70.8,0.046,9.6,112.6,103,2.08
109,Santa Clara,5.7,109.8,104.1,69.2,0.013,2.57,107.7,105.1,3.88
110,Western Carolina,5.68,109.2,103.5,66.9,0.002,-0.72,106.2,106.9,-0.07
111,Northern Iowa,5.52,109.2,103.6,66.8,0.036,4.79,108.8,104,6.12
112,UT Arlington,5.38,109.5,104.2,71.1,0.018,1.95,106.1,104.2,9.23
113,Hofstra,5.35,108.5,103.1,65.8,-0.038,-0.32,107.6,107.9,5.43
114,High Point,5.33,115.8,110.5,68.8,-0.043,-3.91,104.5,108.4,-4.51
115,Belmont,5.31,109.4,104,71.3,0.056,2.65,107.9,105.2,1.36
116,Morehead St.,5.15,109.1,104,64.3,0.043,-5.27,103.6,108.9,7.73
117,Oklahoma St.,4.9,108.8,103.9,67.2,-0.07,9.14,110.4,101.2,-5.58
118,Notre Dame,4.85,103.3,98.4,64.4,-0.012,9.78,111.4,101.6,-1.04
119,UNC Wilmington,4.73,113.3,108.6,65.4,0.02,-0.48,106.3,106.8,5.67
120,Charlotte,4.65,108.7,104.1,62.5,0.046,2.6,107.8,105.2,2.6
121,California,4.64,109,104.4,68.6,-0.003,8.94,110.7,101.8,0.57
122,Akron,4.58,106.8,102.2,66,0.008,-1.43,105.7,107.2,6.16
123,Georgia Tech,4.45,109.4,105,67.6,0.072,11.25,111.4,100.2,4.66
124,Southern Illinois,4.44,109.3,104.8,64.5,-0.018,0.57,106.6,106,-7.08
125,Davidson,4.28,105.7,101.4,65.7,-0.08,4.21,107.8,103.6,0.94
126,Drexel,4.17,108.3,104.1,64.6,-0.035,-2.03,105.5,107.5,0.36
127,Arizona St.,3.92,104,100.1,69.2,0.064,10.51,111.6,101.1,6
128,Michigan,3.9,110.6,106.7,67.5,-0.083,14,114.2,100.2,7.59
129,Tarleton St.,3.75,109.3,105.5,67,0.124,0.1,104.6,104.5,5.08
130,UC San Diego,3.74,111.8,108.1,65.6,-0.026,-2.46,104,106.4,-0.76
131,Oakland,3.73,109.3,105.6,66.5,0.077,-0.08,107.6,107.7,9.87
132,Troy,3.65,107.2,103.5,69.8,-0.052,-1.87,105.2,107.1,0.83
133,Arkansas St.,3.4,113.4,110,68.1,-0.022,0.2,106.7,106.5,2.25
134,Youngstown St.,3.02,108.3,105.3,69,-0.022,-4.17,105.2,109.4,1.16
135,Western Kentucky,2.9,105.4,102.5,75.3,-0.036,-2.07,104,106.1,-3
136,Tulane,2.73,110.8,108,72.8,-0.086,3.4,108,104.6,-3.43
137,Liberty,2.73,109.2,106.5,64.7,-0.052,0.05,104.3,104.3,3.12
138,South Dakota St.,2.69,108.8,106.1,68,-0.013,-2.05,105.7,107.7,2.76
139,Toledo,2.55,112.7,110.1,69.4,0.004,-1.59,105.2,106.8,4.95
140,Chattanooga,2.52,110.4,107.9,67.1,0.027,-2.08,105.2,107.3,-4.36
141,Furman,2.37,109.9,107.6,68.9,-0.068,0.78,107.4,106.6,2.08
142,Sam Houston St.,2.27,106,103.7,67.6,0.066,-0.2,104.2,104.4,2.82
143,Ohio,2.13,109.1,106.9,67.5,-0.096,-4.58,103.8,108.4,-2.84
144,West Virginia,1.94,108.3,106.4,68.5,-0.009,11.87,111.7,99.8,2.81
145,Missouri,1.79,108.4,106.6,66.7,-0.137,9.94,112.5,102.5,-1.29
146,Towson,1.77,103.5,101.7,62.3,0.012,-1.19,106.5,107.7,1.53
147,UNC Greensboro,1.74,109.2,107.5,64.9,0.07,-0.73,106.1,106.8,-0.5
148,St. Thomas,1.71,107.6,105.9,63.1,-0.087,-5.02,104.6,109.6,-3.85
149,Missouri St.,1.61,104.5,102.9,67.9,0.022,2.36,107.3,104.9,-3.32
150,Colgate,1.5,104.8,103.3,66.4,0.068,-6.51,102.3,108.8,6.36
151,Louisiana,1.4,105.9,104.5,68.8,-0.017,-0.76,106.4,107.2,1.74
152,Eastern Washington,1.35,112,110.7,70.6,0.072,-1.71,105.8,107.5,8.94
153,UMass Lowell,1.31,106.2,104.9,70.2,-0.004,-4.27,102.1,106.3,-3.13
154,Wichita St.,1.12,104.7,103.6,68.1,-0.037,3.51,108.9,105.4,1.48
155,Oregon St.,1.03,107,105.9,65.3,0.044,9.3,110.7,101.4,0.5
156,Weber St.,0.92,108.6,107.7,65.7,-0.014,-2.76,104.9,107.7,4
157,Purdue Fort Wayne,0.83,104.9,104.1,70.9,-0.039,-5.31,104.4,109.7,-9.05
158,Wright St.,0.8,116.1,115.3,71.6,-0.058,-2.58,104.9,107.5,4.09
159,Wyoming,0.79,108.7,107.9,67.2,0.038,6.42,110.2,103.8,2.47
160,Murray St.,0.52,107.4,106.9,64.5,-0.113,3.01,107.3,104.3,-0.21
161,Longwood,0.35,105.5,105.2,66.9,-0.005,-3.4,104.7,108.1,-6.8
162,Utah Valley,-0.1,100.2,100.3,67.7,0,1.87,106.4,104.5,7.07
163,Montana,-0.17,110.6,110.8,66.3,0.076,-3.65,104.9,108.5,1.7
164,UNC Asheville,-0.21,107.4,107.6,68.2,0.083,-1.27,106.3,107.5,3.33
165,Long Beach St.,-0.25,107.3,107.5,71.5,0.053,-0.3,105.2,105.5,1.29
166,Lipscomb,-0.39,112,112.4,69.1,0.01,-3.96,105.3,109.2,2.21
167,Hawaii,-0.59,104.8,105.3,66.2,-0.008,-3.21,103.8,107,-5.31
168,Stony Brook,-0.63,106.3,106.9,67.6,0.054,-1.32,105.4,106.7,1.1
169,Delaware,-0.63,105,105.6,67.5,-0.014,-3.07,105.1,108.2,-0.75
170,Stephen F. Austin,-0.65,102,102.6,69.3,0.008,-0.26,105.1,105.4,-1.02
171,Kent St.,-0.81,106.1,107,66.6,-0.083,-2.12,105,107.1,3.45
172,Quinnipiac,-0.85,105.2,106,71.4,0.06,-7.03,101,108,-7.27
173,Bryant,-0.91,101.1,102,74.2,0.066,-1.6,104.2,105.8,3.72
174,East Tennessee St.,-0.97,103.4,104.4,67.1,0.028,-0.06,106.3,106.4,0.97
175,Fairfield,-0.98,108.4,109.4,68.6,0.033,-5.23,101.8,107,-2.59
176,Winthrop,-1.11,107,108.1,67,-0.057,-1.9,105.9,107.8,1.19
177,UC Davis,-1.12,102.3,103.4,67.2,0.035,-2.64,105,107.6,-4.2
178,UTEP,-1.15,98.4,99.5,69.8,-0.009,-0.57,105.2,105.8,-0.78
179,Illinois St.,-1.86,102.7,104.6,63.8,0.021,1.13,107.3,106.2,-4
180,Texas St.,-1.93,100.7,102.6,66.5,0.037,1.38,107,105.6,7.12
181,Temple,-2.21,102.6,104.8,66.9,0.033,2.26,108.2,106,-1.69
182,Texas A&M Corpus Chris,-2.25,100.4,102.7,68.9,-0.006,-7.55,101.7,109.3,1.51
183,Vanderbilt,-2.26,105.2,107.4,65.7,0.023,10.3,112.2,101.9,-1.41
184,Tulsa,-2.27,103,105.3,70.6,0.001,-1.13,105.9,107,-10.43
185,Louisville,-2.31,105.9,108.2,69.9,-0.036,9.33,111.4,102.1,-4.31
186,Northern Kentucky,-2.33,103.3,105.6,68.2,0.018,-2.23,106.1,108.3,4.23
187,Loyola Marymount,-2.37,108.4,110.7,64.7,-0.112,-0.08,106.5,106.6,-1.87
188,Fordham,-2.41,101.2,103.6,68.8,-0.027,1.7,106.9,105.2,-5.96
189,East Carolina,-2.45,104.8,107.2,65,-0.002,1.08,107,105.9,-6.5
190,Cal Baptist,-2.47,103.2,105.7,63.7,-0.045,-1.4,103.9,105.3,-6.14
191,Brown,-2.47,104.3,106.7,67.3,-0.01,0.93,106.5,105.6,0.09
192,Georgetown,-2.5,110.6,113.1,66.7,-0.021,9.93,110.5,100.5,-7.21
193,Wofford,-2.57,107.5,110.1,65.6,0.06,1.16,107.3,106.1,3.75
194,Little Rock,-2.62,106.7,109.3,68.9,-0.014,-8.87,100.9,109.8,-6.29
195,La Salle,-2.74,106.1,108.8,66.7,0.045,1.15,106.8,105.6,-7.42
196,Illinois Chicago,-2.76,100.9,103.6,68.3,-0.064,2.55,107.4,104.8,-3.02
197,Cleveland St.,-2.78,106.1,108.9,67.5,0.033,-3.43,105.2,108.6,-1.07
198,Monmouth,-2.82,105.7,108.6,67.9,0.058,-1.59,105.8,107.4,1.67
199,Saint Louis,-2.83,111.5,114.4,69.5,0.061,5.59,108.3,102.7,3.08
200,Jacksonville St.,-2.94,102,105,64.8,-0.109,-1.95,104.3,106.3,-2.65
201,Saint Peter's,-3.03,98.4,101.4,64.1,0.041,-3.95,102.8,106.8,0.54
202,Northern Colorado,-3.25,107.6,110.8,70,0.011,-4.41,104.6,109,-2.54
203,George Washington,-3.41,107.3,110.7,69.8,-0.011,0.18,105.6,105.4,-10.51
204,Gardner Webb,-3.59,102.3,105.9,69.5,0.078,0.69,107.4,106.7,7.03
205,UC Santa Barbara,-3.63,106.2,109.8,67.4,-0.014,-2.82,103.6,106.4,-4.59
206,Rhode Island,-3.85,106.7,110.5,68.8,-0.001,3.49,107.8,104.3,0.62
207,Abilene Christian,-3.86,101.8,105.6,68.6,0.05,0.5,104.8,104.3,0.49
208,Evansville,-3.92,102.1,106.1,68.6,0.071,2.14,106.9,104.8,-6.06
209,Mercer,-3.94,104.4,108.4,66.2,0.035,-0.68,106.5,107.2,-2.4
210,Lamar,-3.97,104.3,108.3,68.3,-0.03,-7.84,101.8,109.7,-3.27
211,Eastern Kentucky,-4.02,107,111,68.9,0.016,-4.03,105.9,109.9,3.14
212,Merrimack,-4.03,96.8,100.9,67.4,0.018,-8.67,100.4,109,3.91
213,Penn,-4.08,109.3,113.3,65.5,-0.071,1.27,106.9,105.6,2.36
214,UMKC,-4.1,101.3,105.3,66.7,-0.029,-3.63,105.3,108.9,0.07
215,Marist,-4.15,97,101.1,64.8,0.001,-6.98,101.1,108.1,-7.76
216,Tennessee Martin,-4.2,106.6,110.8,73,0.066,-6.29,101.9,108.2,3.03
217,UC Riverside,-4.21,104.7,108.9,67.1,0.021,-0.57,105.2,105.7,3.72
218,Georgia St.,-4.31,105.7,110,68,-0.019,-1.05,105.6,106.6,0.23
219,Norfolk St.,-4.41,104.3,108.7,66.3,0.087,-7.45,100.5,108,2.15
220,Stetson,-4.51,109.8,114.3,66.5,0.145,-2.86,105.7,108.6,4.58
221,South Alabama,-4.55,104.4,109,68.3,0.043,-2.53,104.8,107.4,-5.26
222,Milwaukee,-4.6,108,112.6,70.2,0.067,-3.24,105.2,108.4,1.23
223,Montana St.,-4.65,103.5,108.2,69,-0.009,-3.58,105.1,108.7,0.08
224,Pepperdine,-4.66,106.1,110.8,67.4,-0.087,0.57,106.8,106.2,0.57
225,Rider,-4.68,102.8,107.5,68.1,-0.018,-2.48,103.4,105.8,8.98
226,Iona,-4.86,103.5,108.4,67.1,-0.045,-5.11,102.7,107.9,-0.52
227,Radford,-4.94,107.4,112.4,63.6,0.018,-1.72,105.6,107.3,0.14
228,Harvard,-4.95,102,106.9,67.5,0.075,-0.53,107,107.5,-2.08
229,Rice,-5.09,106.6,111.7,65.9,-0.059,2.6,107.7,105.1,-0.51
230,Green Bay,-5.1,104,109,63.7,0.07,-3.05,105.3,108.4,1.99
231,Maine,-5.23,97.3,102.5,65.5,0.003,-2.74,104.2,106.9,-1.33
232,Columbia,-5.39,106.7,112.1,68.6,-0.036,-2.61,104.2,106.8,-7.48
233,Cal St. Northridge,-5.41,100.1,105.5,72.7,0.051,-3.37,103.8,107.2,-7.46
234,Nicholls St.,-5.43,104.5,109.9,66.3,0.101,-3.56,103.8,107.4,9.64
235,Cal St. Fullerton,-5.45,100.1,105.5,66.5,0.019,0.09,105.7,105.6,5.3
236,North Dakota,-5.48,105.4,110.9,66.8,0.025,-5.57,104.7,110.3,-5.85
237,Fresno St.,-5.53,103.5,109,65.6,0.002,5.22,109.4,104.1,-4.05
238,Marshall,-5.55,101.4,106.9,70.5,-0.013,-0.24,106.6,106.8,1.92
239,Bowling Green,-5.57,102.4,107.9,67.8,0.048,-5.56,103,108.6,-5.5
240,North Florida,-5.61,107.1,112.7,67.2,-0.007,-3.61,105.9,109.5,1.05
241,Florida Gulf Coast,-5.63,103.3,109,63.9,-0.054,-2.49,106.8,109.3,4.75
242,Southern Utah,-5.73,106,111.8,69.6,-0.076,0.89,104.9,104,2.06
243,Southern Miss,-5.77,101.3,107.1,68.1,0.055,-0.88,105.6,106.5,1.18
244,Albany,-5.82,105.3,111.1,73.1,-0.079,-3.32,102.9,106.2,-3.25
245,Austin Peay,-5.92,108.2,114.1,64.8,0.052,-3.32,105.6,109,4.29
246,New Hampshire,-5.95,100,106,71.5,0.077,-2.48,104.1,106.6,0.24
247,Cal St. Bakersfield,-6.05,101.1,107.2,64.9,-0.035,-1.31,105.5,106.8,0.4
248,San Jose St.,-6.18,105.8,112,65.8,-0.038,5.08,109.4,104.3,-4.1
249,Saint Mary's,-6.25,102.5,108.7,69.2,-0.118,-6.42,101.3,107.7,-5.44
250,Northeastern,-6.29,105.3,111.6,65.8,-0.018,-1.28,105.6,106.9,1.05
251,Portland St.,-6.32,99.6,105.9,69.4,0.033,-3.5,105.3,108.8,-0.81
252,North Alabama,-6.41,105.7,112.1,67.9,0.009,-3.28,105.8,109.1,1.97
253,North Carolina Central,-6.62,105,111.6,66.7,-0.004,-8.18,100,108.2,0.27
254,UTSA,-6.73,107,113.7,70.6,-0.001,-0.01,105.8,105.9,-7.12
255,The Citadel,-6.92,103.1,110,65.6,-0.111,-0.15,106.5,106.6,-0.34
256,San Diego,-6.98,100.6,107.6,71.2,0.147,-0.25,107.2,107.4,-4.26
257,Miami OH,-6.98,99.8,106.7,67.5,-0.016,-3.2,104.1,107.3,0.78
258,Idaho St.,-7.07,103.4,110.5,64.1,-0.054,-3.78,105.1,108.9,-1.14
259,Grambling St.,-7.09,100.1,107.2,64.8,0.139,-4.42,101.9,106.3,15
260,Nebraska Omaha,-7.17,103.9,111.1,67.4,-0.056,-4.17,105.4,109.6,-1.88
261,Southern,-7.33,97.2,104.6,67.5,0.068,-5.52,101.8,107.3,14.75
262,Central Connecticut,-7.41,101,108.4,67,0.049,-10.13,99.4,109.5,-1.48
263,Lehigh,-7.43,99.5,106.9,70.1,-0.073,-6.16,101.6,107.8,7.42
264,Air Force,-7.43,105.9,113.4,61.9,-0.046,2.83,108,105.1,-9.84
265,Kennesaw St.,-7.57,105.3,112.9,74.1,0.019,-4.23,105.7,109.9,-0.49
266,Ball St.,-7.85,103,110.8,67,-0.025,-6.34,102.7,109,-5.61
267,Texas Southern,-7.85,98.9,106.7,68.1,0.019,-6.45,101.9,108.4,11.69
268,Denver,-7.96,107.8,115.8,70.5,0.018,-3.6,105.2,108.8,-1.61
269,Queens,-7.98,104,112,72.8,0.037,-1.57,107.1,108.6,5.26
270,Western Illinois,-8.03,97.9,105.9,64.8,0.121,-7.26,102.1,109.4,1.41
271,Presbyterian,-8.04,103.1,111.2,67.5,-0.031,-4.29,104.3,108.6,-7.22
272,Niagara,-8.15,103.3,111.4,67.4,0.021,-6.28,101.1,107.3,-3.99
273,Jacksonville,-8.28,101.1,109.3,65.6,0.043,-3.86,106.3,110.2,0.17
274,UMBC,-8.34,105,113.4,73.2,-0.079,-4.85,101.9,106.8,-7.12
275,Howard,-8.38,105.6,113.9,67.8,0.011,-7.02,100.6,107.6,-0.13
276,Bucknell,-8.46,100.2,108.7,64.9,-0.023,-5.98,102,108,1.92
277,Central Michigan,-8.46,96.6,105,65.1,0.148,-3.62,104.2,107.8,3.06
278,Canisius,-8.54,100.1,108.7,66.9,0.026,-3.1,103.8,106.9,5.19
279,North Dakota St.,-8.54,104,112.5,65.7,0.076,-1.73,106.9,108.6,2.72
280,Georgia Southern,-8.63,104.8,113.4,69,-0.048,-1.08,105.4,106.4,-0.88
281,Utah Tech,-8.81,99.9,108.7,70.4,0.042,0.67,105.3,104.6,0.5
282,Middle Tennessee,-8.82,98.1,106.9,65.6,0.072,0.41,105.2,104.8,0.31
283,Oral Roberts,-8.86,103.4,112.2,67.7,0,-1.04,106.7,107.7,6.91
284,Binghamton,-8.98,102.5,111.5,66.3,0.07,-3.78,102.8,106.5,-4.03
285,FIU,-9.1,101.6,110.7,70.3,-0.01,-1.27,104.2,105.5,-3.01
286,SIU Edwardsville,-9.69,101.3,111,67.2,0.015,-6.87,102,108.8,0.9
287,Old Dominion,-9.89,99,108.9,70.1,-0.086,-0.18,106.3,106.5,1.58
288,USC Upstate,-9.95,100,110,67.2,0.02,-0.73,106.7,107.5,2.72
289,Delaware St.,-9.98,95.8,105.8,68.9,-0.01,-6.61,102,108.6,-0.79
290,New Mexico St.,-9.98,99.4,109.3,66.3,0.065,2.53,106.2,103.6,6.67
291,Tennessee St.,-10,98.9,108.9,68.5,0.036,-6.95,102.2,109.2,1.2
292,Wagner,-10,96.4,106.4,61.6,0.043,-7.47,100.8,108.3,-1.22
293,Sacred Heart,-10.09,102.1,112.2,69.3,-0.028,-9.83,99.6,109.5,-4.24
294,Alcorn St.,-10.15,106.5,116.6,66.5,0.054,-3.48,103,106.5,15.12
295,Chicago St.,-10.15,100.3,110.4,64.6,0.05,-1.08,105.4,106.5,-1.34
296,American,-10.4,103.5,113.9,62.9,-0.006,-9.6,99.8,109.4,-5.01
297,Boston University,-10.47,98.3,108.7,65.9,0.008,-8.43,99.8,108.2,-2.43
298,Louisiana Monroe,-10.64,100.1,110.7,67.3,0.027,-0.61,105,105.7,1.58
299,Portland,-10.66,103.5,114.1,67.6,0.052,2.14,107.8,105.7,0.05
300,Valparaiso,-10.73,100.3,111,68,-0.016,2.66,107.3,104.7,-4.5
301,South Carolina St.,-10.79,99.1,109.9,68.7,0.033,-4.71,102.8,107.5,3.97
302,Le Moyne,-10.94,100.1,111.1,67.4,-0.055,-8.72,99.9,108.6,-0.97
303,Bethune Cookman,-10.98,97.9,108.9,69.9,0.06,-7.77,100.3,108,0.23
304,DePaul,-11.06,101.6,112.6,67.6,-0.022,13.04,113.2,100.2,1.61
305,Western Michigan,-11.42,100,111.4,68.6,0.022,-3.3,103.9,107.2,0.99
306,Southeastern Louisiana,-11.52,98.7,110.3,64.9,0.041,-5.23,103.1,108.3,6.82
307,Robert Morris,-11.55,101.8,113.4,67.1,-0.097,-2.79,105.6,108.4,-0.79
