Team,Seed,DRebs,DRPG,SCR MAR,AST,TO,Ratio,PTS,PPG,OPP FG,OPP FGA,OPP FG%,W,L,Win%,FT,FTA,FT%,FTA PG,Fouls,PFPG,DQ,Opp TO,TO PG,Opp 3FGA,Opp 3FG,Opp 3FG%,3FG,3FGA,3FGA PG,OPP PTS,OPP PPG,FGM,FGA,FG%,OPP REB,OPP RPG,REB MAR,ORebs,ORPG,3FG%,3FG PG,REB,RPG,FT PG
Creighton (Big East),6,"1,063",28.73,8.0,581.0,429.0,1.35,"2,828",76.4,983,"2,332",42.2,24.0,13.0,64.9,481.0,614.0,78.3,16.6,486.0,13.1,2.0,358.0,9.68,688.0,231.0,33.6,319.0,902,24.4,"2,531",68.4,"1,014","2,164",46.9,"1,230",33.2,3.8,306.0,8.27,35.4,8.6,"1,369",37.0,13.0
Dartmouth (Ivy League),,740,26.43,-1.0,360.0,404.0,0.89,"1,998",71.4,736,"1,669",44.1,10.0,18.0,35.7,332.0,475.0,69.9,17.0,476.0,17.0,13.0,346.0,12.36,580.0,192.0,33.1,228.0,685,24.5,"2,027",72.4,719,"1,626",44.2,993,35.5,-0.6,236.0,8.43,33.3,8.1,976,34.86,11.9
Davidson (Atlantic 10),,789,24.66,1.2,420.0,347.0,1.21,"2,236",69.9,817,"1,843",44.3,16.0,16.0,50.0,450.0,602.0,74.8,18.8,485.0,15.2,4.0,371.0,11.59,678.0,221.0,32.6,216.0,664,20.8,"2,197",68.7,785,"1,774",44.3,"1,109",34.7,-1.7,265.0,8.28,32.5,6.8,"1,054",32.94,14.1
Dayton (Atlantic 10),,908,26.71,7.6,518.0,411.0,1.26,"2,334",68.6,764,"1,942",39.3,22.0,12.0,64.7,443.0,634.0,69.9,18.6,470.0,13.8,10.0,352.0,10.35,752.0,220.0,29.3,225.0,665,19.6,"2,075",61.0,833,"1,784",46.7,"1,057",31.1,5.1,321.0,9.44,33.8,6.6,"1,229",36.15,13.0
DePaul (Big East),,765,23.18,-6.1,457.0,427.0,1.07,"2,349",71.2,903,"1,984",45.5,10.0,23.0,30.3,400.0,541.0,73.9,16.4,604.0,18.3,23.0,415.0,12.58,689.0,241.0,35.0,273.0,742,22.5,"2,551",77.3,838,"1,961",42.7,"1,273",38.6,-6.2,305.0,9.24,36.8,8.3,"1,070",32.42,12.1
Delaware (CAA),,783,23.73,-1.1,389.0,374.0,1.04,"2,298",69.6,850,"1,888",45.0,17.0,16.0,51.5,448.0,616.0,72.7,18.7,540.0,16.4,11.0,421.0,12.76,653.0,238.0,36.4,218.0,680,20.6,"2,333",70.7,816,"1,859",43.9,"1,175",35.6,-3.2,286.0,8.67,32.1,6.6,"1,069",32.39,13.6
Delaware St. (MEAC),,711,23.7,-10.9,372.0,481.0,0.77,"1,939",64.6,772,"1,660",46.5,6.0,24.0,20.0,340.0,494.0,68.8,16.5,551.0,18.4,15.0,425.0,14.17,702.0,283.0,40.3,171.0,542,18.1,"2,265",75.5,714,"1,725",41.4,"1,038",34.6,0.3,336.0,11.2,31.5,5.7,"1,047",34.9,11.3
Denver (Summit League),,836,26.13,-2.4,363.0,479.0,0.76,"2,325",72.7,871,"1,950",44.7,15.0,17.0,46.9,511.0,713.0,71.7,22.3,544.0,17.0,8.0,359.0,11.22,785.0,263.0,33.5,144.0,442,13.8,"2,402",75.1,835,"1,716",48.7,995,31.1,4.1,290.0,9.06,32.6,4.5,"1,126",35.19,16.0
Detroit Mercy (Horizon),,779,23.61,1.2,413.0,390.0,1.06,"2,527",76.6,893,"1,931",46.2,14.0,19.0,42.4,437.0,569.0,76.8,17.2,529.0,16.0,6.0,386.0,11.7,757.0,277.0,36.6,338.0,875,26.5,"2,486",75.3,876,"2,024",43.3,"1,097",33.2,3.5,433.0,13.12,38.6,10.2,"1,212",36.73,13.2
Drake (MVC),12,972,27.77,10.9,478.0,368.0,1.3,"2,617",74.8,811,"2,001",40.5,27.0,8.0,77.1,435.0,567.0,76.7,16.2,522.0,14.9,5.0,421.0,12.03,760.0,233.0,30.7,278.0,751,21.5,"2,236",63.9,952,"2,032",46.9,"1,146",32.7,3.0,278.0,7.94,37.0,7.9,"1,250",35.71,12.4
Drexel (CAA),,790,24.69,4.3,374.0,373.0,1.0,"2,135",66.7,762,"1,793",42.5,17.0,15.0,53.1,360.0,527.0,68.3,16.5,464.0,14.5,2.0,384.0,12.0,510.0,170.0,33.3,229.0,725,22.7,"1,997",62.4,773,"1,794",43.1,"1,051",32.8,2.2,330.0,10.31,31.6,7.2,"1,120",35.0,11.3
Duke (ACC),5,960,26.67,8.4,526.0,432.0,1.22,"2,592",72.0,844,"2,079",40.6,27.0,9.0,75.0,475.0,620.0,76.6,17.2,549.0,15.3,8.0,391.0,10.86,741.0,226.0,30.5,245.0,731,20.3,"2,290",63.6,936,"2,072",45.2,"1,108",30.8,7.9,432.0,12.0,33.5,6.8,"1,392",38.67,13.2
Duquesne (Atlantic 10),,767,23.24,3.6,505.0,395.0,1.28,"2,472",74.9,836,"1,875",44.6,20.0,13.0,60.6,376.0,542.0,69.4,16.4,614.0,18.6,8.0,475.0,14.39,634.0,223.0,35.2,302.0,826,25.0,"2,352",71.3,897,"2,052",43.7,"1,196",36.2,-0.6,410.0,12.42,36.6,9.2,"1,177",35.67,11.4
ETSU (SoCon),,779,24.34,0.1,390.0,420.0,0.93,"2,211",69.1,799,"1,834",43.6,12.0,20.0,37.5,366.0,546.0,67.0,17.1,491.0,15.3,6.0,389.0,12.16,785.0,254.0,32.4,203.0,633,19.8,"2,208",69.0,821,"1,814",45.3,"1,066",33.3,1.8,343.0,10.72,32.1,6.3,"1,122",35.06,11.4
East Carolina (AAC),,820,24.85,-1.7,433.0,435.0,1.0,"2,271",68.8,830,"1,905",43.6,16.0,17.0,48.5,484.0,704.0,68.8,21.3,583.0,17.7,14.0,392.0,11.88,657.0,216.0,32.9,249.0,788,23.9,"2,327",70.5,769,"1,896",40.6,"1,153",34.9,2.1,403.0,12.21,31.6,7.5,"1,223",37.06,14.7
Eastern Ill. (OVC),,764,24.65,-3.3,449.0,419.0,1.07,"2,134",68.8,786,"1,806",43.5,9.0,22.0,29.0,378.0,593.0,63.7,19.1,559.0,18.0,15.0,457.0,14.74,770.0,259.0,33.6,162.0,493,15.9,"2,235",72.1,797,"1,800",44.3,"1,175",37.9,-4.0,288.0,9.29,32.9,5.2,"1,052",33.94,12.2
Eastern Ky. (ASUN),,978,26.43,5.1,552.0,444.0,1.24,"2,909",78.6,987,"2,291",43.1,23.0,14.0,62.2,395.0,599.0,65.9,16.2,586.0,15.8,6.0,536.0,14.49,909.0,309.0,34.0,318.0,927,25.1,"2,720",73.5,"1,098","2,487",44.1,"1,372",37.1,2.9,503.0,13.59,34.3,8.6,"1,481",40.03,10.7
Eastern Mich. (MAC),,704,22.71,-8.6,299.0,367.0,0.81,"2,239",72.2,894,"1,846",48.4,8.0,23.0,25.8,441.0,575.0,76.7,18.5,587.0,18.9,16.0,384.0,12.39,767.0,262.0,34.2,192.0,608,19.6,"2,505",80.8,803,"1,827",44.0,"1,150",37.1,-5.7,270.0,8.71,31.6,6.2,974,31.42,14.2
Eastern Wash. (Big Sky),,917,26.97,5.2,523.0,461.0,1.13,"2,607",76.7,849,"2,005",42.3,23.0,11.0,67.6,445.0,589.0,75.6,17.3,591.0,17.4,7.0,383.0,11.26,882.0,294.0,33.3,300.0,837,24.6,"2,429",71.4,931,"1,901",49.0,"1,055",31.0,4.9,305.0,8.97,35.8,8.8,"1,222",35.94,13.1
Elon (CAA),,798,24.94,-6.2,389.0,395.0,0.98,"2,094",65.4,815,"1,869",43.6,8.0,24.0,25.0,352.0,497.0,70.8,15.5,515.0,16.1,6.0,368.0,11.5,843.0,291.0,34.5,218.0,722,22.6,"2,291",71.6,762,"1,791",42.5,"1,152",36.0,-2.3,281.0,8.78,30.2,6.8,"1,079",33.72,11.0
Evansville (MVC),,752,23.5,-13.6,328.0,392.0,0.84,"1,997",62.4,867,"1,809",47.9,5.0,27.0,15.6,340.0,540.0,63.0,16.9,520.0,16.3,10.0,421.0,13.16,745.0,283.0,38.0,199.0,618,19.3,"2,432",76.0,729,"1,839",39.6,"1,222",38.2,-6.8,252.0,7.88,32.2,6.2,"1,004",31.38,10.6
FDU (NEC),16,844,22.81,3.2,545.0,425.0,1.28,"2,863",77.4,972,"2,061",47.2,21.0,16.0,56.8,471.0,626.0,75.2,16.9,696.0,18.8,14.0,567.0,15.32,820.0,287.0,35.0,302.0,876,23.7,"2,744",74.2,"1,045","2,312",45.2,"1,257",34.0,0.4,427.0,11.54,34.5,8.2,"1,271",34.35,12.7
FGCU (ASUN),,806,25.19,1.8,409.0,365.0,1.12,"2,280",71.3,804,"1,848",43.5,17.0,15.0,53.1,375.0,507.0,74.0,15.8,497.0,15.5,7.0,377.0,11.78,764.0,255.0,33.4,295.0,832,26.0,"2,222",69.4,805,"1,844",43.7,"1,125",35.2,-0.6,301.0,9.41,35.5,9.2,"1,107",34.59,11.7
FIU (CUSA),,733,22.91,-2.0,397.0,473.0,0.84,"2,339",73.1,848,"1,907",44.5,14.0,18.0,43.8,386.0,541.0,71.3,16.9,547.0,17.1,9.0,528.0,16.5,765.0,278.0,36.3,219.0,671,21.0,"2,404",75.1,867,"1,861",46.6,"1,217",38.0,-6.5,275.0,8.59,32.6,6.8,"1,008",31.5,12.1
Fairfield (MAAC),,740,23.87,-1.1,296.0,367.0,0.81,"2,012",64.9,769,"1,748",44.0,13.0,18.0,41.9,454.0,627.0,72.4,20.2,472.0,15.2,10.0,363.0,11.71,553.0,161.0,29.1,178.0,621,20.0,"2,045",66.0,690,"1,681",41.0,"1,060",34.2,-0.5,305.0,9.84,28.7,5.7,"1,045",33.71,14.6
Fla. Atlantic (CUSA),,"1,094",28.05,12.5,562.0,460.0,1.22,"3,035",77.8,923,"2,290",40.3,35.0,4.0,89.7,492.0,684.0,71.9,17.5,613.0,15.7,4.0,481.0,12.33,800.0,258.0,32.3,375.0,"1,024",26.3,"2,547",65.3,"1,084","2,326",46.6,"1,286",33.0,6.0,425.0,10.9,36.6,9.6,"1,519",38.95,12.6
Florida (SEC),,865,26.21,2.6,406.0,371.0,1.09,"2,351",71.2,830,"2,002",41.5,16.0,17.0,48.5,471.0,657.0,71.7,19.9,533.0,16.2,12.0,412.0,12.48,608.0,192.0,31.6,220.0,701,21.2,"2,264",68.6,830,"1,904",43.6,"1,274",38.6,-4.0,278.0,8.42,31.4,6.7,"1,143",34.64,14.3
Florida A&M (SWAC),,658,22.69,-11.4,280.0,464.0,0.6,"1,700",58.6,695,"1,572",44.2,7.0,22.0,24.1,343.0,496.0,69.2,17.1,551.0,19.0,5.0,363.0,12.52,541.0,180.0,33.3,167.0,533,18.4,"2,030",70.0,595,"1,536",38.7,"1,042",35.9,-3.1,295.0,10.17,31.3,5.8,953,32.86,11.8
Florida St. (ACC),,728,22.75,-6.9,430.0,388.0,1.11,"2,219",69.3,854,"1,882",45.4,9.0,23.0,28.1,406.0,559.0,72.6,17.5,519.0,16.2,11.0,377.0,11.78,773.0,291.0,37.6,209.0,633,19.8,"2,439",76.2,802,"1,840",43.6,"1,128",35.3,-3.8,278.0,8.69,33.0,6.5,"1,006",31.44,12.7
Fordham (Atlantic 10),,863,26.15,4.4,418.0,446.0,0.94,"2,376",72.0,774,"1,841",42.0,25.0,8.0,75.8,530.0,715.0,74.1,21.7,647.0,19.6,12.0,448.0,13.58,562.0,180.0,32.0,252.0,792,24.0,"2,231",67.6,797,"1,901",41.9,"1,127",34.2,2.8,356.0,10.79,31.8,7.6,"1,219",36.94,16.1
Fresno St. (Mountain West),,690,22.26,-2.0,382.0,359.0,1.06,"1,974",63.7,711,"1,607",44.2,11.0,20.0,35.5,324.0,420.0,77.1,13.5,499.0,16.1,7.0,401.0,12.94,603.0,227.0,37.6,210.0,681,22.0,"2,036",65.7,720,"1,673",43.0,"1,012",32.6,-2.4,248.0,8.0,30.8,6.8,938,30.26,10.5
Furman (SoCon),13,911,25.31,9.7,600.0,397.0,1.51,"2,911",80.9,937,"2,094",44.7,28.0,8.0,77.8,539.0,727.0,74.1,20.2,604.0,16.8,11.0,470.0,13.06,733.0,242.0,33.0,340.0,988,27.4,"2,563",71.2,"1,016","2,129",47.7,"1,204",33.4,1.6,351.0,9.75,34.4,9.4,"1,262",35.06,15.0
Ga. Southern (Sun Belt),,840,25.45,1.7,343.0,378.0,0.91,"2,257",68.4,779,"1,838",42.4,17.0,16.0,51.5,370.0,539.0,68.6,16.3,551.0,16.7,10.0,429.0,13.0,689.0,223.0,32.4,207.0,659,20.0,"2,201",66.7,840,"1,926",43.6,"1,157",35.1,0.2,325.0,9.85,31.4,6.3,"1,165",35.3,11.2
Gardner-Webb (Big South),,787,25.39,5.2,399.0,403.0,0.99,"2,192",70.7,678,"1,639",41.4,15.0,16.0,48.4,370.0,592.0,62.5,19.1,594.0,19.2,8.0,438.0,14.13,618.0,208.0,33.7,196.0,583,18.8,"2,032",65.5,813,"1,741",46.7,985,31.8,3.6,310.0,10.0,33.6,6.3,"1,097",35.39,11.9
George Mason (Atlantic 10),,878,26.61,1.5,452.0,453.0,1.0,"2,268",68.7,798,"1,872",42.6,20.0,13.0,60.6,428.0,657.0,65.1,19.9,568.0,17.2,14.0,380.0,11.52,658.0,198.0,30.1,240.0,685,20.8,"2,220",67.3,800,"1,774",45.1,"1,071",32.5,3.3,302.0,9.15,35.0,7.3,"1,180",35.76,13.0
George Washington (Atlantic 10),,834,26.06,-0.4,406.0,403.0,1.01,"2,441",76.3,892,"1,999",44.6,16.0,16.0,50.0,475.0,644.0,73.8,20.1,526.0,16.4,13.0,355.0,11.09,784.0,274.0,34.9,228.0,710,22.2,"2,455",76.7,869,"1,849",47.0,"1,126",35.2,-0.3,284.0,8.88,32.1,7.1,"1,118",34.94,14.8
Georgetown (Big East),,806,25.19,-8.6,380.0,392.0,0.97,"2,225",69.5,918,"2,001",45.9,7.0,25.0,21.9,404.0,563.0,71.8,17.6,462.0,14.4,14.0,356.0,11.13,791.0,308.0,38.9,185.0,599,18.7,"2,500",78.1,818,"1,934",42.3,"1,196",37.4,-1.4,345.0,10.78,30.9,5.8,"1,151",35.97,12.6
Georgia (SEC),,798,24.94,-3.0,358.0,423.0,0.85,"2,193",68.5,841,"1,912",44.0,16.0,16.0,50.0,522.0,718.0,72.7,22.4,513.0,16.0,4.0,368.0,11.5,702.0,224.0,31.9,215.0,678,21.2,"2,289",71.5,728,"1,774",41.0,"1,138",35.6,0.2,347.0,10.84,31.7,6.7,"1,145",35.78,16.3
Georgia St. (Sun Belt),,727,23.45,-2.6,342.0,400.0,0.86,"2,068",66.7,755,"1,734",43.5,10.0,21.0,32.3,414.0,581.0,71.3,18.7,528.0,17.0,8.0,372.0,12.0,596.0,215.0,36.1,164.0,556,17.9,"2,150",69.4,745,"1,789",41.6,"1,021",32.9,1.6,343.0,11.06,29.5,5.3,"1,070",34.52,13.4
Georgia Tech (ACC),,806,24.42,-1.0,463.0,349.0,1.33,"2,301",69.7,856,"1,943",44.1,15.0,18.0,45.5,332.0,477.0,69.6,14.5,524.0,15.9,4.0,362.0,10.97,684.0,206.0,30.1,259.0,773,23.4,"2,335",70.8,855,"2,019",42.3,"1,211",36.7,-1.7,349.0,10.58,33.5,7.8,"1,155",35.0,10.1
Gonzaga (WCC),3,993,26.84,12.8,602.0,397.0,1.52,"3,187",86.1,993,"2,246",44.2,31.0,6.0,83.8,532.0,768.0,69.3,20.8,613.0,16.6,12.0,489.0,13.22,877.0,306.0,34.9,279.0,737,19.9,"2,715",73.4,"1,188","2,282",52.1,"1,171",31.6,5.5,383.0,10.35,37.9,7.5,"1,376",37.19,14.4
Grambling (SWAC),,832,25.21,6.7,405.0,475.0,0.85,"2,276",69.0,685,"1,801",38.0,24.0,9.0,72.7,480.0,745.0,64.4,22.6,624.0,18.9,16.0,484.0,14.67,679.0,209.0,30.8,174.0,489,14.8,"2,054",62.2,811,"1,785",45.4,"1,129",34.2,2.0,364.0,11.03,35.6,5.3,"1,196",36.24,14.5
Grand Canyon (WAC),14,953,26.47,7.9,452.0,430.0,1.05,"2,706",75.2,863,"2,112",40.9,24.0,12.0,66.7,517.0,722.0,71.6,20.1,648.0,18.0,12.0,387.0,10.75,694.0,220.0,31.7,323.0,843,23.4,"2,421",67.3,933,"2,018",46.2,"1,211",33.6,2.9,364.0,10.11,38.3,9.0,"1,317",36.58,14.4
Green Bay (Horizon),,670,20.94,-17.2,350.0,447.0,0.78,"1,898",59.3,893,"1,832",48.7,3.0,29.0,9.4,368.0,524.0,70.2,16.4,541.0,16.9,9.0,342.0,10.69,634.0,222.0,35.0,218.0,724,22.6,"2,447",76.5,656,"1,665",39.4,"1,169",36.5,-8.3,235.0,7.34,30.1,6.8,905,28.28,11.5
Hampton (CAA),,763,23.84,-9.3,352.0,354.0,0.99,"2,183",68.2,878,"1,889",46.5,8.0,24.0,25.0,437.0,636.0,68.7,19.9,587.0,18.3,16.0,357.0,11.16,701.0,262.0,37.4,228.0,709,22.2,"2,481",77.5,759,"1,934",39.2,"1,243",38.8,-4.5,335.0,10.47,32.2,7.1,"1,098",34.31,13.7
Hartford (DI Independent),,631,22.54,-8.4,364.0,403.0,0.9,"1,757",62.8,734,"1,596",46.0,5.0,23.0,17.9,233.0,362.0,64.4,12.9,395.0,14.1,6.0,341.0,12.18,609.0,229.0,37.6,206.0,620,22.1,"1,991",71.1,659,"1,543",42.7,972,34.7,-3.1,255.0,9.11,33.2,7.4,886,31.64,8.3
Harvard (Ivy League),,716,25.57,2.0,372.0,381.0,0.98,"1,914",68.4,680,"1,612",42.2,14.0,14.0,50.0,330.0,493.0,66.9,17.6,408.0,14.6,4.0,357.0,12.75,625.0,201.0,32.2,184.0,596,21.3,"1,858",66.4,700,"1,593",43.9,902,32.2,4.0,299.0,10.68,30.9,6.6,"1,015",36.25,11.8
Hawaii (Big West),,845,25.61,5.1,367.0,401.0,0.92,"2,208",66.9,760,"1,877",40.5,22.0,11.0,66.7,444.0,594.0,74.7,18.0,528.0,16.0,10.0,355.0,10.76,493.0,145.0,29.4,220.0,667,20.2,"2,039",61.8,772,"1,799",42.9,"1,064",32.2,3.1,320.0,9.7,33.0,6.7,"1,165",35.3,13.5
High Point (Big South),,817,26.35,-2.6,383.0,438.0,0.87,"2,312",74.6,856,"1,942",44.1,14.0,17.0,45.2,452.0,722.0,62.6,23.3,573.0,18.5,11.0,383.0,12.35,749.0,242.0,32.3,234.0,720,23.2,"2,392",77.2,813,"1,834",44.3,"1,174",37.9,0.2,362.0,11.68,32.5,7.5,"1,179",38.03,14.6
Hofstra (CAA),,910,26.0,8.4,504.0,376.0,1.34,"2,619",74.8,862,"2,115",40.8,25.0,10.0,71.4,314.0,425.0,73.9,12.1,503.0,14.4,14.0,442.0,12.63,769.0,236.0,30.7,303.0,826,23.6,"2,324",66.4,"1,001","2,084",48.0,"1,278",36.5,-2.8,271.0,7.74,36.7,8.7,"1,181",33.74,9.0
Holy Cross (Patriot),,785,24.53,-5.9,398.0,387.0,1.03,"2,136",66.8,876,"1,926",45.5,10.0,22.0,31.3,293.0,471.0,62.2,14.7,514.0,16.1,14.0,393.0,12.28,672.0,219.0,32.6,219.0,599,18.7,"2,324",72.6,812,"1,862",43.6,"1,234",38.6,-6.1,255.0,7.97,36.6,6.8,"1,040",32.5,9.2
Houston (AAC),1,967,26.14,17.4,544.0,370.0,1.47,"2,770",74.9,708,"1,933",36.6,33.0,4.0,89.2,466.0,636.0,73.3,17.2,618.0,16.7,9.0,506.0,13.68,840.0,234.0,27.9,284.0,835,22.6,"2,126",57.5,"1,010","2,203",45.8,"1,173",31.7,7.2,474.0,12.81,34.0,7.7,"1,441",38.95,12.6
Houston Christian (Southland),,767,23.97,-5.5,474.0,489.0,0.97,"2,482",77.6,984,"1,978",49.7,10.0,22.0,31.3,515.0,717.0,71.8,22.4,575.0,18.0,14.0,405.0,12.66,660.0,242.0,36.7,265.0,726,22.7,"2,658",83.1,851,"1,863",45.7,"1,118",34.9,-0.7,330.0,10.31,36.5,8.3,"1,097",34.28,16.1
Howard (MEAC),16,845,24.14,2.6,523.0,573.0,0.91,"2,634",75.3,902,"2,027",44.5,22.0,13.0,62.9,484.0,679.0,71.3,19.4,614.0,17.5,10.0,540.0,15.43,743.0,253.0,34.1,282.0,754,21.5,"2,542",72.6,934,"2,038",45.8,"1,168",33.4,2.4,407.0,11.63,37.4,8.1,"1,252",35.77,13.8
IU Indy (Horizon),,,,,358.0,506.0,0.71,"2,089",65.3,860,"1,833",46.9,5.0,27.0,15.6,371.0,537.0,69.1,,570.0,17.8,7.0,372.0,11.63,,,,146.0,492,15.4,,,786,"1,718",45.8,,,,297.0,9.28,29.7,4.6,,,11.6
IUPUI (Horizon),,714,22.31,-11.5,,,,,,,,,,,,,,,16.8,,,,,,714.0,256.0,35.9,,,,"2,456",76.8,,,,"1,055",33.0,-1.4,,,,,"1,011",31.59,
Idaho (Big Sky),,757,23.66,0.1,381.0,362.0,1.05,"2,335",73.0,848,"1,805",47.0,10.0,22.0,31.3,470.0,617.0,76.2,19.3,539.0,16.8,10.0,368.0,11.5,586.0,222.0,37.9,217.0,638,19.9,"2,332",72.9,824,"1,747",47.2,"1,063",33.2,-2.6,222.0,6.94,34.0,6.8,979,30.59,14.7
Idaho St. (Big Sky),,746,23.31,-1.8,392.0,370.0,1.06,"2,213",69.2,796,"1,764",45.1,11.0,21.0,34.4,380.0,517.0,73.5,16.2,564.0,17.6,15.0,387.0,12.09,599.0,193.0,32.2,245.0,725,22.7,"2,272",71.0,794,"1,785",44.5,"1,079",33.7,-2.3,259.0,8.09,33.8,7.7,"1,005",31.41,11.9
Illinois (Big Ten),9,882,26.73,7.2,409.0,426.0,0.96,"2,452",74.3,804,"1,934",41.6,20.0,13.0,60.6,453.0,667.0,67.9,20.2,559.0,16.9,12.0,429.0,13.0,589.0,197.0,33.4,251.0,815,24.7,"2,216",67.2,874,"1,946",44.9,"1,115",33.8,4.0,366.0,11.09,30.8,7.6,"1,248",37.82,13.7
Illinois St. (MVC),,765,23.91,-4.0,345.0,466.0,0.74,"2,127",66.5,805,"1,770",45.5,11.0,21.0,34.4,421.0,531.0,79.3,16.6,590.0,18.4,8.0,357.0,11.16,667.0,225.0,33.7,232.0,690,21.6,"2,255",70.5,737,"1,699",43.4,992,31.0,1.7,280.0,8.75,33.6,7.3,"1,045",32.66,13.2
Indiana (Big Ten),4,929,26.54,6.1,533.0,402.0,1.33,"2,616",74.7,852,"2,084",40.9,23.0,12.0,65.7,428.0,602.0,71.1,17.2,599.0,17.1,7.0,391.0,11.17,787.0,263.0,33.4,200.0,544,15.5,"2,404",68.7,994,"2,044",48.6,"1,199",34.3,1.5,321.0,9.17,36.8,5.7,"1,250",35.71,12.2
Indiana St. (MVC),,996,27.67,9.7,570.0,434.0,1.31,"2,855",79.3,902,"2,117",42.6,23.0,13.0,63.9,499.0,647.0,77.1,18.0,587.0,16.3,9.0,450.0,12.5,752.0,241.0,32.0,340.0,959,26.6,"2,507",69.6,"1,008","2,088",48.3,"1,174",32.6,2.0,249.0,6.92,35.5,9.4,"1,245",34.58,13.9
Iona (MAAC),13,856,24.46,10.3,520.0,367.0,1.42,"2,658",75.9,826,"2,009",41.1,27.0,8.0,77.1,453.0,619.0,73.2,17.7,568.0,16.2,7.0,503.0,14.37,696.0,207.0,29.7,247.0,683,19.5,"2,297",65.6,979,"2,135",45.9,"1,223",34.9,0.6,389.0,11.11,36.2,7.1,"1,245",35.57,12.9
Iowa (Big Ten),8,809,24.52,5.4,541.0,325.0,1.66,"2,642",80.1,939,"1,982",47.4,19.0,14.0,57.6,495.0,671.0,73.8,20.3,488.0,14.8,6.0,424.0,12.85,640.0,234.0,36.6,265.0,779,23.6,"2,464",74.7,941,"2,077",45.3,"1,145",34.7,1.9,398.0,12.06,34.0,8.0,"1,207",36.58,15.0
Iowa St. (Big 12),6,731,22.15,5.0,457.0,427.0,1.07,"2,231",67.6,671,"1,598",42.0,19.0,14.0,57.6,352.0,525.0,67.0,15.9,633.0,19.2,11.0,546.0,16.55,747.0,252.0,33.7,211.0,637,19.3,"2,067",62.6,834,"1,882",44.3,"1,005",30.5,3.2,380.0,11.52,33.1,6.4,"1,111",33.67,10.7
Jackson St. (SWAC),,753,22.82,-6.0,406.0,514.0,0.79,"2,232",67.6,853,"1,881",45.3,14.0,19.0,42.4,425.0,630.0,67.5,19.1,571.0,17.3,18.0,448.0,13.58,741.0,259.0,35.0,207.0,650,19.7,"2,429",73.6,800,"1,911",41.9,"1,086",32.9,1.5,384.0,11.64,31.8,6.3,"1,137",34.45,12.9
Jacksonville (ASUN),,748,25.79,0.7,376.0,333.0,1.13,"1,837",63.3,642,"1,576",40.7,13.0,16.0,44.8,265.0,353.0,75.1,12.2,409.0,14.1,8.0,277.0,9.55,765.0,241.0,31.5,200.0,588,20.3,"1,816",62.6,686,"1,519",45.2,901,31.1,2.3,220.0,7.59,34.0,6.9,968,33.38,9.1
Jacksonville St. (ASUN),,799,25.77,-0.4,381.0,410.0,0.93,"2,166",69.9,762,"1,749",43.6,13.0,18.0,41.9,391.0,559.0,69.9,18.0,510.0,16.5,7.0,357.0,11.52,828.0,287.0,34.7,281.0,747,24.1,"2,178",70.3,747,"1,705",43.8,994,32.1,4.0,318.0,10.26,37.6,9.1,"1,117",36.03,12.6
James Madison (Sun Belt),,864,26.18,12.5,444.0,435.0,1.02,"2,658",80.5,811,"1,920",42.2,22.0,11.0,66.7,529.0,748.0,70.7,22.7,583.0,17.7,10.0,546.0,16.55,729.0,226.0,31.0,263.0,751,22.8,"2,246",68.1,933,"2,019",46.2,"1,128",34.2,3.9,393.0,11.91,35.0,8.0,"1,257",38.09,16.0
Kansas (Big 12),1,941,26.14,7.4,590.0,444.0,1.33,"2,715",75.4,873,"2,103",41.5,28.0,8.0,77.8,460.0,639.0,72.0,17.8,597.0,16.6,10.0,515.0,14.31,742.0,230.0,31.0,251.0,724,20.1,"2,450",68.1,"1,002","2,142",46.8,"1,255",34.9,1.1,353.0,9.81,34.7,7.0,"1,294",35.94,12.8
Kansas City (Summit League),,753,23.53,-4.3,300.0,432.0,0.69,"2,060",64.4,734,"1,730",42.4,11.0,21.0,34.4,426.0,598.0,71.2,18.7,585.0,18.3,21.0,380.0,11.88,697.0,239.0,34.3,188.0,665,20.8,"2,199",68.7,723,"1,844",39.2,"1,065",33.3,3.7,430.0,13.44,28.3,5.9,"1,183",36.97,13.3
Kansas St. (Big 12),3,892,24.78,6.3,611.0,498.0,1.23,"2,742",76.2,878,"2,070",42.4,26.0,10.0,72.2,562.0,751.0,74.8,20.9,644.0,17.9,14.0,541.0,15.03,764.0,235.0,30.8,258.0,752,20.9,"2,515",69.9,961,"2,083",46.1,"1,221",33.9,0.7,355.0,9.86,34.3,7.2,"1,247",34.64,15.6
Kennesaw St. (ASUN),14,897,25.63,6.0,502.0,434.0,1.16,"2,626",75.0,842,"1,957",43.0,26.0,9.0,74.3,478.0,723.0,66.1,20.7,631.0,18.0,9.0,502.0,14.34,758.0,251.0,33.1,286.0,783,22.4,"2,415",69.0,931,"2,021",46.1,"1,188",33.9,1.3,337.0,9.63,36.5,8.2,"1,234",35.26,13.7
Kent St. (MAC),13,863,24.66,10.3,432.0,398.0,1.09,"2,665",76.1,777,"1,920",40.5,28.0,7.0,80.0,476.0,656.0,72.6,18.7,659.0,18.8,13.0,551.0,15.74,778.0,242.0,31.1,275.0,818,23.4,"2,305",65.9,957,"2,128",45.0,"1,223",34.9,0.7,386.0,11.03,33.6,7.9,"1,249",35.69,13.6
