Rk,Team,NetRtg,ORtg,DRtg,AdjT,Luck,Opp NetRtg,Opp ORtg,Opp DRtg,Opp Non Conf NetRtg
87,Georgetown,8.9,108.4,99.5,68.3,-0.037,6.43,109.9,103.5,-11.41
88,TCU,8.89,105.8,97,66.6,0.03,13.17,113.6,100.4,2.89
89,LSU,8.64,109.1,100.4,68,-0.062,13.9,114.3,100.4,-6.94
90,Florida St.,8.47,108.8,100.3,69.5,-0.007,6.52,110.4,103.8,-2.46
91,Minnesota,8.46,110.2,101.7,62.7,0.025,11.62,113,101.4,-6
92,Bradley,7.34,111.1,103.8,65.8,0.1,0.25,107.7,107.5,-2.82
93,Troy,7.19,107.8,100.6,66.3,-0.009,-2.59,105.5,108.1,1.35
94,Grand Canyon,7.18,107.8,100.7,71.5,0.019,-3.5,103.1,106.6,-3.28
95,UNLV,7.15,107.4,100.2,65.7,0.01,5.69,109.8,104.1,3.75
96,Notre Dame,7.1,111.3,104.2,64.7,-0.046,7.63,111.2,103.5,-0.21
97,Providence,6.99,112.1,105.1,66.3,-0.097,9.75,112,102.2,-0.57
98,Akron,6.93,113.9,107,71.4,0.071,-4.01,104.9,108.9,1.71
99,Oklahoma St.,6.48,108.2,101.7,71.6,0.079,11.32,112.5,101.2,-3.05
100,UAB,6.09,116.2,110.1,69.1,-0.014,-0.34,106.5,106.8,-8.54
101,Georgia Tech,6.09,107.3,101.2,68.7,-0.001,6.31,110.5,104.2,-7.96
102,Northern Iowa,5.88,109.4,103.5,65.2,-0.015,0.7,107.5,106.8,-1.47
103,Virginia,5.27,110.7,105.4,61.1,0.016,8.71,111.1,102.4,0.89
104,Chattanooga,5.26,115.3,110.1,66.5,0.052,-2.4,105.2,107.6,0.2
105,Jacksonville St.,5.2,110,104.8,64.9,0.045,2.24,107.5,105.2,0.02
106,UNC Wilmington,5.18,112.3,107.2,65.4,0.055,-4.56,104.9,109.5,-4.96
107,Washington,5.03,109.1,104.1,67.7,0.011,12.75,113.7,100.9,-4.24
108,Loyola Chicago,4.86,107.3,102.5,67,0.077,0.51,106.6,106.1,-9.04
109,North Alabama,4.69,111.3,106.6,66.8,-0.003,-5.03,105,110,-3.07
110,California,4.65,111.3,106.7,67.5,-0.038,6.8,111,104.2,-1.71
111,Utah Valley,4.52,106.7,102.2,68.2,0.077,-1.29,105.3,106.6,0.75
112,George Washington,4.46,107.9,103.4,66.8,-0.023,-2.2,104.6,106.8,-11.43
113,South Alabama,4.43,107.5,103.1,63.1,-0.042,-3.84,104.5,108.3,-2.85
114,Syracuse,4.42,110.4,106,68.2,0.026,8.63,111.8,103.1,2.53
115,DePaul,4.37,109.7,105.3,66.9,-0.038,8.41,110.7,102.3,-9.51
116,Florida Atlantic,4.29,112.6,108.3,68.8,-0.028,2.79,108.3,105.6,4.51
117,Kent St.,4.24,105.9,101.7,66.3,0.027,-3.04,106,109.1,2.11
118,CSUN,4.23,108.9,104.6,72.3,0.013,-2.08,105.5,107.5,-5.42
119,St. Bonaventure,4.21,105.4,101.1,64.6,0.047,1.22,107.4,106.2,-4.26
120,Saint Louis,4.18,109.3,105.1,67.6,-0.001,3.75,108.3,104.5,-0.29
21,Middle Tennessee,4.16,109.2,105,68.3,0.074,2.84,107.5,104.6,2.92
122,Wofford,4.05,113.6,109.5,64.1,-0.032,-0.82,106.7,107.6,5.16
